
#################################################################
Log started at 2025-06-12_13-36-14 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 72f5, Got: 0e04
Checksum failed. Expected: bdcb, Got: 0e04
Checksum failed. Expected: a275, Got: 0e04
Checksum failed. Expected: e9cb, Got: 0e04
Checksum failed. Expected: 85cf, Got: 0e04
Checksum failed. Expected: 62d6, Got: 0e04
Checksum failed. Expected: 73c7, Got: 0e04
Checksum failed. Expected: e578, Got: 0e04
Checksum failed. Expected: accb, Got: 0e04
Checksum failed. Expected: 2b75, Got: 0e04
Checksum failed. Expected: 8313, Got: 0e04
Checksum failed. Expected: 5443, Got: 0e04
Checksum failed. Expected: 6338, Got: 0e04
Checksum failed. Expected: bf2f, Got: 0e04
Checksum failed. Expected: 4ce2, Got: 0e04
Checksum failed. Expected: 0624, Got: 0e04
Checksum failed. Expected: 3b2a, Got: 0e04
Checksum failed. Expected: fbdd, Got: 0e04
Checksum failed. Expected: 0d0f, Got: 0e04
Checksum failed. Expected: 5340, Got: 0e04
Checksum failed. Expected: 6abf, Got: 0e04
Checksum failed. Expected: ce67, Got: 0e04
Checksum failed. Expected: db2e, Got: 0e04
Checksum failed. Expected: 29e2, Got: 0e04
Checksum failed. Expected: 39e9, Got: 0e04
Checksum failed. Expected: b554, Got: 0e04
Checksum failed. Expected: ed69, Got: 0e04
Checksum failed. Expected: c3e7, Got: 0e04
Checksum failed. Expected: 29a9, Got: 0e04
Checksum failed. Expected: 7d0d, Got: 0e04
Checksum failed. Expected: 504c, Got: 0e04
Checksum failed. Expected: 1325, Got: 0e04
Checksum failed. Expected: 6aba, Got: 0e04
Checksum failed. Expected: d5dd, Got: 0e04
Checksum failed. Expected: 7ecf, Got: 0e04
Checksum failed. Expected: 03f1, Got: 0e04
Checksum failed. Expected: 279d, Got: 0e04
Checksum failed. Expected: 4396, Got: 0e04
Checksum failed. Expected: 4471, Got: 0e04
Checksum failed. Expected: 2a18, Got: 0e04
Checksum failed. Expected: 9a92, Got: 0e04
Checksum failed. Expected: c7f8, Got: 0e04
Checksum failed. Expected: bccf, Got: 0e04
Checksum failed. Expected: d365, Got: 0e04
Checksum failed. Expected: 224a, Got: 0e04
Checksum failed. Expected: 37a1, Got: 0e04
Checksum failed. Expected: 6b89, Got: 0e04
Checksum failed. Expected: 16a8, Got: 0e04
Checksum failed. Expected: f49c, Got: 0e04
Checksum failed. Expected: b577, Got: 0e04
Checksum failed. Expected: 834a, Got: 0e04
Checksum failed. Expected: 533f, Got: 0e04
Checksum failed. Expected: 9755, Got: 0e04
Checksum failed. Expected: e64b, Got: 0e04
Checksum failed. Expected: de7f, Got: 0e04
Checksum failed. Expected: 40ea, Got: 0e04
Checksum failed. Expected: 6acf, Got: 0e04
Checksum failed. Expected: 5fbc, Got: 0e04
Checksum failed. Expected: 9a1f, Got: 0e04
Checksum failed. Expected: ea1d, Got: 0e04
Checksum failed. Expected: 9dd7, Got: 0e04
Checksum failed. Expected: 880f, Got: 0e04
Checksum failed. Expected: ea80, Got: 0e04
Checksum failed. Expected: 24cf, Got: 0e04
Checksum failed. Expected: ab0a, Got: 0e04
Checksum failed. Expected: 0808, Got: 0e04
Checksum failed. Expected: 6756, Got: 0e04
Checksum failed. Expected: c675, Got: 0e04
Checksum failed. Expected: 319b, Got: 0e04
Checksum failed. Expected: 8fac, Got: 0e04
Checksum failed. Expected: 777f, Got: 0e04
Checksum failed. Expected: 6b67, Got: 0e04
Checksum failed. Expected: 638a, Got: 0e04
Checksum failed. Expected: 984a, Got: 0e04
Checksum failed. Expected: 1071, Got: 0e04
Checksum failed. Expected: 2b48, Got: 0e04
Checksum failed. Expected: 6e39, Got: 0e04
Checksum failed. Expected: c4b7, Got: 0e04
Checksum failed. Expected: 96e9, Got: 0e04
Checksum failed. Expected: 422d, Got: 0e04
Checksum failed. Expected: cba4, Got: 0e04
Checksum failed. Expected: 93e1, Got: 0e04
Checksum failed. Expected: f43e, Got: 0e04
Checksum failed. Expected: 525d, Got: 0e04
Checksum failed. Expected: 862b, Got: 0e04
Checksum failed. Expected: 2ce1, Got: 0e04
Checksum failed. Expected: 3799, Got: 0e04
Checksum failed. Expected: 4352, Got: 0e04
Checksum failed. Expected: 3b79, Got: 0e04
Checksum failed. Expected: 6120, Got: 0e04
Checksum failed. Expected: f11a, Got: 0e04
Checksum failed. Expected: 3438, Got: 0e04
Checksum failed. Expected: 9e33, Got: 0e04
Checksum failed. Expected: b5c9, Got: 0e04
Checksum failed. Expected: e87e, Got: 0e04
Checksum failed. Expected: d38d, Got: 0e04
Checksum failed. Expected: 0f15, Got: 0e04
Checksum failed. Expected: 5e04, Got: 0e04
Checksum failed. Expected: e1dc, Got: 0e04
