
#################################################################
Log started at 2025-06-12_13-37-24 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ab5b, Got: f111
Checksum failed. Expected: 057f, Got: a000
Checksum failed. Expected: 8217, Got: 0600
Checksum failed. Expected: b4d2, Got: fafe
Checksum failed. Expected: 0016, Got: d8c4
Checksum failed. Expected: ed29, Got: fcdd
Checksum failed. Expected: cc20, Got: 8659
Checksum failed. Expected: 9b54, Got: b2ac
Checksum failed. Expected: ff2c, Got: 3288
Checksum failed. Expected: 83c5, Got: 3239
Checksum failed. Expected: 34bf, Got: 4f29
Checksum failed. Expected: 6896, Got: 6218
Checksum failed. Expected: 92a6, Got: c3b7
Checksum failed. Expected: db7a, Got: c3a5
Checksum failed. Expected: 553e, Got: 6daf
Checksum failed. Expected: 2fdc, Got: 93fa
Checksum failed. Expected: d0a3, Got: 53c9
Checksum failed. Expected: 112d, Got: 2b38
Checksum failed. Expected: 0df1, Got: 1b4a
Checksum failed. Expected: 1140, Got: 5ec2
Checksum failed. Expected: c24c, Got: 033a
Checksum failed. Expected: 4966, Got: cb81
Checksum failed. Expected: 5434, Got: 0248
Checksum failed. Expected: d2da, Got: 11ba
Checksum failed. Expected: 62e6, Got: 494d
Checksum failed. Expected: 54fa, Got: 5b73
Checksum failed. Expected: f2be, Got: 5490
Checksum failed. Expected: 2e2e, Got: 4b7c
Checksum failed. Expected: 0232, Got: 2a74
Checksum failed. Expected: 20e2, Got: 27b0
Checksum failed. Expected: b6c7, Got: 2aae
Checksum failed. Expected: 38e6, Got: 1c0e
Checksum failed. Expected: 4ef1, Got: 4ab1
Checksum failed. Expected: 3332, Got: 5a31
Checksum failed. Expected: 96a5, Got: 5b8a
Checksum failed. Expected: 52d4, Got: 55ad
Checksum failed. Expected: a9bd, Got: 51c7
Checksum failed. Expected: f040, Got: 14c1
Checksum failed. Expected: fcca, Got: 1a6f
Checksum failed. Expected: ae1f, Got: 4f37
Checksum failed. Expected: 7687, Got: 0f2a
Checksum failed. Expected: ebe0, Got: 1499
Checksum failed. Expected: 958c, Got: 3e85
Checksum failed. Expected: 5221, Got: 334f
Checksum failed. Expected: 9a39, Got: 3426
Checksum failed. Expected: e08e, Got: 17a2
Checksum failed. Expected: c865, Got: 4b0f
Checksum failed. Expected: c0c5, Got: 2e5e
Checksum failed. Expected: fdab, Got: 1e33
Checksum failed. Expected: d75f, Got: 2f57
Checksum failed. Expected: 7c03, Got: 33bd
Checksum failed. Expected: 9e4c, Got: 2cfe
Checksum failed. Expected: 81ac, Got: 2310
Checksum failed. Expected: ac22, Got: 2d27
Checksum failed. Expected: 6bde, Got: 4c61
Checksum failed. Expected: c548, Got: 23c5
Checksum failed. Expected: 30cd, Got: 018c
Checksum failed. Expected: c0b0, Got: 2d8e
Checksum failed. Expected: 492c, Got: 3367
Checksum failed. Expected: af5d, Got: 2e01
Checksum failed. Expected: 19ff, Got: e6d5
Checksum failed. Expected: 162b, Got: fefe
Checksum failed. Expected: 6469, Got: 3308
Checksum failed. Expected: 8208, Got: 44ce
Checksum failed. Expected: 83be, Got: 5624
Checksum failed. Expected: c6f0, Got: 0daa
Checksum failed. Expected: 5c76, Got: 190f
Checksum failed. Expected: 9619, Got: 25c9
Checksum failed. Expected: 6668, Got: 31a7
Checksum failed. Expected: e131, Got: 35fe
Checksum failed. Expected: 5740, Got: 15b6
Checksum failed. Expected: 37c4, Got: 1e93
