
#################################################################
Log started at 2025-06-12_13-38-02 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 2788, Got: 2a7d
Checksum failed. Expected: 0945, Got: a3a8
Checksum failed. Expected: 5201, Got: a49b
Checksum failed. Expected: 334a, Got: 54fa
Checksum failed. Expected: 71b6, Got: f2d6
Checksum failed. Expected: 3efd, Got: 9f81
Checksum failed. Expected: 2bc2, Got: bc2f
Checksum failed. Expected: 9915, Got: 16a4
Checksum failed. Expected: 3d97, Got: 1f1a
Checksum failed. Expected: f95c, Got: b9b1
Checksum failed. Expected: 81e6, Got: 2a3c
Checksum failed. Expected: 8f28, Got: aea4
Checksum failed. Expected: e3bc, Got: 8748
Checksum failed. Expected: 2501, Got: 6e63
Checksum failed. Expected: 7256, Got: 72d5
Checksum failed. Expected: 22bc, Got: 0c8a
Checksum failed. Expected: eb39, Got: e177
Checksum failed. Expected: f4da, Got: 7f4d
Checksum failed. Expected: 9cf4, Got: 4ed7
Checksum failed. Expected: 4816, Got: 4067
Checksum failed. Expected: 881a, Got: bb6f
Checksum failed. Expected: d002, Got: 2f40
Checksum failed. Expected: d6b9, Got: f671
Checksum failed. Expected: 053a, Got: cf7e
Checksum failed. Expected: fd02, Got: 090f
Checksum failed. Expected: 650d, Got: f6a6
Checksum failed. Expected: e028, Got: c558
Checksum failed. Expected: c4b3, Got: 5ddb
Checksum failed. Expected: 100a, Got: 8bcf
Checksum failed. Expected: 8c39, Got: 6ac7
Checksum failed. Expected: 29a9, Got: efc1
Checksum failed. Expected: 44b5, Got: 491f
Checksum failed. Expected: 6749, Got: 6eef
Checksum failed. Expected: c091, Got: f491
Checksum failed. Expected: 6683, Got: 902f
Checksum failed. Expected: 62fa, Got: efc0
Checksum failed. Expected: 633f, Got: 6de9
Checksum failed. Expected: 1da9, Got: b1a7
Checksum failed. Expected: 0f6f, Got: d658
Checksum failed. Expected: eba5, Got: 74b3
Checksum failed. Expected: 7276, Got: 1ec1
Checksum failed. Expected: ff4f, Got: 4ed9
Checksum failed. Expected: 9c83, Got: 0682
Checksum failed. Expected: 0379, Got: 2d59
Checksum failed. Expected: f820, Got: 6b65
Checksum failed. Expected: ce9c, Got: 4cbb
Checksum failed. Expected: 60e9, Got: bc84
Checksum failed. Expected: 3efb, Got: 6db3
Checksum failed. Expected: 7a12, Got: 0b13
Checksum failed. Expected: 5de8, Got: 1daa
Checksum failed. Expected: dbb7, Got: a821
Checksum failed. Expected: 9186, Got: 121e
Checksum failed. Expected: 799a, Got: 0cd4
Checksum failed. Expected: 89ab, Got: fbee
Checksum failed. Expected: 23f2, Got: e9b8
Checksum failed. Expected: c121, Got: 876a
Checksum failed. Expected: ea1e, Got: e49d
Checksum failed. Expected: d522, Got: 50a6
Checksum failed. Expected: 9542, Got: f2a8
Checksum failed. Expected: d511, Got: ea16
Checksum failed. Expected: bc67, Got: 6300
Checksum failed. Expected: 8fc2, Got: 90d4
Checksum failed. Expected: b46d, Got: 6bc3
Checksum failed. Expected: 5a83, Got: f074
Checksum failed. Expected: 320a, Got: 9597
Checksum failed. Expected: 2c00, Got: 7665
Checksum failed. Expected: 3fdc, Got: 1e8d
Checksum failed. Expected: 14bf, Got: ae69
Checksum failed. Expected: 07b6, Got: b846
Checksum failed. Expected: cc88, Got: 4188
Checksum failed. Expected: 30b9, Got: 1b72
Checksum failed. Expected: f66a, Got: 3f3a
Checksum failed. Expected: 48a0, Got: 0ecf
Checksum failed. Expected: 97b1, Got: 9247
Checksum failed. Expected: 17d6, Got: 6275
Checksum failed. Expected: 62b2, Got: e25f
Checksum failed. Expected: 3a9f, Got: efd5
Checksum failed. Expected: 53f9, Got: 4054
Checksum failed. Expected: fe32, Got: 6d42
Checksum failed. Expected: 27b0, Got: 0218
Checksum failed. Expected: dbe8, Got: 70c4
Checksum failed. Expected: dc5d, Got: f10a
Checksum failed. Expected: 35d7, Got: 3618
Checksum failed. Expected: 944e, Got: b0b4
Checksum failed. Expected: deee, Got: 2720
Checksum failed. Expected: c43e, Got: fd0d
Checksum failed. Expected: 2408, Got: c106
Checksum failed. Expected: ba3b, Got: 736d
Checksum failed. Expected: 9290, Got: 951b
Checksum failed. Expected: e143, Got: b168
Checksum failed. Expected: 7bd4, Got: e13a
Checksum failed. Expected: 1c8e, Got: 77f1
Checksum failed. Expected: 388d, Got: 28bb
Checksum failed. Expected: 91e0, Got: 59e1
Checksum failed. Expected: 3165, Got: d5f9
Checksum failed. Expected: 8759, Got: 9912
Checksum failed. Expected: 2573, Got: f44e
Checksum failed. Expected: 0afe, Got: fd6a
Checksum failed. Expected: 90f0, Got: fb70
Checksum failed. Expected: 12b2, Got: 0ce2
Checksum failed. Expected: 9def, Got: 8b49
Checksum failed. Expected: 9aca, Got: 7f07
Checksum failed. Expected: 299c, Got: 4d51
Checksum failed. Expected: 21e5, Got: 37f9
Checksum failed. Expected: 4a78, Got: 5bcc
Checksum failed. Expected: bc10, Got: a840
Checksum failed. Expected: 93c0, Got: d3c3
Checksum failed. Expected: d56c, Got: c920
Checksum failed. Expected: 7992, Got: 2313
Checksum failed. Expected: 4c3c, Got: 9107
Checksum failed. Expected: 88f4, Got: d442
Checksum failed. Expected: 89e3, Got: cd3d
Checksum failed. Expected: f400, Got: 1871
Checksum failed. Expected: ddec, Got: d0f9
Checksum failed. Expected: 2587, Got: 0849
Checksum failed. Expected: 2300, Got: 63e0
Checksum failed. Expected: 898d, Got: 3b1a
Checksum failed. Expected: df1d, Got: 9bc7
Checksum failed. Expected: f4ed, Got: 88f0
Checksum failed. Expected: c8bf, Got: 3843
Checksum failed. Expected: a691, Got: 8d5a
Checksum failed. Expected: 0f5f, Got: c7e4
Checksum failed. Expected: 7144, Got: 8fc3
Checksum failed. Expected: b13e, Got: 6e88
Checksum failed. Expected: 52e9, Got: d0eb
Checksum failed. Expected: 440b, Got: 25b9
Checksum failed. Expected: 033d, Got: 13bb
Checksum failed. Expected: 301e, Got: 9289
Checksum failed. Expected: a7ed, Got: ef6e
Checksum failed. Expected: 2e7f, Got: dd26
Checksum failed. Expected: 8358, Got: 726b
Checksum failed. Expected: 967f, Got: edd1
Checksum failed. Expected: d196, Got: af97
Checksum failed. Expected: 8b50, Got: 4b6e
Checksum failed. Expected: b236, Got: a8a9
Checksum failed. Expected: 9229, Got: e698
Checksum failed. Expected: d4ed, Got: 1381
Checksum failed. Expected: e792, Got: f86f
Checksum failed. Expected: 9e3f, Got: 1c14
Checksum failed. Expected: 3a5b, Got: 360f
Checksum failed. Expected: 610f, Got: 1ef4
Checksum failed. Expected: 8508, Got: cd1b
Checksum failed. Expected: ec3d, Got: 9cea
Checksum failed. Expected: ff61, Got: 0318
Checksum failed. Expected: d6c3, Got: e0ff
Checksum failed. Expected: d8e7, Got: e49b
Checksum failed. Expected: 319c, Got: 8460
Checksum failed. Expected: 05f4, Got: ba1c
Checksum failed. Expected: 98a6, Got: de4a
Checksum failed. Expected: b50c, Got: bd35
Checksum failed. Expected: 2b1b, Got: ee72
Checksum failed. Expected: e354, Got: 4012
Checksum failed. Expected: d7dc, Got: 6b62
Checksum failed. Expected: b22f, Got: 8928
Checksum failed. Expected: 4149, Got: f7ad
Checksum failed. Expected: eb3f, Got: f8a3
Checksum failed. Expected: 492a, Got: 7675
Checksum failed. Expected: a97e, Got: c7b0
Checksum failed. Expected: 4129, Got: b088
Checksum failed. Expected: 2a1d, Got: 668d
Checksum failed. Expected: 128d, Got: f944
Checksum failed. Expected: c803, Got: c84d
Checksum failed. Expected: ce13, Got: 83a1
Checksum failed. Expected: 680a, Got: ae7d
Checksum failed. Expected: 99c7, Got: 9a6b
Checksum failed. Expected: c2b3, Got: d8f5
Checksum failed. Expected: 456c, Got: e2f4
Checksum failed. Expected: 060d, Got: 6e4a
Checksum failed. Expected: 890e, Got: e10c
Checksum failed. Expected: 5e86, Got: 9619
Checksum failed. Expected: 9ad7, Got: 3292
Checksum failed. Expected: a3fd, Got: 3d14
Checksum failed. Expected: a0a0, Got: 5f49
Checksum failed. Expected: e5cc, Got: 4d27
Checksum failed. Expected: 1062, Got: 27db
Checksum failed. Expected: 9d98, Got: eb3d
Checksum failed. Expected: 24f5, Got: 2621
Checksum failed. Expected: c437, Got: 5b9c
Checksum failed. Expected: 0a1d, Got: 5bc9
Checksum failed. Expected: 85cb, Got: 1a5b
Checksum failed. Expected: b7aa, Got: e631
Checksum failed. Expected: d4a4, Got: 93fc
Checksum failed. Expected: a858, Got: bfe4
Checksum failed. Expected: 5765, Got: 8e1f
Checksum failed. Expected: 9638, Got: 5359
Checksum failed. Expected: 1aea, Got: c2f7
Checksum failed. Expected: 4035, Got: 7cb0
Checksum failed. Expected: 7ca6, Got: 505b
Checksum failed. Expected: ac78, Got: 92cb
Checksum failed. Expected: 6739, Got: d771
Checksum failed. Expected: b0bc, Got: 64e2
Checksum failed. Expected: c858, Got: ba36
Checksum failed. Expected: 4453, Got: a810
Checksum failed. Expected: acb4, Got: 0fbc
Checksum failed. Expected: a111, Got: e93f
Checksum failed. Expected: d589, Got: 878a
Checksum failed. Expected: a753, Got: cdaa
Checksum failed. Expected: ae0a, Got: 6ddf
Checksum failed. Expected: 344b, Got: 518b
Checksum failed. Expected: a8eb, Got: 763e
Checksum failed. Expected: bf09, Got: 0171
Checksum failed. Expected: 5369, Got: 9ea2
Checksum failed. Expected: 9f87, Got: 981f
Checksum failed. Expected: 0829, Got: c69f
Checksum failed. Expected: 7c6c, Got: 9421
Checksum failed. Expected: 5485, Got: 7d0a
Checksum failed. Expected: 9062, Got: e31a
Checksum failed. Expected: 4d6a, Got: cc35
Checksum failed. Expected: d3b6, Got: b77b
Checksum failed. Expected: 5970, Got: a6e7
Checksum failed. Expected: 9818, Got: 8a72
Checksum failed. Expected: 430b, Got: d6b7
Checksum failed. Expected: 33de, Got: 8be7
Checksum failed. Expected: 26a3, Got: 46e1
Checksum failed. Expected: 8f14, Got: 23c4
Checksum failed. Expected: e0f2, Got: 7289
Checksum failed. Expected: cd0b, Got: b547
Checksum failed. Expected: 7888, Got: cad3
Checksum failed. Expected: 4150, Got: 69b2
Checksum failed. Expected: 7e94, Got: b564
Checksum failed. Expected: df06, Got: 8d93
Checksum failed. Expected: 32a1, Got: 577a
Checksum failed. Expected: 0d05, Got: 2da4
Checksum failed. Expected: be8a, Got: a90f
Checksum failed. Expected: ab09, Got: d7e7
Checksum failed. Expected: f7bc, Got: d53a
Checksum failed. Expected: 710d, Got: f310
Checksum failed. Expected: 27f4, Got: 4c5f
Checksum failed. Expected: 2de7, Got: ec93
Checksum failed. Expected: 1672, Got: 8a1b
Checksum failed. Expected: aa30, Got: 9c3a
Checksum failed. Expected: c5ad, Got: afb9
Checksum failed. Expected: be89, Got: f6b2
Checksum failed. Expected: 61b8, Got: ffde
Checksum failed. Expected: c1c4, Got: 3442
Checksum failed. Expected: 7a5b, Got: 02e5
Checksum failed. Expected: 4b11, Got: 58f9
Checksum failed. Expected: fd73, Got: fe61
Checksum failed. Expected: 67dc, Got: c27b
Checksum failed. Expected: 8d97, Got: f6c3
Checksum failed. Expected: d8cf, Got: 2656
Checksum failed. Expected: 6a14, Got: 20bb
Checksum failed. Expected: 9b06, Got: 63d2
Checksum failed. Expected: ea39, Got: cd61
Checksum failed. Expected: f951, Got: d080
Checksum failed. Expected: de28, Got: 9b56
Checksum failed. Expected: 6bbf, Got: 9d48
Checksum failed. Expected: 22f7, Got: 0178
Checksum failed. Expected: a1dd, Got: 1117
Checksum failed. Expected: 9f36, Got: 32c7
Checksum failed. Expected: 6c0e, Got: d0f8
Checksum failed. Expected: 80c0, Got: 3bc3
Checksum failed. Expected: dda5, Got: 0c88
Checksum failed. Expected: 2739, Got: 157d
Checksum failed. Expected: eba2, Got: 8b69
Checksum failed. Expected: aed3, Got: 8328
Checksum failed. Expected: 2992, Got: 0130
Checksum failed. Expected: 719e, Got: b94b
Checksum failed. Expected: edb8, Got: e3a3
Checksum failed. Expected: fb31, Got: c394
Checksum failed. Expected: 6834, Got: 0018
Checksum failed. Expected: 05a7, Got: a9f4
Checksum failed. Expected: 3258, Got: 0735
Checksum failed. Expected: e038, Got: ae2a
Checksum failed. Expected: 4bad, Got: 2445
Checksum failed. Expected: 28a2, Got: ce6d
Checksum failed. Expected: 38ef, Got: 0d1b
Checksum failed. Expected: 984a, Got: d876
Checksum failed. Expected: 16bd, Got: a30f
Checksum failed. Expected: 51a6, Got: 1aa7
Checksum failed. Expected: 1b37, Got: 37ba
Checksum failed. Expected: 5394, Got: 5e15
Checksum failed. Expected: 6368, Got: 440a
Checksum failed. Expected: d1e1, Got: 3eb9
Checksum failed. Expected: 2e12, Got: 6d6e
Checksum failed. Expected: c150, Got: 8f68
Checksum failed. Expected: 9936, Got: 9b4c
Checksum failed. Expected: a13c, Got: 251e
Checksum failed. Expected: 084b, Got: a2d0
Checksum failed. Expected: ff36, Got: 3e32
Checksum failed. Expected: 33f7, Got: 52e6
Checksum failed. Expected: 90f9, Got: c95a
Checksum failed. Expected: dbd3, Got: 88e8
