
#################################################################
Log started at 2025-06-12_13-38-57 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: bde7, Got: 9400
Checksum failed. Expected: 8bac, Got: 650c
Checksum failed. Expected: d661, Got: 0005
Checksum failed. Expected: 6008, Got: 06fc
Checksum failed. Expected: 87a1, Got: 0591
Checksum failed. Expected: 48ec, Got: 0483
Checksum failed. Expected: d6ea, Got: 015c
Checksum failed. Expected: 025c, Got: ff51
Checksum failed. Expected: 11fe, Got: 0647
Checksum failed. Expected: e5cb, Got: 0bbe
Checksum failed. Expected: 6541, Got: 0a0e
Checksum failed. Expected: 3c4c, Got: 0162
Checksum failed. Expected: 9402, Got: 0131
Checksum failed. Expected: a1c9, Got: 0332
Checksum failed. Expected: a143, Got: 054c
Checksum failed. Expected: 1448, Got: 07a7
Checksum failed. Expected: 30fc, Got: 0545
Checksum failed. Expected: bd54, Got: 0461
Checksum failed. Expected: f611, Got: 0120
Checksum failed. Expected: d8e6, Got: 0122
Checksum failed. Expected: 234a, Got: 03b1
Checksum failed. Expected: c72a, Got: 08b9
Checksum failed. Expected: c54b, Got: 0805
Checksum failed. Expected: e815, Got: 0591
Checksum failed. Expected: 9857, Got: 0286
Checksum failed. Expected: 57d6, Got: 02c7
Checksum failed. Expected: a08a, Got: 04b0
Checksum failed. Expected: 7a9b, Got: 0544
Checksum failed. Expected: c0fd, Got: 05ae
Checksum failed. Expected: 1acb, Got: 0578
Checksum failed. Expected: 8e0e, Got: 0407
Checksum failed. Expected: 3de1, Got: 0439
Checksum failed. Expected: 07d4, Got: 039e
Checksum failed. Expected: d99a, Got: 0868
Checksum failed. Expected: 43bb, Got: 0654
Checksum failed. Expected: 6c1b, Got: 03b4
Checksum failed. Expected: 084f, Got: 0372
Checksum failed. Expected: 8c72, Got: 035d
Checksum failed. Expected: 866c, Got: 046c
Checksum failed. Expected: 4b18, Got: 0473
Checksum failed. Expected: b2dd, Got: 065d
Checksum failed. Expected: 1100, Got: 0314
Checksum failed. Expected: 4798, Got: 0539
Checksum failed. Expected: 130f, Got: 0178
Checksum failed. Expected: 8183, Got: 0523
Checksum failed. Expected: c352, Got: 0553
Checksum failed. Expected: bdb8, Got: 0421
Checksum failed. Expected: 74fe, Got: 03a1
Checksum failed. Expected: 7919, Got: 03ac
Checksum failed. Expected: f025, Got: 0557
Checksum failed. Expected: 6d63, Got: 035b
Checksum failed. Expected: 688d, Got: 0344
Checksum failed. Expected: 15a9, Got: 05c9
Checksum failed. Expected: 2049, Got: 048e
Checksum failed. Expected: 47ff, Got: 04aa
Checksum failed. Expected: 5c85, Got: 03da
Checksum failed. Expected: a3b6, Got: 01ed
Checksum failed. Expected: 83ef, Got: 035f
Checksum failed. Expected: 94bb, Got: 06cd
Checksum failed. Expected: 92d6, Got: 065f
Checksum failed. Expected: cd42, Got: 0370
Checksum failed. Expected: ee7f, Got: 0471
Checksum failed. Expected: 3af1, Got: 054e
Checksum failed. Expected: e66a, Got: 029b
Checksum failed. Expected: 89c8, Got: 03a1
Checksum failed. Expected: 7468, Got: 03fd
Checksum failed. Expected: f2f6, Got: 0626
Checksum failed. Expected: e28e, Got: 02ea
Checksum failed. Expected: 8ad5, Got: 0411
Checksum failed. Expected: 741b, Got: 03e8
Checksum failed. Expected: 4887, Got: 05e6
Checksum failed. Expected: 0e1f, Got: 04b5
Checksum failed. Expected: 333d, Got: 0329
Checksum failed. Expected: e216, Got: 032d
Checksum failed. Expected: b150, Got: 0511
Checksum failed. Expected: a3d7, Got: 04a1
Checksum failed. Expected: f321, Got: 060a
Checksum failed. Expected: 17d8, Got: 05fe
Checksum failed. Expected: 1401, Got: 02c7
Checksum failed. Expected: 73ad, Got: 0498
Checksum failed. Expected: f291, Got: 04fe
Checksum failed. Expected: 1ad2, Got: 05a9
Checksum failed. Expected: 9eb6, Got: 0654
Checksum failed. Expected: 2fd3, Got: 0587
Checksum failed. Expected: 54e9, Got: 0208
Checksum failed. Expected: 152a, Got: 0386
Checksum failed. Expected: cc73, Got: 030a
Checksum failed. Expected: 02d8, Got: 05a6
Checksum failed. Expected: eb4b, Got: 0503
Checksum failed. Expected: 9244, Got: 0530
Checksum failed. Expected: 2c22, Got: 0477
Checksum failed. Expected: dadd, Got: 0348
Checksum failed. Expected: 84c7, Got: 0220
Checksum failed. Expected: 9f7a, Got: 03c6
Checksum failed. Expected: c2f4, Got: 0610
Checksum failed. Expected: 8aa2, Got: 04f0
Checksum failed. Expected: fc06, Got: 0379
Checksum failed. Expected: febb, Got: 033a
Checksum failed. Expected: b1e3, Got: 0343
Checksum failed. Expected: 5625, Got: 0461
Checksum failed. Expected: 9d16, Got: 06b1
Checksum failed. Expected: ae16, Got: 0617
Checksum failed. Expected: 1b90, Got: 04f9
Checksum failed. Expected: 4127, Got: 0376
Checksum failed. Expected: df5e, Got: 0317
Checksum failed. Expected: d3bb, Got: 04c7
Checksum failed. Expected: 2c74, Got: 06c4
Checksum failed. Expected: 571a, Got: 0503
Checksum failed. Expected: e657, Got: 038c
Checksum failed. Expected: cfb8, Got: 03fc
Checksum failed. Expected: ac06, Got: 037b
Checksum failed. Expected: f340, Got: 062f
Checksum failed. Expected: 989d, Got: 05cb
Checksum failed. Expected: a33f, Got: 03ab
Checksum failed. Expected: e634, Got: 04cb
Checksum failed. Expected: c918, Got: 03d2
Checksum failed. Expected: eded, Got: 0498
Checksum failed. Expected: 7cc2, Got: 0385
Checksum failed. Expected: 08ca, Got: 03c7
Checksum failed. Expected: d8c2, Got: 04b5
Checksum failed. Expected: 098d, Got: 0498
Checksum failed. Expected: 5d0b, Got: 04b5
Checksum failed. Expected: edaf, Got: 0384
Checksum failed. Expected: f610, Got: 060e
Checksum failed. Expected: c604, Got: 0424
Checksum failed. Expected: dbe8, Got: 070f
Checksum failed. Expected: b182, Got: 054f
Checksum failed. Expected: a381, Got: 02d1
