
#################################################################
Log started at 2025-06-12_13-40-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 98e3, Got: 0004
Checksum failed. Expected: a145, Got: 25a1
Checksum failed. Expected: c27c, Got: da74
Acceleration: X=0.255452, Y=1.211243, Z=-9.765438 m/s^2 Time of Week: 366053.434000, Week Number: 2370
Acceleration: X=0.310261, Y=1.155883, Z=-9.992326 m/s^2 Time of Week: 366053.444000, Week Number: 2370
Acceleration: X=0.089850, Y=0.854032, Z=-9.685620 m/s^2 Time of Week: 366053.454000, Week Number: 2370
Acceleration: X=0.043235, Y=0.775699, Z=-9.660079 m/s^2 Time of Week: 366053.464000, Week Number: 2370
Acceleration: X=0.022519, Y=0.742076, Z=-9.732295 m/s^2 Time of Week: 366053.474000, Week Number: 2370
Acceleration: X=0.021308, Y=0.750265, Z=-9.768636 m/s^2 Time of Week: 366053.484000, Week Number: 2370
Acceleration: X=0.030368, Y=0.765459, Z=-9.764547 m/s^2 Time of Week: 366053.494000, Week Number: 2370
Acceleration: X=0.059850, Y=0.809017, Z=-9.751578 m/s^2 Time of Week: 366053.504000, Week Number: 2370
Acceleration: X=0.070727, Y=0.817940, Z=-9.751362 m/s^2 Time of Week: 366053.514000, Week Number: 2370
Acceleration: X=0.067627, Y=0.838746, Z=-9.756533 m/s^2 Time of Week: 366053.524000, Week Number: 2370
Acceleration: X=0.046390, Y=0.809430, Z=-9.782573 m/s^2 Time of Week: 366053.534000, Week Number: 2370
Acceleration: X=0.034792, Y=0.787837, Z=-9.760125 m/s^2 Time of Week: 366053.544000, Week Number: 2370
Acceleration: X=0.036381, Y=0.780426, Z=-9.704433 m/s^2 Time of Week: 366053.554000, Week Number: 2370
Acceleration: X=0.039280, Y=0.764661, Z=-9.711461 m/s^2 Time of Week: 366053.564000, Week Number: 2370
Acceleration: X=0.042550, Y=0.765030, Z=-9.745860 m/s^2 Time of Week: 366053.574000, Week Number: 2370
Acceleration: X=0.054608, Y=0.781425, Z=-9.762379 m/s^2 Time of Week: 366053.584000, Week Number: 2370
Acceleration: X=0.045151, Y=0.793616, Z=-9.762102 m/s^2 Time of Week: 366053.594000, Week Number: 2370
Acceleration: X=0.050146, Y=0.805440, Z=-9.744974 m/s^2 Time of Week: 366053.604000, Week Number: 2370
Acceleration: X=0.051515, Y=0.817764, Z=-9.758160 m/s^2 Time of Week: 366053.614000, Week Number: 2370
Acceleration: X=0.057111, Y=0.826965, Z=-9.776977 m/s^2 Time of Week: 366053.624000, Week Number: 2370
Acceleration: X=0.051295, Y=0.808258, Z=-9.775714 m/s^2 Time of Week: 366053.634000, Week Number: 2370
Acceleration: X=0.047382, Y=0.791341, Z=-9.752282 m/s^2 Time of Week: 366053.644000, Week Number: 2370
Acceleration: X=0.034441, Y=0.775562, Z=-9.740773 m/s^2 Time of Week: 366053.654000, Week Number: 2370
Acceleration: X=0.037260, Y=0.766888, Z=-9.721938 m/s^2 Time of Week: 366053.664000, Week Number: 2370
Acceleration: X=0.040084, Y=0.763443, Z=-9.620315 m/s^2 Time of Week: 366053.674000, Week Number: 2370
Acceleration: X=0.040560, Y=0.702306, Z=-9.164722 m/s^2 Time of Week: 366053.684000, Week Number: 2370
Acceleration: X=-0.035897, Y=0.716214, Z=-10.115431 m/s^2 Time of Week: 366053.694000, Week Number: 2370
Acceleration: X=0.036308, Y=0.529907, Z=-10.884369 m/s^2 Time of Week: 366053.704000, Week Number: 2370
Acceleration: X=0.165939, Y=1.195067, Z=-9.242645 m/s^2 Time of Week: 366053.714000, Week Number: 2370
Acceleration: X=0.099188, Y=1.186040, Z=-9.558372 m/s^2 Time of Week: 366053.724000, Week Number: 2370
Acceleration: X=0.052673, Y=0.831042, Z=-9.874062 m/s^2 Time of Week: 366053.734000, Week Number: 2370
Acceleration: X=0.070465, Y=0.675190, Z=-9.936664 m/s^2 Time of Week: 366053.744000, Week Number: 2370
Acceleration: X=0.042351, Y=0.714489, Z=-9.717333 m/s^2 Time of Week: 366053.754000, Week Number: 2370
Acceleration: X=0.022630, Y=0.734102, Z=-9.373909 m/s^2 Time of Week: 366053.764000, Week Number: 2370
Acceleration: X=0.000930, Y=0.703697, Z=-9.623664 m/s^2 Time of Week: 366053.774000, Week Number: 2370
Acceleration: X=0.005722, Y=0.719297, Z=-10.027232 m/s^2 Time of Week: 366053.784000, Week Number: 2370
Acceleration: X=0.075552, Y=0.854476, Z=-9.701309 m/s^2 Time of Week: 366053.794000, Week Number: 2370
Acceleration: X=0.115735, Y=1.031284, Z=-9.601053 m/s^2 Time of Week: 366053.804000, Week Number: 2370
Acceleration: X=0.091029, Y=0.895548, Z=-10.029165 m/s^2 Time of Week: 366053.814000, Week Number: 2370
Acceleration: X=0.114333, Y=0.816943, Z=-9.953301 m/s^2 Time of Week: 366053.824000, Week Number: 2370
Acceleration: X=0.110035, Y=0.873542, Z=-9.568100 m/s^2 Time of Week: 366053.834000, Week Number: 2370
Acceleration: X=0.046153, Y=0.864566, Z=-9.596810 m/s^2 Time of Week: 366053.844000, Week Number: 2370
Acceleration: X=0.022154, Y=0.786412, Z=-9.773897 m/s^2 Time of Week: 366053.854000, Week Number: 2370
Acceleration: X=0.041876, Y=0.775057, Z=-9.780791 m/s^2 Time of Week: 366053.864000, Week Number: 2370
Acceleration: X=0.065031, Y=0.808074, Z=-9.700286 m/s^2 Time of Week: 366053.874000, Week Number: 2370
Acceleration: X=0.117145, Y=0.867902, Z=-9.641549 m/s^2 Time of Week: 366053.884000, Week Number: 2370
Acceleration: X=0.131267, Y=0.901582, Z=-9.792356 m/s^2 Time of Week: 366053.894000, Week Number: 2370
Acceleration: X=0.100266, Y=0.953667, Z=-9.854419 m/s^2 Time of Week: 366053.904000, Week Number: 2370
Acceleration: X=0.071321, Y=0.915752, Z=-9.854094 m/s^2 Time of Week: 366053.914000, Week Number: 2370
Acceleration: X=0.072418, Y=0.913536, Z=-9.721727 m/s^2 Time of Week: 366053.924000, Week Number: 2370
Acceleration: X=0.086422, Y=0.881061, Z=-9.683717 m/s^2 Time of Week: 366053.934000, Week Number: 2370
Acceleration: X=0.105506, Y=0.859357, Z=-9.693530 m/s^2 Time of Week: 366053.944000, Week Number: 2370
Acceleration: X=0.108063, Y=0.893066, Z=-9.675428 m/s^2 Time of Week: 366053.954000, Week Number: 2370
Acceleration: X=0.095494, Y=0.860615, Z=-9.790486 m/s^2 Time of Week: 366053.964000, Week Number: 2370
Acceleration: X=0.101127, Y=0.929621, Z=-9.736708 m/s^2 Time of Week: 366053.974000, Week Number: 2370
Acceleration: X=0.112086, Y=1.018155, Z=-9.653856 m/s^2 Time of Week: 366053.984000, Week Number: 2370
Acceleration: X=0.104990, Y=0.980348, Z=-9.817077 m/s^2 Time of Week: 366053.994000, Week Number: 2370
Acceleration: X=0.121950, Y=0.980259, Z=-9.810939 m/s^2 Time of Week: 366054.004000, Week Number: 2370
Acceleration: X=0.156863, Y=0.965914, Z=-9.689723 m/s^2 Time of Week: 366054.014000, Week Number: 2370
Acceleration: X=0.109683, Y=0.901813, Z=-9.742615 m/s^2 Time of Week: 366054.024000, Week Number: 2370
Acceleration: X=0.109055, Y=0.912695, Z=-9.689467 m/s^2 Time of Week: 366054.034000, Week Number: 2370
Acceleration: X=0.098068, Y=0.966802, Z=-9.670083 m/s^2 Time of Week: 366054.044000, Week Number: 2370
Acceleration: X=0.094389, Y=0.947144, Z=-9.774138 m/s^2 Time of Week: 366054.054000, Week Number: 2370
Acceleration: X=0.132975, Y=0.990814, Z=-9.762092 m/s^2 Time of Week: 366054.064000, Week Number: 2370
Acceleration: X=0.161659, Y=1.002505, Z=-9.751347 m/s^2 Time of Week: 366054.074000, Week Number: 2370
Acceleration: X=0.152422, Y=1.026122, Z=-9.730380 m/s^2 Time of Week: 366054.084000, Week Number: 2370
Acceleration: X=0.139091, Y=1.028778, Z=-9.736361 m/s^2 Time of Week: 366054.094000, Week Number: 2370
Acceleration: X=0.123855, Y=1.002354, Z=-9.748249 m/s^2 Time of Week: 366054.104000, Week Number: 2370
Acceleration: X=0.113142, Y=0.995365, Z=-9.728039 m/s^2 Time of Week: 366054.114000, Week Number: 2370
Acceleration: X=0.121870, Y=0.974158, Z=-9.704899 m/s^2 Time of Week: 366054.124000, Week Number: 2370
Acceleration: X=0.134524, Y=0.965411, Z=-9.685487 m/s^2 Time of Week: 366054.134000, Week Number: 2370
Acceleration: X=0.147071, Y=0.988859, Z=-9.701378 m/s^2 Time of Week: 366054.144000, Week Number: 2370
Acceleration: X=0.138374, Y=0.995771, Z=-9.751973 m/s^2 Time of Week: 366054.154000, Week Number: 2370
Acceleration: X=0.130316, Y=1.032069, Z=-9.716217 m/s^2 Time of Week: 366054.164000, Week Number: 2370
Acceleration: X=0.146360, Y=1.037443, Z=-9.730754 m/s^2 Time of Week: 366054.174000, Week Number: 2370
Acceleration: X=0.149202, Y=1.022988, Z=-9.773920 m/s^2 Time of Week: 366054.184000, Week Number: 2370
Acceleration: X=0.143975, Y=1.029446, Z=-9.736517 m/s^2 Time of Week: 366054.194000, Week Number: 2370
Acceleration: X=0.144116, Y=1.024751, Z=-9.718775 m/s^2 Time of Week: 366054.204000, Week Number: 2370
Acceleration: X=0.136228, Y=0.998508, Z=-9.712668 m/s^2 Time of Week: 366054.214000, Week Number: 2370
Acceleration: X=0.136207, Y=0.990739, Z=-9.709150 m/s^2 Time of Week: 366054.224000, Week Number: 2370
Acceleration: X=0.134317, Y=0.991579, Z=-9.705651 m/s^2 Time of Week: 366054.234000, Week Number: 2370
Acceleration: X=0.151342, Y=1.027805, Z=-9.712213 m/s^2 Time of Week: 366054.244000, Week Number: 2370
Acceleration: X=0.153199, Y=1.029177, Z=-9.758240 m/s^2 Time of Week: 366054.254000, Week Number: 2370
Acceleration: X=0.144640, Y=0.999677, Z=-9.817022 m/s^2 Time of Week: 366054.264000, Week Number: 2370
Acceleration: X=0.143450, Y=1.064396, Z=-9.711670 m/s^2 Time of Week: 366054.274000, Week Number: 2370
Acceleration: X=0.157144, Y=1.035677, Z=-9.783809 m/s^2 Time of Week: 366054.284000, Week Number: 2370
Acceleration: X=0.190181, Y=1.164241, Z=-9.618746 m/s^2 Time of Week: 366054.294000, Week Number: 2370
Acceleration: X=0.213926, Y=1.120318, Z=-9.734866 m/s^2 Time of Week: 366054.304000, Week Number: 2370
Acceleration: X=0.203199, Y=1.118727, Z=-9.699563 m/s^2 Time of Week: 366054.314000, Week Number: 2370
Acceleration: X=0.154661, Y=1.063678, Z=-9.749605 m/s^2 Time of Week: 366054.324000, Week Number: 2370
Acceleration: X=0.142846, Y=1.087574, Z=-9.702177 m/s^2 Time of Week: 366054.334000, Week Number: 2370
Acceleration: X=0.150453, Y=1.073101, Z=-9.731644 m/s^2 Time of Week: 366054.344000, Week Number: 2370
Acceleration: X=0.180616, Y=1.084178, Z=-9.730549 m/s^2 Time of Week: 366054.354000, Week Number: 2370
Acceleration: X=0.191175, Y=1.092172, Z=-9.710088 m/s^2 Time of Week: 366054.364000, Week Number: 2370
Acceleration: X=0.192110, Y=1.086056, Z=-9.729184 m/s^2 Time of Week: 366054.374000, Week Number: 2370
Acceleration: X=0.182496, Y=1.109142, Z=-9.722986 m/s^2 Time of Week: 366054.384000, Week Number: 2370
Acceleration: X=0.169317, Y=1.154108, Z=-9.706762 m/s^2 Time of Week: 366054.394000, Week Number: 2370
Acceleration: X=0.160600, Y=1.138475, Z=-9.725261 m/s^2 Time of Week: 366054.404000, Week Number: 2370
Acceleration: X=0.193974, Y=1.145569, Z=-9.711926 m/s^2 Time of Week: 366054.414000, Week Number: 2370
Acceleration: X=0.197115, Y=1.101170, Z=-9.695580 m/s^2 Time of Week: 366054.424000, Week Number: 2370
Acceleration: X=0.205009, Y=1.147442, Z=-9.604957 m/s^2 Time of Week: 366054.434000, Week Number: 2370
Acceleration: X=0.185373, Y=1.109922, Z=-9.689428 m/s^2 Time of Week: 366054.444000, Week Number: 2370
Acceleration: X=0.177640, Y=1.146012, Z=-9.702897 m/s^2 Time of Week: 366054.454000, Week Number: 2370
Acceleration: X=0.172790, Y=1.135021, Z=-9.748816 m/s^2 Time of Week: 366054.464000, Week Number: 2370
Acceleration: X=0.175701, Y=1.139906, Z=-9.733316 m/s^2 Time of Week: 366054.474000, Week Number: 2370
Acceleration: X=0.186459, Y=1.123320, Z=-9.725249 m/s^2 Time of Week: 366054.484000, Week Number: 2370
