
#################################################################
Log started at 2025-06-12_13-41-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 28d6, Got: 0000
Checksum failed. Expected: 25f5, Got: 0000
Checksum failed. Expected: af7f, Got: 0000
Checksum failed. Expected: 2146, Got: 0000
Checksum failed. Expected: 0c69, Got: 0000
Checksum failed. Expected: 4dc4, Got: 0000
Checksum failed. Expected: 97ce, Got: 0000
Checksum failed. Expected: 9348, Got: 0000
Checksum failed. Expected: 2feb, Got: 0000
Checksum failed. Expected: b2f0, Got: 0000
Checksum failed. Expected: f447, Got: 0000
Checksum failed. Expected: 1e11, Got: 0000
Checksum failed. Expected: 64c0, Got: 0000
Checksum failed. Expected: 76be, Got: 0000
Checksum failed. Expected: 0c2c, Got: 0000
Checksum failed. Expected: 3b2d, Got: 0000
Checksum failed. Expected: e6db, Got: 0000
Checksum failed. Expected: 2183, Got: 0000
Checksum failed. Expected: d5e6, Got: 0000
Checksum failed. Expected: 2bc2, Got: 0000
Checksum failed. Expected: f191, Got: 0000
Checksum failed. Expected: b5fe, Got: 0000
Checksum failed. Expected: bd4f, Got: 0000
Checksum failed. Expected: d6e0, Got: 0000
Checksum failed. Expected: f9fd, Got: 0000
Checksum failed. Expected: 9a11, Got: 0000
Checksum failed. Expected: 17b5, Got: 0000
Checksum failed. Expected: 4d57, Got: 0000
Checksum failed. Expected: 072e, Got: 0000
Checksum failed. Expected: e11f, Got: 0000
Checksum failed. Expected: 1aea, Got: 0000
Checksum failed. Expected: 417e, Got: 0000
Checksum failed. Expected: ff9c, Got: 0000
Checksum failed. Expected: 3eb5, Got: 0000
Checksum failed. Expected: 0adc, Got: 0000
Checksum failed. Expected: 2463, Got: 0000
Checksum failed. Expected: a0f1, Got: 0000
Checksum failed. Expected: 250e, Got: 0000
Checksum failed. Expected: a4b6, Got: 0000
Checksum failed. Expected: dfbe, Got: 0000
Checksum failed. Expected: 5b29, Got: 0000
Checksum failed. Expected: f055, Got: 0000
Checksum failed. Expected: 9141, Got: 0000
