
#################################################################
Log started at 2025-06-12_13-41-12 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a2c5, Got: 3958
Checksum failed. Expected: 2f0b, Got: a9fc
Checksum failed. Expected: 56ba, Got: 1aa0
Checksum failed. Expected: dd83, Got: 8b44
Checksum failed. Expected: a0bf, Got: fbe8
Checksum failed. Expected: 6d8e, Got: 6c8c
Checksum failed. Expected: e03e, Got: dd2f
Checksum failed. Expected: 86bd, Got: 4dd3
Checksum failed. Expected: 6df0, Got: be77
Checksum failed. Expected: f80f, Got: 2f1b
Checksum failed. Expected: 45b6, Got: 9fbf
Checksum failed. Expected: 2ef7, Got: 1063
Checksum failed. Expected: 6468, Got: 8107
Checksum failed. Expected: 0e46, Got: f1aa
Checksum failed. Expected: 45e8, Got: 624e
Checksum failed. Expected: 9177, Got: d2f2
Checksum failed. Expected: e38c, Got: 4396
Checksum failed. Expected: 3f11, Got: b43a
Checksum failed. Expected: c6ec, Got: 24de
Checksum failed. Expected: 85d9, Got: 9581
Checksum failed. Expected: 5d41, Got: 0625
Checksum failed. Expected: 03d2, Got: 76c9
Checksum failed. Expected: 2fe0, Got: e76d
Checksum failed. Expected: 0729, Got: 5811
Checksum failed. Expected: bfa0, Got: c8b5
Checksum failed. Expected: f52d, Got: 3958
Checksum failed. Expected: 157d, Got: a9fc
Checksum failed. Expected: 35ca, Got: 1aa0
Checksum failed. Expected: 3315, Got: 8b44
Checksum failed. Expected: d79f, Got: fbe8
Checksum failed. Expected: 4fc8, Got: 6c8c
Checksum failed. Expected: f218, Got: dd2f
Checksum failed. Expected: d2c3, Got: 4dd3
Checksum failed. Expected: 14f0, Got: be77
Checksum failed. Expected: 8e21, Got: 2f1b
Checksum failed. Expected: a08e, Got: 9fbf
Checksum failed. Expected: 88c1, Got: 1063
Checksum failed. Expected: 93d8, Got: 8107
Checksum failed. Expected: 1df6, Got: f1aa
Checksum failed. Expected: aa4c, Got: 624e
Checksum failed. Expected: 4a73, Got: d2f2
Checksum failed. Expected: d9de, Got: 4396
Checksum failed. Expected: 7e61, Got: b43a
Checksum failed. Expected: 7fe8, Got: 24de
Checksum failed. Expected: 6b4b, Got: 9581
Checksum failed. Expected: 876b, Got: 0625
Checksum failed. Expected: 5eaa, Got: 76c9
Checksum failed. Expected: f7ae, Got: e76d
Checksum failed. Expected: 27c7, Got: 5811
Checksum failed. Expected: 10ec, Got: c8b5
Checksum failed. Expected: 4bbf, Got: 3958
Checksum failed. Expected: 4d6b, Got: a9fc
Checksum failed. Expected: 8f94, Got: 1aa0
Checksum failed. Expected: 6af5, Got: 8b44
Checksum failed. Expected: f62f, Got: fbe8
Checksum failed. Expected: d5fa, Got: 6c8c
Checksum failed. Expected: cac6, Got: dd2f
Checksum failed. Expected: 7bdf, Got: 4dd3
Checksum failed. Expected: 3164, Got: be77
Checksum failed. Expected: d6ef, Got: 2f1b
Checksum failed. Expected: 2396, Got: 9fbf
Checksum failed. Expected: 1771, Got: 1063
Checksum failed. Expected: c89c, Got: 8107
Checksum failed. Expected: 0f10, Got: f1aa
Checksum failed. Expected: 46b2, Got: 624e
Checksum failed. Expected: c0c5, Got: d2f2
Checksum failed. Expected: d9bc, Got: 4396
Checksum failed. Expected: fc23, Got: b43a
Checksum failed. Expected: e668, Got: 24de
Checksum failed. Expected: 026b, Got: 9581
Checksum failed. Expected: e45f, Got: 0625
Checksum failed. Expected: 3982, Got: 76c9
Checksum failed. Expected: 2402, Got: e76d
Checksum failed. Expected: 1bfd, Got: 5811
Checksum failed. Expected: 9a56, Got: c8b5
Checksum failed. Expected: 345b, Got: 3958
Checksum failed. Expected: 1971, Got: a9fc
Checksum failed. Expected: a060, Got: 1aa0
Checksum failed. Expected: 8985, Got: 8b44
Checksum failed. Expected: 96cd, Got: fbe8
Checksum failed. Expected: 4930, Got: 6c8c
Checksum failed. Expected: 8808, Got: dd2f
Checksum failed. Expected: ab5d, Got: 4dd3
Checksum failed. Expected: 2f26, Got: be77
Checksum failed. Expected: 7def, Got: 2f1b
Checksum failed. Expected: a482, Got: 9fbf
Checksum failed. Expected: 3b47, Got: 1063
Checksum failed. Expected: 8a16, Got: 8107
Checksum failed. Expected: 8aa8, Got: f1aa
Checksum failed. Expected: cce4, Got: 624e
Checksum failed. Expected: 09a1, Got: d2f2
Checksum failed. Expected: 093a, Got: 4396
Checksum failed. Expected: 1127, Got: b43a
Checksum failed. Expected: 36a6, Got: 24de
Checksum failed. Expected: 8357, Got: 9581
Checksum failed. Expected: 71f3, Got: 0625
Checksum failed. Expected: d1b0, Got: 76c9
Checksum failed. Expected: 9a54, Got: e76d
Checksum failed. Expected: b32b, Got: 5811
Checksum failed. Expected: 24c0, Got: c8b5
Checksum failed. Expected: 3ca9, Got: 3958
Checksum failed. Expected: 831b, Got: a9fc
Checksum failed. Expected: 6b58, Got: 1aa0
Checksum failed. Expected: 3f57, Got: 8b44
Checksum failed. Expected: da63, Got: fbe8
Checksum failed. Expected: d39a, Got: 6c8c
Checksum failed. Expected: 4212, Got: dd2f
Checksum failed. Expected: 3081, Got: 4dd3
Checksum failed. Expected: 224e, Got: be77
Checksum failed. Expected: 5ae3, Got: 2f1b
Checksum failed. Expected: 8b02, Got: 9fbf
Checksum failed. Expected: 700b, Got: 1063
Checksum failed. Expected: 0c10, Got: 8107
Checksum failed. Expected: 9e9e, Got: f1aa
Checksum failed. Expected: e62e, Got: 624e
Checksum failed. Expected: f34b, Got: d2f2
Checksum failed. Expected: 19f8, Got: 4396
Checksum failed. Expected: c2b3, Got: b43a
Checksum failed. Expected: 7a3c, Got: 24de
Checksum failed. Expected: 6267, Got: 9581
Checksum failed. Expected: 04db, Got: 0625
Checksum failed. Expected: 7478, Got: 76c9
Checksum failed. Expected: 12c2, Got: e76d
Checksum failed. Expected: 1457, Got: 5811
Checksum failed. Expected: c242, Got: c8b5
Checksum failed. Expected: a761, Got: 3958
Checksum failed. Expected: 70ef, Got: a9fc
Checksum failed. Expected: 691a, Got: 1aa0
Checksum failed. Expected: 0833, Got: 8b44
Checksum failed. Expected: 059b, Got: fbe8
Checksum failed. Expected: cb08, Got: 6c8c
Checksum failed. Expected: 78e4, Got: dd2f
Checksum failed. Expected: e10d, Got: 4dd3
Checksum failed. Expected: 06a4, Got: be77
Checksum failed. Expected: 13df, Got: 2f1b
Checksum failed. Expected: 847e, Got: 9fbf
Checksum failed. Expected: 80c9, Got: 1063
Checksum failed. Expected: 40c6, Got: 8107
Checksum failed. Expected: cae4, Got: f1aa
Checksum failed. Expected: cfca, Got: 624e
Checksum failed. Expected: 8d95, Got: d2f2
Checksum failed. Expected: c64c, Got: 4396
Checksum failed. Expected: c8e5, Got: b43a
Checksum failed. Expected: b11c, Got: 24de
Checksum failed. Expected: dbe3, Got: 9581
Checksum failed. Expected: 2ce9, Got: 0625
Checksum failed. Expected: 33c8, Got: 76c9
Checksum failed. Expected: 9e48, Got: e76d
Checksum failed. Expected: b82d, Got: 5811
Checksum failed. Expected: 86d8, Got: c8b5
Checksum failed. Expected: d9fb, Got: 3958
Checksum failed. Expected: 92a9, Got: a9fc
Checksum failed. Expected: 1dd0, Got: 1aa0
Checksum failed. Expected: e2fd, Got: 8b44
Checksum failed. Expected: 0f05, Got: fbe8
Checksum failed. Expected: a3b6, Got: 6c8c
Checksum failed. Expected: f9d0, Got: dd2f
Checksum failed. Expected: 510b, Got: 4dd3
Checksum failed. Expected: 4f80, Got: be77
Checksum failed. Expected: af45, Got: 2f1b
Checksum failed. Expected: 44dc, Got: 9fbf
Checksum failed. Expected: 01b5, Got: 1063
Checksum failed. Expected: 9220, Got: 8107
Checksum failed. Expected: 3ae2, Got: f1aa
Checksum failed. Expected: d2d2, Got: 624e
Checksum failed. Expected: 0f8f, Got: d2f2
Checksum failed. Expected: 86aa, Got: 4396

Exiting...
