
#################################################################
Log started at 2025-06-12_13-41-16 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: bb5b, Got: 0c08
Checksum failed. Expected: cb0c, Got: 058e
Checksum failed. Expected: 320e, Got: 7875
Checksum failed. Expected: 3c70, Got: 04f1
Checksum failed. Expected: a32f, Got: 0ed3
Checksum failed. Expected: f755, Got: 0ed3
Checksum failed. Expected: 431d, Got: 0ed3
Checksum failed. Expected: ef25, Got: 0ed3
Checksum failed. Expected: beff, Got: 0ed3
Checksum failed. Expected: cb4d, Got: 0ed3
Checksum failed. Expected: 4423, Got: 0ed3
Checksum failed. Expected: 5171, Got: 0ed3
Checksum failed. Expected: 66ef, Got: 0ed3
Checksum failed. Expected: 0fe5, Got: 0ed3
Checksum failed. Expected: 808b, Got: 0ed3
Checksum failed. Expected: 61d1, Got: 0ed3
Checksum failed. Expected: 506b, Got: 0ed3
Checksum failed. Expected: 589b, Got: 0ed3
Checksum failed. Expected: 05a9, Got: 0ed3
Checksum failed. Expected: aa87, Got: 0ed3
Checksum failed. Expected: 2a87, Got: 0ed3
Checksum failed. Expected: 2981, Got: 0ed3
Checksum failed. Expected: 5ebf, Got: 0ed3
Checksum failed. Expected: 4735, Got: 0ed3
Checksum failed. Expected: 0bcd, Got: 0ed3
Checksum failed. Expected: 1b2d, Got: 0ed3
Checksum failed. Expected: 9c33, Got: 0ed3
Checksum failed. Expected: ae9f, Got: 0ed3
Checksum failed. Expected: 4a47, Got: 0ed3
Checksum failed. Expected: 9b2d, Got: 0ed3
Checksum failed. Expected: 1b2d, Got: 0ed3
Checksum failed. Expected: 4217, Got: 0ed3
Checksum failed. Expected: 589b, Got: 0ed3
Checksum failed. Expected: 0edf, Got: 0ed3
Checksum failed. Expected: ff85, Got: 0ed3
Checksum failed. Expected: 10eb, Got: 0ed3
Checksum failed. Expected: debf, Got: 0ed3
Checksum failed. Expected: f33d, Got: 0ed3
Checksum failed. Expected: 92f7, Got: 0ed3
Checksum failed. Expected: 5483, Got: 0ed3
Checksum failed. Expected: 5fc5, Got: 0ed3
Checksum failed. Expected: 4b4d, Got: 0ed3
Checksum failed. Expected: 568f, Got: 0ed3
Checksum failed. Expected: 67f5, Got: 0ed3
Checksum failed. Expected: ddb9, Got: 0ed3
Checksum failed. Expected: 92f7, Got: 0ed3
Checksum failed. Expected: ad99, Got: 0ed3
Checksum failed. Expected: 0fe5, Got: 0ed3
Checksum failed. Expected: b0ab, Got: 0ed3
Checksum failed. Expected: b6cf, Got: 0ed3
Checksum failed. Expected: 2151, Got: 0ed3
Checksum failed. Expected: 3bed, Got: 0ed3
Checksum failed. Expected: 87b5, Got: 0ed3
Checksum failed. Expected: 5ebf, Got: 0ed3
Checksum failed. Expected: a151, Got: 0ed3
Checksum failed. Expected: 8ac7, Got: 0ed3
Checksum failed. Expected: bae7, Got: 0ed3
Checksum failed. Expected: 181b, Got: 0ed3
Checksum failed. Expected: 764f, Got: 0ed3
Checksum failed. Expected: 6e1f, Got: 0ed3
Checksum failed. Expected: 568f, Got: 0ed3
Checksum failed. Expected: b1b1, Got: 0ed3
Checksum failed. Expected: d483, Got: 0ed3
Checksum failed. Expected: 160f, Got: 0ed3
Checksum failed. Expected: 07b5, Got: 0ed3
Checksum failed. Expected: 8ac7, Got: 0ed3
Checksum failed. Expected: 8fe5, Got: 0ed3
Checksum failed. Expected: 8191, Got: 0ed3
Checksum failed. Expected: fb6d, Got: 0ed3
Checksum failed. Expected: 7f85, Got: 0ed3
Checksum failed. Expected: 5ebf, Got: 0ed3
Checksum failed. Expected: 160f, Got: 0ed3
Checksum failed. Expected: 63dd, Got: 0ed3
Checksum failed. Expected: d277, Got: 0ed3
Checksum failed. Expected: cf65, Got: 0ed3
Checksum failed. Expected: 785b, Got: 0ed3
Checksum failed. Expected: 89c1, Got: 0ed3
Checksum failed. Expected: 3f05, Got: 0ed3
Checksum failed. Expected: 33bd, Got: 0ed3
Checksum failed. Expected: b1b1, Got: 0ed3
Checksum failed. Expected: 1a27, Got: 0ed3
Checksum failed. Expected: e0cb, Got: 0ed3
Checksum failed. Expected: 204b, Got: 0ed3
Checksum failed. Expected: 4529, Got: 0ed3
Checksum failed. Expected: 5aa7, Got: 0ed3
Checksum failed. Expected: 9509, Got: 0ed3
Checksum failed. Expected: 9f45, Got: 0ed3
Checksum failed. Expected: a35d, Got: 0ed3
Checksum failed. Expected: 9403, Got: 0ed3
Checksum failed. Expected: 67f5, Got: 0ed3
Checksum failed. Expected: 008b, Got: 0ed3
Checksum failed. Expected: 9715, Got: 0ed3
Checksum failed. Expected: 287b, Got: 0ed3
Checksum failed. Expected: 8bcd, Got: 0ed3
Checksum failed. Expected: 702b, Got: 0ed3
Checksum failed. Expected: eb0d, Got: 0ed3
Checksum failed. Expected: a569, Got: 0ed3
Checksum failed. Expected: 1d39, Got: 0ed3
Checksum failed. Expected: ce5f, Got: 0ed3
Checksum failed. Expected: c529, Got: 0ed3
Checksum failed. Expected: 0191, Got: 0ed3
Checksum failed. Expected: 9509, Got: 0ed3
Checksum failed. Expected: 2e9f, Got: 0ed3
Checksum failed. Expected: 07b5, Got: 0ed3
Checksum failed. Expected: eb0d, Got: 0ed3
Checksum failed. Expected: d89b, Got: 0ed3
Checksum failed. Expected: 67f5, Got: 0ed3
Checksum failed. Expected: a04b, Got: 0ed3
Checksum failed. Expected: 1c33, Got: 0ed3
Checksum failed. Expected: a87b, Got: 0ed3
Checksum failed. Expected: 2151, Got: 0ed3
Checksum failed. Expected: e7f5, Got: 0ed3

Exiting...
