
#################################################################
Log started at 2025-06-12_13-41-18 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 984c, Got: 0e04
Checksum failed. Expected: 3a74, Got: 0e04
Checksum failed. Expected: 1224, Got: 0e04
Checksum failed. Expected: 04ef, Got: 0e04
Checksum failed. Expected: b8a4, Got: 0e04
Checksum failed. Expected: 9045, Got: 0e04
Checksum failed. Expected: 31a8, Got: 0e04
Checksum failed. Expected: 2673, Got: 0e04
Checksum failed. Expected: adc1, Got: 0e04
Checksum failed. Expected: 70d7, Got: 0e04
Checksum failed. Expected: 98cd, Got: 0e04
Checksum failed. Expected: 5bcc, Got: 0e04
Checksum failed. Expected: 47d9, Got: 0e04
Checksum failed. Expected: 3eee, Got: 0e04
Checksum failed. Expected: 0bc8, Got: 0e04
Checksum failed. Expected: 1ab6, Got: 0e04
Checksum failed. Expected: 85bd, Got: 0e04
Checksum failed. Expected: 8af0, Got: 0e04
Checksum failed. Expected: 087b, Got: 0e04
Checksum failed. Expected: c401, Got: 0e04
Checksum failed. Expected: dfe0, Got: 0e04
Checksum failed. Expected: 732a, Got: 0e04
Checksum failed. Expected: f0d0, Got: 0e04
Checksum failed. Expected: af6f, Got: 0e04
Checksum failed. Expected: c929, Got: 0e04
Checksum failed. Expected: f2f7, Got: 0e04
Checksum failed. Expected: 81de, Got: 0e04
Checksum failed. Expected: 7e72, Got: 0e04
Checksum failed. Expected: a111, Got: 0e04
Checksum failed. Expected: 1802, Got: 0e04
Checksum failed. Expected: 9aeb, Got: 0e04
Checksum failed. Expected: 329a, Got: 0e04
Checksum failed. Expected: 9fc5, Got: 0e04
Checksum failed. Expected: 6a63, Got: 0e04
Checksum failed. Expected: 17c1, Got: 0e04
Checksum failed. Expected: 041b, Got: 0e04
Checksum failed. Expected: c1a2, Got: 0e04
Checksum failed. Expected: 61bf, Got: 0e04
Checksum failed. Expected: ae8c, Got: 0e04
Checksum failed. Expected: 215e, Got: 0e04
Checksum failed. Expected: 41a0, Got: 0e04
Checksum failed. Expected: 6fe3, Got: 0e04
Checksum failed. Expected: 5382, Got: 0e04
Checksum failed. Expected: 510d, Got: 0e04
Checksum failed. Expected: a34b, Got: 0e04
Checksum failed. Expected: 7462, Got: 0e04
Checksum failed. Expected: e604, Got: 0e04
Checksum failed. Expected: 843e, Got: 0e04
Checksum failed. Expected: 0c91, Got: 0e04
Checksum failed. Expected: 6baf, Got: 0e04
Checksum failed. Expected: 7b89, Got: 0e04
Checksum failed. Expected: f17c, Got: 0e04
Checksum failed. Expected: 3a00, Got: 0e04
Checksum failed. Expected: 5d9f, Got: 0e04
Checksum failed. Expected: bdc4, Got: 0e04
Checksum failed. Expected: 3fad, Got: 0e04
Checksum failed. Expected: 4c80, Got: 0e04
Checksum failed. Expected: d3b3, Got: 0e04
Checksum failed. Expected: 8f25, Got: 0e04
Checksum failed. Expected: 627b, Got: 0e04
Checksum failed. Expected: 6b05, Got: 0e04
Checksum failed. Expected: a664, Got: 0e04
Checksum failed. Expected: 2b65, Got: 0e04
Checksum failed. Expected: 1462, Got: 0e04
Checksum failed. Expected: 5cd8, Got: 0e04
Checksum failed. Expected: 13e6, Got: 0e04
Checksum failed. Expected: cc05, Got: 0e04
Checksum failed. Expected: b958, Got: 0e04
Checksum failed. Expected: c2bf, Got: 0e04
Checksum failed. Expected: 643d, Got: 0e04
Checksum failed. Expected: 8f5c, Got: 0e04
Checksum failed. Expected: c88a, Got: 0e04
Checksum failed. Expected: 3c7c, Got: 0e04
Checksum failed. Expected: a0ff, Got: 0e04
Checksum failed. Expected: 3bcd, Got: 0e04
Checksum failed. Expected: fa53, Got: 0e04
Checksum failed. Expected: c712, Got: 0e04
Checksum failed. Expected: a98a, Got: 0e04
Checksum failed. Expected: 7e11, Got: 0e04
Checksum failed. Expected: c542, Got: 0e04
Checksum failed. Expected: 7173, Got: 0e04
Checksum failed. Expected: dec6, Got: 0e04
Checksum failed. Expected: ce2d, Got: 0e04
Checksum failed. Expected: 35fb, Got: 0e04
Checksum failed. Expected: 4a79, Got: 0e04
Checksum failed. Expected: c93b, Got: 0e04
Checksum failed. Expected: 193e, Got: 0e04
Checksum failed. Expected: 5aef, Got: 0e04
Checksum failed. Expected: b7fc, Got: 0e04
Checksum failed. Expected: d866, Got: 0e04
Checksum failed. Expected: 0270, Got: 0e04
Checksum failed. Expected: 1f5f, Got: 0e04
Checksum failed. Expected: 41d6, Got: 0e04
Checksum failed. Expected: cfa1, Got: 0e04
Checksum failed. Expected: ca13, Got: 0e04
Checksum failed. Expected: 4bea, Got: 0e04
Checksum failed. Expected: 9680, Got: 0e04

Exiting...
