
#################################################################
Log started at 2025-06-12_13-41-54 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 294f, Got: 0f00
Checksum failed. Expected: 8d88, Got: e810
Checksum failed. Expected: 5ca9, Got: 0404
Checksum failed. Expected: e137, Got: 000e
Checksum failed. Expected: 49ea, Got: 000e
Checksum failed. Expected: 4126, Got: 000e
Checksum failed. Expected: 69e1, Got: 000e
Checksum failed. Expected: 87c6, Got: 000e
Checksum failed. Expected: 5faa, Got: 000e
Checksum failed. Expected: e557, Got: 000e
Checksum failed. Expected: c6da, Got: 000e
Checksum failed. Expected: 158d, Got: 000e
Checksum failed. Expected: 95aa, Got: 000e
Checksum failed. Expected: b3ad, Got: 000e
Checksum failed. Expected: 22b1, Got: 000e
Checksum failed. Expected: 7bfb, Got: 000e
Checksum failed. Expected: ca83, Got: 000e
Checksum failed. Expected: 6e9a, Got: 000e
Checksum failed. Expected: eef6, Got: 000e
Checksum failed. Expected: 1370, Got: 000e
Checksum failed. Expected: 164e, Got: 000e
Checksum failed. Expected: 58f5, Got: 000e
Checksum failed. Expected: f8a4, Got: 000e
Checksum failed. Expected: 86e4, Got: 000e
Checksum failed. Expected: 7015, Got: 000e
Checksum failed. Expected: b4f0, Got: 000e
Checksum failed. Expected: 2506, Got: 000e
Checksum failed. Expected: fcad, Got: 000e
Checksum failed. Expected: 9c27, Got: 000e
Checksum failed. Expected: fd24, Got: 000e
Checksum failed. Expected: d3da, Got: 000e
Checksum failed. Expected: 4626, Got: 000e
Checksum failed. Expected: 8d16, Got: 000e
Checksum failed. Expected: 913e, Got: 000e
Checksum failed. Expected: 73bf, Got: 000e
Checksum failed. Expected: 485e, Got: 000e
Checksum failed. Expected: 5305, Got: 000e
Checksum failed. Expected: 3568, Got: 000e
Checksum failed. Expected: 7604, Got: 000e
Checksum failed. Expected: bd10, Got: 000e
Checksum failed. Expected: fc6c, Got: 000e
Checksum failed. Expected: 9685, Got: 000e
Checksum failed. Expected: 72c4, Got: 000e
Checksum failed. Expected: d71f, Got: 000e
Checksum failed. Expected: e6f7, Got: 000e
Checksum failed. Expected: d446, Got: 000e
Checksum failed. Expected: ddb2, Got: 000e
Checksum failed. Expected: 81ad, Got: 000e
Checksum failed. Expected: e6e2, Got: 000e
Checksum failed. Expected: bb84, Got: 000e
Checksum failed. Expected: 3787, Got: 000e
Checksum failed. Expected: cb36, Got: 000e
Checksum failed. Expected: 6cdb, Got: 000e
Checksum failed. Expected: 6d88, Got: 000e
Checksum failed. Expected: 5f48, Got: 000e
Checksum failed. Expected: c7d4, Got: 000e
Checksum failed. Expected: 0531, Got: 000e
Checksum failed. Expected: 1da4, Got: 000e
Checksum failed. Expected: 9455, Got: 000e
Checksum failed. Expected: 2187, Got: 000e
Checksum failed. Expected: 0f01, Got: 000e
Checksum failed. Expected: 5fc7, Got: 000e
Checksum failed. Expected: 8ff4, Got: 000e
Checksum failed. Expected: 7f8d, Got: 000e
Checksum failed. Expected: 0f04, Got: 000e
Checksum failed. Expected: 4d4d, Got: 000e
Checksum failed. Expected: 3530, Got: 000e
Checksum failed. Expected: 2824, Got: 000e
Checksum failed. Expected: 078d, Got: 000e
Checksum failed. Expected: 42a9, Got: 000e
Checksum failed. Expected: edff, Got: 000e
Checksum failed. Expected: a78e, Got: 000e
Checksum failed. Expected: e3d1, Got: 000e
Checksum failed. Expected: 2e18, Got: 000e
Checksum failed. Expected: 47c6, Got: 000e
Checksum failed. Expected: 1e8a, Got: 000e
Checksum failed. Expected: 599e, Got: 000e
Checksum failed. Expected: 7f22, Got: 000e
Checksum failed. Expected: f7a4, Got: 000e
Checksum failed. Expected: be33, Got: 000e
Checksum failed. Expected: 0f0a, Got: 000e
Checksum failed. Expected: b632, Got: 000e
Checksum failed. Expected: 1b5c, Got: 000e
Checksum failed. Expected: f11a, Got: 000e
Checksum failed. Expected: 40b2, Got: 000e
Checksum failed. Expected: 6aa0, Got: 000e
Checksum failed. Expected: 38c0, Got: 000e
Checksum failed. Expected: 931e, Got: 000e
Checksum failed. Expected: 7387, Got: 000e
Checksum failed. Expected: 9075, Got: 000e
Checksum failed. Expected: 10a4, Got: 000e
Checksum failed. Expected: 1a0d, Got: 000e
Checksum failed. Expected: a0ea, Got: 000e
Checksum failed. Expected: 84b2, Got: 000e
Checksum failed. Expected: 2001, Got: 000e
Checksum failed. Expected: 0a04, Got: 000e
Checksum failed. Expected: c6b9, Got: 000e
Checksum failed. Expected: 7c0a, Got: 000e
Checksum failed. Expected: e13f, Got: 000e
Checksum failed. Expected: 4add, Got: 000e
Checksum failed. Expected: 6161, Got: 000e
Checksum failed. Expected: a520, Got: 000e
Checksum failed. Expected: b1b6, Got: 000e
Checksum failed. Expected: bc21, Got: 000e
Checksum failed. Expected: 1d1e, Got: 000e
Checksum failed. Expected: ccef, Got: 000e
Checksum failed. Expected: 04da, Got: 000e
Checksum failed. Expected: 2099, Got: 000e
Checksum failed. Expected: 6035, Got: 000e
Checksum failed. Expected: d7c5, Got: 000e
Checksum failed. Expected: dbe1, Got: 000e
Checksum failed. Expected: b199, Got: 000e
Checksum failed. Expected: b8bb, Got: 000e
Checksum failed. Expected: a967, Got: 000e
Checksum failed. Expected: 95b2, Got: 000e
Checksum failed. Expected: ebc3, Got: 000e
Checksum failed. Expected: a203, Got: 000e
Checksum failed. Expected: 123e, Got: 000e
Checksum failed. Expected: c563, Got: 000e
Checksum failed. Expected: a6d1, Got: 000e
Checksum failed. Expected: f88c, Got: 000e
Checksum failed. Expected: 1cf9, Got: 000e
Checksum failed. Expected: 1bb5, Got: 000e
Checksum failed. Expected: 0b3b, Got: 000e
Checksum failed. Expected: 4f1a, Got: 000e
Checksum failed. Expected: 40cc, Got: 000e
Checksum failed. Expected: 6877, Got: 000e
Checksum failed. Expected: 3673, Got: 000e
Checksum failed. Expected: a0eb, Got: 000e
Checksum failed. Expected: 85b4, Got: 000e
Checksum failed. Expected: 916c, Got: 000e
Checksum failed. Expected: 63c5, Got: 000e
Checksum failed. Expected: abc8, Got: 000e
Checksum failed. Expected: cb04, Got: 000e
Checksum failed. Expected: dd15, Got: 000e
Checksum failed. Expected: f5ad, Got: 000e
Checksum failed. Expected: 886c, Got: 000e
Checksum failed. Expected: 8297, Got: 000e
Checksum failed. Expected: 6ff7, Got: 000e
Checksum failed. Expected: ebf2, Got: 000e
Checksum failed. Expected: 7818, Got: 000e
Checksum failed. Expected: 6780, Got: 000e
Checksum failed. Expected: b981, Got: 000e
Checksum failed. Expected: 00a2, Got: 000e
Checksum failed. Expected: 607d, Got: 000e
Checksum failed. Expected: a208, Got: 000e
Checksum failed. Expected: 2c07, Got: 000e
Checksum failed. Expected: d9ad, Got: 000e
Checksum failed. Expected: cb59, Got: 000e
Checksum failed. Expected: 2b4c, Got: 000e
Checksum failed. Expected: c9d5, Got: 000e
Checksum failed. Expected: a6ef, Got: 000e
Checksum failed. Expected: 6d66, Got: 000e
Checksum failed. Expected: 35d8, Got: 000e
Checksum failed. Expected: 480b, Got: 000e
Checksum failed. Expected: c85f, Got: 000e
Checksum failed. Expected: 9cde, Got: 000e
Checksum failed. Expected: 1f42, Got: 000e
Checksum failed. Expected: fb72, Got: 000e
Checksum failed. Expected: ec10, Got: 000e
Checksum failed. Expected: 6927, Got: 000e
Checksum failed. Expected: d83a, Got: 000e

Exiting...
