
#################################################################
Log started at 2025-06-12_13-42-42 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d661, Got: 0005
Checksum failed. Expected: 560e, Got: db7f
Checksum failed. Expected: b380, Got: 0e83
Checksum failed. Expected: ed07, Got: 03d1
Checksum failed. Expected: 5d57, Got: 0bb3
Checksum failed. Expected: abfc, Got: 2667
Checksum failed. Expected: ca47, Got: 2099
Checksum failed. Expected: 1ee9, Got: eae4
Checksum failed. Expected: 7e93, Got: 2b47
Checksum failed. Expected: 994d, Got: f761
Checksum failed. Expected: 02e0, Got: eb33
Checksum failed. Expected: 9b86, Got: aae6
Checksum failed. Expected: 5358, Got: 3d41
Checksum failed. Expected: f933, Got: 57a8
Checksum failed. Expected: 8ad1, Got: 24f8
Checksum failed. Expected: dd3d, Got: 8f0c
Checksum failed. Expected: 41d0, Got: 9955
Checksum failed. Expected: 9490, Got: 36d8
Checksum failed. Expected: 0252, Got: dc21
Checksum failed. Expected: 84b5, Got: 090b
Checksum failed. Expected: 7b8c, Got: d21c
Checksum failed. Expected: a6d3, Got: bc01
Checksum failed. Expected: 3480, Got: b50f
Checksum failed. Expected: 0829, Got: ebb6
Checksum failed. Expected: ff27, Got: 17c0
Checksum failed. Expected: c659, Got: 0b7d
Checksum failed. Expected: d494, Got: b9bb
Checksum failed. Expected: f697, Got: 344b
Checksum failed. Expected: 5604, Got: 1073
Checksum failed. Expected: 0247, Got: ca29
Checksum failed. Expected: 1f81, Got: 273f
Checksum failed. Expected: 88bc, Got: 27b4
Checksum failed. Expected: f7d5, Got: 0dac
Checksum failed. Expected: 7545, Got: c427
Checksum failed. Expected: 0104, Got: 8339
Checksum failed. Expected: d088, Got: 8609
Checksum failed. Expected: 4c2e, Got: cb09
Checksum failed. Expected: 8ca2, Got: da37
Checksum failed. Expected: 1445, Got: db41
Checksum failed. Expected: 1b32, Got: cdcb
Checksum failed. Expected: 38d3, Got: bcf4
Checksum failed. Expected: a8da, Got: e817
Checksum failed. Expected: 9580, Got: e7db
