
#################################################################
Log started at 2025-06-12_13-42-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 9fb8, Got: 6580
Checksum failed. Expected: eaf9, Got: 6580
Checksum failed. Expected: ddd2, Got: 6580
Checksum failed. Expected: 32d1, Got: 6580
Checksum failed. Expected: fc2f, Got: 6580
Checksum failed. Expected: 1b8c, Got: 6580
Checksum failed. Expected: cea5, Got: 6580
Checksum failed. Expected: 0c5f, Got: 6580
Checksum failed. Expected: 5d52, Got: 6580
Checksum failed. Expected: f10e, Got: 6580
Checksum failed. Expected: 7497, Got: 6580
Checksum failed. Expected: af48, Got: 6580
Checksum failed. Expected: b760, Got: 6580
Checksum failed. Expected: a833, Got: 6580
Checksum failed. Expected: a730, Got: 6580
Checksum failed. Expected: a01b, Got: 6580
Checksum failed. Expected: 5f58, Got: 6580
Checksum failed. Expected: ad42, Got: 6580
Checksum failed. Expected: 5946, Got: 6580
Checksum failed. Expected: e4e7, Got: 6580
Checksum failed. Expected: cc9f, Got: 6580
Checksum failed. Expected: b65d, Got: 6580
Checksum failed. Expected: 24a7, Got: 6580
Checksum failed. Expected: f720, Got: 6580
Checksum failed. Expected: ebfc, Got: 6580
Checksum failed. Expected: 7db2, Got: 6580
Checksum failed. Expected: e7f0, Got: 6580
Checksum failed. Expected: a11e, Got: 6580
Checksum failed. Expected: 29b6, Got: 6580
Checksum failed. Expected: f00b, Got: 6580
Checksum failed. Expected: e5ea, Got: 6580
Checksum failed. Expected: ca99, Got: 6580
Checksum failed. Expected: 89d6, Got: 6580
Checksum failed. Expected: 666d, Got: 6580
Checksum failed. Expected: dac9, Got: 6580
Checksum failed. Expected: 605b, Got: 6580
Checksum failed. Expected: 26ad, Got: 6580
Checksum failed. Expected: 1d92, Got: 6580
Checksum failed. Expected: 6e85, Got: 6580
Checksum failed. Expected: c17e, Got: 6580
Checksum failed. Expected: b251, Got: 6580
Checksum failed. Expected: ecff, Got: 6580
Checksum failed. Expected: 88d3, Got: 6580
Checksum failed. Expected: 37e0, Got: 6580
Checksum failed. Expected: 28b3, Got: 6580
Checksum failed. Expected: 7db2, Got: 6580
Checksum failed. Expected: 8bdc, Got: 6580
Checksum failed. Expected: 3bec, Got: 6580
Checksum failed. Expected: ee05, Got: 6580
Checksum failed. Expected: 1883, Got: 6580
Checksum failed. Expected: 0a59, Got: 6580
Checksum failed. Expected: 8ee5, Got: 6580
Checksum failed. Expected: 8ee5, Got: 6580
Checksum failed. Expected: 8ee5, Got: 6580
Checksum failed. Expected: a833, Got: 6580
Checksum failed. Expected: 6364, Got: 6580
Checksum failed. Expected: 7394, Got: 6580
Checksum failed. Expected: dfd8, Got: 6580
Checksum failed. Expected: 32d1, Got: 6580
Checksum failed. Expected: 23a4, Got: 6580
Checksum failed. Expected: 553a, Got: 6580
Checksum failed. Expected: f51a, Got: 6580
Checksum failed. Expected: c487, Got: 6580
Checksum failed. Expected: d2b1, Got: 6580
Checksum failed. Expected: 2ec5, Got: 6580
Checksum failed. Expected: 1374, Got: 6580
Checksum failed. Expected: 6c7f, Got: 6580
Checksum failed. Expected: d6bd, Got: 6580
Checksum failed. Expected: 553a, Got: 6580
Checksum failed. Expected: 30cb, Got: 6580
Checksum failed. Expected: 013e, Got: 6580
Checksum failed. Expected: 8de2, Got: 6580
Checksum failed. Expected: e2e1, Got: 6580
Checksum failed. Expected: 6873, Got: 6580
Checksum failed. Expected: 9803, Got: 6580
Checksum failed. Expected: 8ad9, Got: 6580
Checksum failed. Expected: 1477, Got: 6580
Checksum failed. Expected: 85ca, Got: 6580
Checksum failed. Expected: 91ee, Got: 6580
Checksum failed. Expected: e6ed, Got: 6580
Checksum failed. Expected: e7f0, Got: 6580
Checksum failed. Expected: 7aa9, Got: 6580
Checksum failed. Expected: 96fd, Got: 6580
Checksum failed. Expected: 4f28, Got: 6580
Checksum failed. Expected: 4304, Got: 6580
Checksum failed. Expected: 2ab9, Got: 6580
Checksum failed. Expected: d3b4, Got: 6580
Checksum failed. Expected: 106b, Got: 6580
Checksum failed. Expected: c58a, Got: 6580
Checksum failed. Expected: ee05, Got: 6580
Checksum failed. Expected: bf78, Got: 6580
Checksum failed. Expected: 92f1, Got: 6580
Checksum failed. Expected: 7bac, Got: 6580
Checksum failed. Expected: aa39, Got: 6580
Checksum failed. Expected: f823, Got: 6580
Checksum failed. Expected: 40fb, Got: 6580
Checksum failed. Expected: fd32, Got: 6580
Checksum failed. Expected: 9a09, Got: 6580
Checksum failed. Expected: a01b, Got: 6580
Checksum failed. Expected: 9700, Got: 6580
Checksum failed. Expected: e5ea, Got: 6580
Checksum failed. Expected: be75, Got: 6580
Checksum failed. Expected: b55a, Got: 6580
Checksum failed. Expected: bb6c, Got: 6580
Checksum failed. Expected: 80bb, Got: 6580
Checksum failed. Expected: f417, Got: 6580
Checksum failed. Expected: 9c0f, Got: 6580
Checksum failed. Expected: d1ae, Got: 6580
Checksum failed. Expected: 3cef, Got: 6580
Checksum failed. Expected: 9e15, Got: 6580
Checksum failed. Expected: 0a59, Got: 6580
Checksum failed. Expected: d7c0, Got: 6580
Checksum failed. Expected: 94f7, Got: 6580
Checksum failed. Expected: 34d7, Got: 6580
Checksum failed. Expected: b354, Got: 6580
Checksum failed. Expected: 9700, Got: 6580
Checksum failed. Expected: c07b, Got: 6580
Checksum failed. Expected: ee05, Got: 6580

Exiting...
