
#################################################################
Log started at 2025-06-12_13-54-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-2.209654, Y=0.703446, Z=-9.450122 m/s^2 Time of Week: 207.207000, Week Number: 0
Acceleration: X=-2.217920, Y=0.669268, Z=-9.477725 m/s^2 Time of Week: 207.217000, Week Number: 0
Acceleration: X=-2.211608, Y=0.671923, Z=-9.501109 m/s^2 Time of Week: 207.227000, Week Number: 0
Acceleration: X=-2.192436, Y=0.706451, Z=-9.498768 m/s^2 Time of Week: 207.237000, Week Number: 0
Acceleration: X=-2.166340, Y=0.720814, Z=-9.471027 m/s^2 Time of Week: 207.247000, Week Number: 0
Acceleration: X=-2.216436, Y=0.797179, Z=-9.530057 m/s^2 Time of Week: 207.257000, Week Number: 0
Acceleration: X=-2.191908, Y=0.754805, Z=-9.648778 m/s^2 Time of Week: 207.267000, Week Number: 0
Acceleration: X=-2.182132, Y=0.784472, Z=-9.588567 m/s^2 Time of Week: 207.277000, Week Number: 0
Acceleration: X=-2.166279, Y=0.774687, Z=-9.412176 m/s^2 Time of Week: 207.287000, Week Number: 0
Acceleration: X=-2.179587, Y=0.702217, Z=-9.458719 m/s^2 Time of Week: 207.297000, Week Number: 0
Acceleration: X=-2.216043, Y=0.640151, Z=-9.539078 m/s^2 Time of Week: 207.307000, Week Number: 0
Acceleration: X=-2.224367, Y=0.642255, Z=-9.486725 m/s^2 Time of Week: 207.317000, Week Number: 0
Acceleration: X=-2.222855, Y=0.687375, Z=-9.428422 m/s^2 Time of Week: 207.327000, Week Number: 0
Acceleration: X=-2.211884, Y=0.715975, Z=-9.455164 m/s^2 Time of Week: 207.337000, Week Number: 0
Acceleration: X=-2.180616, Y=0.740400, Z=-9.537949 m/s^2 Time of Week: 207.347000, Week Number: 0
Acceleration: X=-2.165576, Y=0.761483, Z=-9.557739 m/s^2 Time of Week: 207.357000, Week Number: 0
Acceleration: X=-2.168284, Y=0.760902, Z=-9.566567 m/s^2 Time of Week: 207.367000, Week Number: 0
Acceleration: X=-2.191871, Y=0.758641, Z=-9.518634 m/s^2 Time of Week: 207.377000, Week Number: 0
Acceleration: X=-2.209378, Y=0.708402, Z=-9.509214 m/s^2 Time of Week: 207.387000, Week Number: 0
Acceleration: X=-2.214383, Y=0.692871, Z=-9.469215 m/s^2 Time of Week: 207.397000, Week Number: 0
Acceleration: X=-2.210605, Y=0.691895, Z=-9.455111 m/s^2 Time of Week: 207.407000, Week Number: 0
Acceleration: X=-2.197168, Y=0.677061, Z=-9.509816 m/s^2 Time of Week: 207.417000, Week Number: 0
Acceleration: X=-2.186000, Y=0.701001, Z=-9.539082 m/s^2 Time of Week: 207.427000, Week Number: 0
Acceleration: X=-2.179482, Y=0.732039, Z=-9.507337 m/s^2 Time of Week: 207.437000, Week Number: 0
Acceleration: X=-2.191419, Y=0.765919, Z=-9.487428 m/s^2 Time of Week: 207.447000, Week Number: 0
Acceleration: X=-2.206818, Y=0.769133, Z=-9.520789 m/s^2 Time of Week: 207.457000, Week Number: 0
Acceleration: X=-2.194044, Y=0.736332, Z=-9.559291 m/s^2 Time of Week: 207.467000, Week Number: 0
Acceleration: X=-2.184046, Y=0.708281, Z=-9.531645 m/s^2 Time of Week: 207.477000, Week Number: 0
Acceleration: X=-2.186134, Y=0.702520, Z=-9.478068 m/s^2 Time of Week: 207.487000, Week Number: 0
Acceleration: X=-2.201316, Y=0.700233, Z=-9.457465 m/s^2 Time of Week: 207.497000, Week Number: 0
Acceleration: X=-2.216032, Y=0.695016, Z=-9.495351 m/s^2 Time of Week: 207.507000, Week Number: 0
Acceleration: X=-2.213662, Y=0.706975, Z=-9.513381 m/s^2 Time of Week: 207.517000, Week Number: 0
Acceleration: X=-2.196150, Y=0.722427, Z=-9.508731 m/s^2 Time of Week: 207.527000, Week Number: 0
Acceleration: X=-2.178726, Y=0.736622, Z=-9.510656 m/s^2 Time of Week: 207.537000, Week Number: 0
Acceleration: X=-2.180701, Y=0.746926, Z=-9.525850 m/s^2 Time of Week: 207.547000, Week Number: 0
Acceleration: X=-2.190963, Y=0.748887, Z=-9.522890 m/s^2 Time of Week: 207.557000, Week Number: 0
Acceleration: X=-2.205186, Y=0.731515, Z=-9.520856 m/s^2 Time of Week: 207.567000, Week Number: 0
Acceleration: X=-2.200120, Y=0.706520, Z=-9.500338 m/s^2 Time of Week: 207.577000, Week Number: 0
Acceleration: X=-2.193904, Y=0.689085, Z=-9.482631 m/s^2 Time of Week: 207.587000, Week Number: 0
Acceleration: X=-2.192402, Y=0.694642, Z=-9.490075 m/s^2 Time of Week: 207.597000, Week Number: 0
Acceleration: X=-2.193851, Y=0.711118, Z=-9.513564 m/s^2 Time of Week: 207.607000, Week Number: 0
Acceleration: X=-2.197717, Y=0.727283, Z=-9.516728 m/s^2 Time of Week: 207.617000, Week Number: 0
Acceleration: X=-2.199418, Y=0.740968, Z=-9.524303 m/s^2 Time of Week: 207.627000, Week Number: 0
Acceleration: X=-2.188166, Y=0.742789, Z=-9.515301 m/s^2 Time of Week: 207.637000, Week Number: 0
Acceleration: X=-2.186512, Y=0.740028, Z=-9.512692 m/s^2 Time of Week: 207.647000, Week Number: 0
Acceleration: X=-2.195766, Y=0.731259, Z=-9.525005 m/s^2 Time of Week: 207.657000, Week Number: 0
Acceleration: X=-2.198501, Y=0.716690, Z=-9.514395 m/s^2 Time of Week: 207.667000, Week Number: 0
Acceleration: X=-2.202446, Y=0.713943, Z=-9.485494 m/s^2 Time of Week: 207.677000, Week Number: 0
Acceleration: X=-2.196855, Y=0.708287, Z=-9.467965 m/s^2 Time of Week: 207.687000, Week Number: 0
Acceleration: X=-2.199778, Y=0.712876, Z=-9.495419 m/s^2 Time of Week: 207.697000, Week Number: 0
Acceleration: X=-2.197349, Y=0.711835, Z=-9.532989 m/s^2 Time of Week: 207.707000, Week Number: 0
Acceleration: X=-2.187018, Y=0.723202, Z=-9.522031 m/s^2 Time of Week: 207.717000, Week Number: 0
Acceleration: X=-2.193802, Y=0.737878, Z=-9.496051 m/s^2 Time of Week: 207.727000, Week Number: 0
Acceleration: X=-2.198878, Y=0.736850, Z=-9.503654 m/s^2 Time of Week: 207.737000, Week Number: 0
Acceleration: X=-2.197070, Y=0.728565, Z=-9.511713 m/s^2 Time of Week: 207.747000, Week Number: 0
Acceleration: X=-2.200373, Y=0.721266, Z=-9.514449 m/s^2 Time of Week: 207.757000, Week Number: 0
Acceleration: X=-2.197227, Y=0.711138, Z=-9.515823 m/s^2 Time of Week: 207.767000, Week Number: 0
