
#################################################################
Log started at 2025-06-12_13-57-18 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ccfd, Got: 4dd3
Checksum failed. Expected: dce6, Got: dd30
Checksum failed. Expected: b7e1, Got: 6c8c
Checksum failed. Expected: f35f, Got: fbe8
Checksum failed. Expected: 7cee, Got: 8b44
Checksum failed. Expected: 58d4, Got: 1aa0
Checksum failed. Expected: 1851, Got: a9fc
Checksum failed. Expected: 2d9e, Got: 3958
Checksum failed. Expected: 8cc5, Got: c8b5
Checksum failed. Expected: 3c63, Got: 5811
Checksum failed. Expected: 4e60, Got: e76d
Checksum failed. Expected: 0ce1, Got: 76c9
Checksum failed. Expected: f8ad, Got: 0625
Checksum failed. Expected: bc5a, Got: 9581
Checksum failed. Expected: 21f1, Got: 24de
Checksum failed. Expected: fbdf, Got: b43a
Checksum failed. Expected: 78c8, Got: 4396
Checksum failed. Expected: 40b7, Got: d2f2
Checksum failed. Expected: 5a1c, Got: 624e
Checksum failed. Expected: 6e35, Got: f1aa
Checksum failed. Expected: 3fca, Got: 8107
Checksum failed. Expected: 0ab9, Got: 1063
Checksum failed. Expected: 2fc8, Got: 9fbf
Checksum failed. Expected: 8157, Got: 2f1b
Checksum failed. Expected: 41ca, Got: be77
Checksum failed. Expected: acb5, Got: 4dd3
Checksum failed. Expected: 0d0c, Got: dd30
Checksum failed. Expected: f4af, Got: 6c8c
Checksum failed. Expected: bab9, Got: fbe8
Checksum failed. Expected: e2fa, Got: 8b44
Checksum failed. Expected: 9494, Got: 1aa0
Checksum failed. Expected: 1bf3, Got: a9fc
Checksum failed. Expected: 4674, Got: 3958
Checksum failed. Expected: 9e39, Got: c8b5
Checksum failed. Expected: 928f, Got: 5811
Checksum failed. Expected: 3796, Got: e76d
Checksum failed. Expected: 4577, Got: 76c9
Checksum failed. Expected: 95bb, Got: 0625
Checksum failed. Expected: 9e2e, Got: 9581
Checksum failed. Expected: bce3, Got: 24de
Checksum failed. Expected: 2f2f, Got: b43a
Checksum failed. Expected: e20c, Got: 4396
Checksum failed. Expected: 00af, Got: d2f2
Checksum failed. Expected: 39c6, Got: 624e
Checksum failed. Expected: 1d3f, Got: f1aa
Checksum failed. Expected: 37d2, Got: 8107
Checksum failed. Expected: 8c4d, Got: 1063
Checksum failed. Expected: ffa0, Got: 9fbf
Checksum failed. Expected: 5891, Got: 2f1b
Checksum failed. Expected: 9d4a, Got: be77
Checksum failed. Expected: d34f, Got: 4dd3
Checksum failed. Expected: f750, Got: dd30
Checksum failed. Expected: 426b, Got: 6c8c
Checksum failed. Expected: 745d, Got: fbe8
Checksum failed. Expected: 8886, Got: 8b44
Checksum failed. Expected: 58c4, Got: 1aa0
Checksum failed. Expected: 0da7, Got: a9fc
Checksum failed. Expected: 8edc, Got: 3958
Checksum failed. Expected: 6485, Got: c8b5
Checksum failed. Expected: 1969, Got: 5811
Checksum failed. Expected: 5c14, Got: e76d
Checksum failed. Expected: 7f1b, Got: 76c9
Checksum failed. Expected: 3c55, Got: 0625
Checksum failed. Expected: 34da, Got: 9581
Checksum failed. Expected: ff05, Got: 24de
Checksum failed. Expected: 5c1d, Got: b43a
Checksum failed. Expected: a63c, Got: 4396
Checksum failed. Expected: 6af3, Got: d2f2
Checksum failed. Expected: 7694, Got: 624e
Checksum failed. Expected: f25d, Got: f1aa
Checksum failed. Expected: 08b8, Got: 8107
Checksum failed. Expected: 0239, Got: 1063
Checksum failed. Expected: c5ec, Got: 9fbf
Checksum failed. Expected: a215, Got: 2f1b
Checksum failed. Expected: 7f1e, Got: be77
Checksum failed. Expected: 3faf, Got: 4dd3
Checksum failed. Expected: 265a, Got: dd30
Checksum failed. Expected: 0be1, Got: 6c8c
Checksum failed. Expected: 0d33, Got: fbe8
Checksum failed. Expected: bde4, Got: 8b44
Checksum failed. Expected: bed0, Got: 1aa0
Checksum failed. Expected: 7e4d, Got: a9fc
Checksum failed. Expected: 2f22, Got: 3958
Checksum failed. Expected: 0c2d, Got: c8b5
Checksum failed. Expected: 96b7, Got: 5811
Checksum failed. Expected: ed7a, Got: e76d
Checksum failed. Expected: 6ea5, Got: 76c9
Checksum failed. Expected: 29c3, Got: 0625
Checksum failed. Expected: ea46, Got: 9581
Checksum failed. Expected: 0909, Got: 24de
Checksum failed. Expected: 99eb, Got: b43a
Checksum failed. Expected: 27c2, Got: 4396
Checksum failed. Expected: 8d55, Got: d2f2
Checksum failed. Expected: 0916, Got: 624e
Checksum failed. Expected: c77b, Got: f1aa
Checksum failed. Expected: e000, Got: 8107
Checksum failed. Expected: a055, Got: 1063
Checksum failed. Expected: 4672, Got: 9fbf
Checksum failed. Expected: 70d1, Got: 2f1b
Checksum failed. Expected: 96d8, Got: be77
Checksum failed. Expected: 48a5, Got: 4dd3
Checksum failed. Expected: e436, Got: dd30
Checksum failed. Expected: d565, Got: 6c8c
Checksum failed. Expected: 7777, Got: fbe8
Checksum failed. Expected: 44be, Got: 8b44
Checksum failed. Expected: df16, Got: 1aa0
Checksum failed. Expected: 6675, Got: a9fc
Checksum failed. Expected: db02, Got: 3959
Checksum failed. Expected: e9a8, Got: c8b5
Checksum failed. Expected: 47dd, Got: 5811
Checksum failed. Expected: 2d72, Got: e76d
Checksum failed. Expected: 47fb, Got: 76c9
Checksum failed. Expected: ae81, Got: 0625
Checksum failed. Expected: 031c, Got: 9581
Checksum failed. Expected: 7ff5, Got: 24de
Checksum failed. Expected: 8b9f, Got: b43a
Checksum failed. Expected: 9106, Got: 4396
Checksum failed. Expected: e273, Got: d2f2
Checksum failed. Expected: a408, Got: 624e
Checksum failed. Expected: 5071, Got: f1aa
Checksum failed. Expected: 1dce, Got: 8107
Checksum failed. Expected: bb47, Got: 1063
Checksum failed. Expected: 21e4, Got: 9fbf
Checksum failed. Expected: f373, Got: 2f1b
Checksum failed. Expected: ee20, Got: be77
Checksum failed. Expected: 7593, Got: 4dd3
Checksum failed. Expected: e9f4, Got: dd30
Checksum failed. Expected: 76ab, Got: 6c8c
Checksum failed. Expected: 1e11, Got: fbe8
Checksum failed. Expected: 5fb0, Got: 8b44
Checksum failed. Expected: add2, Got: 1aa0
Checksum failed. Expected: b75b, Got: a9fc
Checksum failed. Expected: 3ee4, Got: 3959
Checksum failed. Expected: 5e86, Got: c8b5
Checksum failed. Expected: 344b, Got: 5811
Checksum failed. Expected: 3014, Got: e76d
Checksum failed. Expected: 4bab, Got: 76c9
Checksum failed. Expected: ceb9, Got: 0625
Checksum failed. Expected: 1266, Got: 9581
Checksum failed. Expected: 1493, Got: 24de
Checksum failed. Expected: 214b, Got: b43a
Checksum failed. Expected: 2adc, Got: 4396
Checksum failed. Expected: 3467, Got: d2f2
Checksum failed. Expected: 770a, Got: 624e
Checksum failed. Expected: dd9f, Got: f1aa
Checksum failed. Expected: 6eb4, Got: 8107
Checksum failed. Expected: a58b, Got: 1063
Checksum failed. Expected: d318, Got: 9fbf
Checksum failed. Expected: 06f5, Got: 2f1b
Checksum failed. Expected: ec7c, Got: be77
Checksum failed. Expected: ad1b, Got: 4dd3
Checksum failed. Expected: 3be8, Got: dd30
Checksum failed. Expected: 3e13, Got: 6c8c

Exiting...
