
#################################################################
Log started at 2025-06-12_13-58-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 6d1c, Got: 1aa0
Checksum failed. Expected: 43cd, Got: a9fc
Checksum failed. Expected: 0374, Got: 3959
Checksum failed. Expected: b83c, Got: c8b5
Checksum failed. Expected: 188d, Got: 5811
Checksum failed. Expected: 2b98, Got: e76d
Checksum failed. Expected: 0e1f, Got: 76c9
Checksum failed. Expected: b1ed, Got: 0625
Checksum failed. Expected: 9014, Got: 9582
Checksum failed. Expected: 0794, Got: 24de
Checksum failed. Expected: 869b, Got: b43a
Checksum failed. Expected: 5b54, Got: 4396
Checksum failed. Expected: 1363, Got: d2f2
Checksum failed. Expected: 3754, Got: 624e
Checksum failed. Expected: 4843, Got: f1aa
Checksum failed. Expected: 07dc, Got: 8107
Checksum failed. Expected: da3b, Got: 1063
Checksum failed. Expected: 52d4, Got: 9fbf
Checksum failed. Expected: 0f3d, Got: 2f1b
Checksum failed. Expected: 2ee2, Got: be77
Checksum failed. Expected: 9adb, Got: 4dd3
Checksum failed. Expected: 8b12, Got: dd30
Checksum failed. Expected: f5df, Got: 6c8c
Checksum failed. Expected: 1c37, Got: fbe8
Checksum failed. Expected: e000, Got: 8b44
Checksum failed. Expected: b03e, Got: 1aa0
Checksum failed. Expected: ccc3, Got: a9fc
Checksum failed. Expected: 8f94, Got: 3959
Checksum failed. Expected: d43c, Got: c8b5
Checksum failed. Expected: 533f, Got: 5811
Checksum failed. Expected: 28e6, Got: e76d
Checksum failed. Expected: fc9b, Got: 76c9
Checksum failed. Expected: 94cf, Got: 0625
Checksum failed. Expected: af3e, Got: 9582
Checksum failed. Expected: 05f0, Got: 24de
Checksum failed. Expected: ea8b, Got: b43a
Checksum failed. Expected: 9d68, Got: 4396
Checksum failed. Expected: 8841, Got: d2f2
Checksum failed. Expected: 3e2e, Got: 624e
Checksum failed. Expected: b9e9, Got: f1aa
Checksum failed. Expected: 6140, Got: 8107
Checksum failed. Expected: 4ad3, Got: 1063
Checksum failed. Expected: 3070, Got: 9fbf
Checksum failed. Expected: aa2f, Got: 2f1b
Checksum failed. Expected: fc9e, Got: be77
Checksum failed. Expected: 5047, Got: 4dd3
Checksum failed. Expected: a2cc, Got: dd30
Checksum failed. Expected: 56a5, Got: 6c8c
Checksum failed. Expected: 21f5, Got: fbe8
Checksum failed. Expected: 64b0, Got: 8b44
Checksum failed. Expected: b0b6, Got: 1aa0
Checksum failed. Expected: 539d, Got: a9fc
Checksum failed. Expected: e3a4, Got: 3959
Checksum failed. Expected: 9542, Got: c8b5
Checksum failed. Expected: 3513, Got: 5811
Checksum failed. Expected: c4e6, Got: e76d
Checksum failed. Expected: ba77, Got: 76c9
Checksum failed. Expected: 590d, Got: 0625
Checksum failed. Expected: 9cac, Got: 9582
Checksum failed. Expected: 034c, Got: 24de
Checksum failed. Expected: eb11, Got: b43a
Checksum failed. Expected: f06a, Got: 4396
Checksum failed. Expected: 3fbb, Got: d2f2
Checksum failed. Expected: c508, Got: 624e
Checksum failed. Expected: ba6f, Got: f1aa
Checksum failed. Expected: c74c, Got: 8107
Checksum failed. Expected: 9ee3, Got: 1063

Exiting...
