
#################################################################
Log started at 2025-06-12_13-59-43 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 78ac, Got: 1c0e
Checksum failed. Expected: 8c14, Got: 1c0e
Checksum failed. Expected: 2307, Got: 1c0e
Checksum failed. Expected: 0fa3, Got: 1c0e
Checksum failed. Expected: 0c94, Got: 1c0e
Checksum failed. Expected: 17cb, Got: 1c0e
Checksum failed. Expected: f521, Got: 1c0e
Checksum failed. Expected: 5c24, Got: 1c0e
Checksum failed. Expected: eefe, Got: 1c0e
Checksum failed. Expected: 81dd, Got: 1c0e
Checksum failed. Expected: 5a1a, Got: 1c0e
Checksum failed. Expected: 7dc9, Got: 1c0e
Checksum failed. Expected: 644c, Got: 1c0e
Checksum failed. Expected: b8f0, Got: 1c0e
Checksum failed. Expected: c327, Got: 1c0e
Checksum failed. Expected: d686, Got: 1c0e
Checksum failed. Expected: 84ec, Got: 1c0e
Checksum failed. Expected: 0e9e, Got: 1c0e
Checksum failed. Expected: d47c, Got: 1c0e
Checksum failed. Expected: 2616, Got: 1c0e
Checksum failed. Expected: 8800, Got: 1c0e
Checksum failed. Expected: 75a1, Got: 1c0e
Checksum failed. Expected: f830, Got: 1c0e
Checksum failed. Expected: b6e6, Got: 1c0e
Checksum failed. Expected: d47c, Got: 1c0e
Checksum failed. Expected: d890, Got: 1c0e
Checksum failed. Expected: 0571, Got: 1c0e
Checksum failed. Expected: 3561, Got: 1c0e
Checksum failed. Expected: 9b5f, Got: 1c0e
Checksum failed. Expected: ebef, Got: 1c0e
Checksum failed. Expected: 5f33, Got: 1c0e
Checksum failed. Expected: 4098, Got: 1c0e
Checksum failed. Expected: 3048, Got: 1c0e
Checksum failed. Expected: 8a0a, Got: 1c0e
Checksum failed. Expected: 51ed, Got: 1c0e
Checksum failed. Expected: c42c, Got: 1c0e
Checksum failed. Expected: 613d, Got: 1c0e
Checksum failed. Expected: 4ede, Got: 1c0e
Checksum failed. Expected: 85f1, Got: 1c0e
Checksum failed. Expected: 47bb, Got: 1c0e
Checksum failed. Expected: cc54, Got: 1c0e
Checksum failed. Expected: e8e0, Got: 1c0e
Checksum failed. Expected: fe4e, Got: 1c0e
Checksum failed. Expected: be0e, Got: 1c0e
Checksum failed. Expected: 6656, Got: 1c0e
Checksum failed. Expected: 9646, Got: 1c0e
Checksum failed. Expected: c636, Got: 1c0e
Checksum failed. Expected: 4aca, Got: 1c0e
Checksum failed. Expected: 17cb, Got: 1c0e
Checksum failed. Expected: 9337, Got: 1c0e
Checksum failed. Expected: cf63, Got: 1c0e
Checksum failed. Expected: 5606, Got: 1c0e
Checksum failed. Expected: 6b6f, Got: 1c0e
Checksum failed. Expected: a48c, Got: 1c0e
Checksum failed. Expected: 15c1, Got: 1c0e
Checksum failed. Expected: e5d1, Got: 1c0e
Checksum failed. Expected: a9a5, Got: 1c0e
Checksum failed. Expected: 47bb, Got: 1c0e
Checksum failed. Expected: d581, Got: 1c0e
Checksum failed. Expected: a8a0, Got: 1c0e
Checksum failed. Expected: 1de9, Got: 1c0e
Checksum failed. Expected: 5a1a, Got: 1c0e
Checksum failed. Expected: 8d19, Got: 1c0e
Checksum failed. Expected: c42c, Got: 1c0e
Checksum failed. Expected: 81dd, Got: 1c0e
Checksum failed. Expected: eefe, Got: 1c0e
Checksum failed. Expected: 718d, Got: 1c0e
Checksum failed. Expected: d581, Got: 1c0e
Checksum failed. Expected: 345c, Got: 1c0e
Checksum failed. Expected: 943c, Got: 1c0e
Checksum failed. Expected: 2e3e, Got: 1c0e
Checksum failed. Expected: eefe, Got: 1c0e
Checksum failed. Expected: 2c34, Got: 1c0e
Checksum failed. Expected: 6038, Got: 1c0e
Checksum failed. Expected: 9d69, Got: 1c0e
Checksum failed. Expected: cb4f, Got: 1c0e
Checksum failed. Expected: c11d, Got: 1c0e
Checksum failed. Expected: 51ed, Got: 1c0e
Checksum failed. Expected: a387, Got: 1c0e
Checksum failed. Expected: abaf, Got: 1c0e
Checksum failed. Expected: c327, Got: 1c0e
Checksum failed. Expected: 2307, Got: 1c0e
Checksum failed. Expected: bd09, Got: 1c0e
Checksum failed. Expected: 6a6a, Got: 1c0e
Checksum failed. Expected: 8905, Got: 1c0e
Checksum failed. Expected: a591, Got: 1c0e
Checksum failed. Expected: 6f83, Got: 1c0e
Checksum failed. Expected: f935, Got: 1c0e
Checksum failed. Expected: 0880, Got: 1c0e
Checksum failed. Expected: 2e3e, Got: 1c0e
Checksum failed. Expected: 4ede, Got: 1c0e
Checksum failed. Expected: 7397, Got: 1c0e
Checksum failed. Expected: 50e8, Got: 1c0e
Checksum failed. Expected: 644c, Got: 1c0e
Checksum failed. Expected: 7fd3, Got: 1c0e
Checksum failed. Expected: 1ce4, Got: 1c0e
Checksum failed. Expected: fa3a, Got: 1c0e
Checksum failed. Expected: cc54, Got: 1c0e
Checksum failed. Expected: 2202, Got: 1c0e
Checksum failed. Expected: 0e9e, Got: 1c0e
Checksum failed. Expected: 3561, Got: 1c0e
Checksum failed. Expected: 0058, Got: 1c0e
Checksum failed. Expected: 9d69, Got: 1c0e
Checksum failed. Expected: c222, Got: 1c0e
Checksum failed. Expected: 0676, Got: 1c0e
Checksum failed. Expected: 8f23, Got: 1c0e
Checksum failed. Expected: a9a5, Got: 1c0e
Checksum failed. Expected: d47c, Got: 1c0e
Checksum failed. Expected: 8800, Got: 1c0e
Checksum failed. Expected: aebe, Got: 1c0e
Checksum failed. Expected: fe4e, Got: 1c0e
Checksum failed. Expected: f10d, Got: 1c0e
Checksum failed. Expected: b3d7, Got: 1c0e
Checksum failed. Expected: 2f43, Got: 1c0e
Checksum failed. Expected: b3d7, Got: 1c0e
Checksum failed. Expected: 6d79, Got: 1c0e
Checksum failed. Expected: 015d, Got: 1c0e
Checksum failed. Expected: 8800, Got: 1c0e

Exiting...
