
#################################################################
Log started at 2025-06-12_14-00-47 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 00aa, Got: 12b2
Checksum failed. Expected: 9294, Got: 20bc
Checksum failed. Expected: f7ec, Got: baf7
Checksum failed. Expected: e226, Got: 1ae9
Checksum failed. Expected: 695a, Got: f568
Checksum failed. Expected: c5de, Got: 6a6d
Checksum failed. Expected: 55f8, Got: 63e8
Checksum failed. Expected: b0a6, Got: 2617
Checksum failed. Expected: 8c74, Got: 9bd9
Checksum failed. Expected: 40a3, Got: 8b8a
Checksum failed. Expected: 2abb, Got: 5a3f
Checksum failed. Expected: 6b83, Got: 67d5
Checksum failed. Expected: 5744, Got: e3ee
Checksum failed. Expected: 90cd, Got: d0a9
Checksum failed. Expected: 9019, Got: 4b85
Checksum failed. Expected: ba58, Got: 4dc8
Checksum failed. Expected: 3a13, Got: 8acf
Checksum failed. Expected: 7558, Got: 3b02
Checksum failed. Expected: 4e33, Got: 6f50
Checksum failed. Expected: 7ebf, Got: f6cd
Checksum failed. Expected: 8497, Got: 1e80
Checksum failed. Expected: 96f0, Got: c400
Checksum failed. Expected: 0b54, Got: c469
Checksum failed. Expected: 49f9, Got: 7659
Checksum failed. Expected: 8826, Got: dc0a
Checksum failed. Expected: c7d5, Got: e91c
Checksum failed. Expected: 5b97, Got: cbdd
Checksum failed. Expected: fa75, Got: ad2f
Checksum failed. Expected: 1ca6, Got: e763
Checksum failed. Expected: d694, Got: 79cc
Checksum failed. Expected: bb40, Got: 7288
Checksum failed. Expected: 3e28, Got: 700c
Checksum failed. Expected: 3e75, Got: 477d
Checksum failed. Expected: 52df, Got: ac34
Checksum failed. Expected: 06a0, Got: e327
Checksum failed. Expected: 4a11, Got: 00f9
Checksum failed. Expected: f46c, Got: 3237
Checksum failed. Expected: fd8d, Got: 1bb9
Checksum failed. Expected: 493b, Got: 1ad2
Checksum failed. Expected: 1c48, Got: d36c
Checksum failed. Expected: e11c, Got: 2987
Checksum failed. Expected: 2e64, Got: 575f
Checksum failed. Expected: b2bb, Got: 3cd5
Checksum failed. Expected: 771f, Got: 6192
Checksum failed. Expected: f872, Got: 503f
Checksum failed. Expected: d942, Got: da35
Checksum failed. Expected: 4f8c, Got: bace
Checksum failed. Expected: 44a9, Got: b983
Checksum failed. Expected: 4af5, Got: f00e
Checksum failed. Expected: a61d, Got: 847d
Checksum failed. Expected: 5d3a, Got: 864a
Checksum failed. Expected: bb2a, Got: 76cc
Checksum failed. Expected: 982d, Got: 627a
Checksum failed. Expected: 94ba, Got: ee04
Checksum failed. Expected: d188, Got: c457
Checksum failed. Expected: 9ba3, Got: 1729
Checksum failed. Expected: a30f, Got: f78f
Checksum failed. Expected: 82d4, Got: 2924
Checksum failed. Expected: 54e8, Got: b4d0
Checksum failed. Expected: f5f4, Got: c25f
Checksum failed. Expected: fe3c, Got: 4496
Checksum failed. Expected: 05d6, Got: b799
Checksum failed. Expected: 4ba0, Got: 7c37
Checksum failed. Expected: 62e0, Got: 5f92
Checksum failed. Expected: e73a, Got: ef04
Checksum failed. Expected: 5953, Got: 0b81
Checksum failed. Expected: 5cc2, Got: fe67
Checksum failed. Expected: 83e2, Got: 1a77
Checksum failed. Expected: b18c, Got: a971
Checksum failed. Expected: cf8d, Got: cd1e
Checksum failed. Expected: be9e, Got: 2784
Checksum failed. Expected: 067e, Got: 3677
Checksum failed. Expected: 75a7, Got: 0483
Checksum failed. Expected: 81bc, Got: e237
Checksum failed. Expected: 575b, Got: 8a88
Checksum failed. Expected: e99f, Got: 3b09
Checksum failed. Expected: 86b4, Got: a95e
Checksum failed. Expected: 26a6, Got: 4c8d
Checksum failed. Expected: 3386, Got: 364a
Checksum failed. Expected: 12d3, Got: 7ede
Checksum failed. Expected: d182, Got: 93a2
Checksum failed. Expected: b4b9, Got: fc3c
Checksum failed. Expected: cb85, Got: 840a
Checksum failed. Expected: 16ba, Got: 360b
Checksum failed. Expected: ccdf, Got: 9be0

Exiting...
