
#################################################################
Log started at 2025-06-12_14-02-16 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 5c78, Got: 8ea0
Checksum failed. Expected: 6a78, Got: 7565
Checksum failed. Expected: 34b9, Got: 0000
Checksum failed. Expected: 298d, Got: 0000
Checksum failed. Expected: 290d, Got: 0000
Checksum failed. Expected: 755a, Got: 0000
Checksum failed. Expected: a9fe, Got: 0000
Checksum failed. Expected: c1c8, Got: 0000
Checksum failed. Expected: f11b, Got: 0000
Checksum failed. Expected: d07b, Got: 0000
Checksum failed. Expected: fa63, Got: 0000
Checksum failed. Expected: e67d, Got: 0000
Checksum failed. Expected: cb31, Got: 0000
Checksum failed. Expected: fdd7, Got: 0000
Checksum failed. Expected: 1aef, Got: 0000
Checksum failed. Expected: b736, Got: 0000
Checksum failed. Expected: ff1a, Got: 0000
Checksum failed. Expected: ac3e, Got: 0000
Checksum failed. Expected: fec9, Got: 0000
Checksum failed. Expected: 29ec, Got: 0000
Checksum failed. Expected: 5e74, Got: 0000
Checksum failed. Expected: b772, Got: 0000
Checksum failed. Expected: 05d9, Got: 0000
Checksum failed. Expected: d1e6, Got: 0000
Checksum failed. Expected: bcd9, Got: 0000
Checksum failed. Expected: c706, Got: 0000
Checksum failed. Expected: 90f3, Got: 0000
Checksum failed. Expected: cd2d, Got: 0000
Checksum failed. Expected: 73e9, Got: 0000
Checksum failed. Expected: d9c9, Got: 0000
Checksum failed. Expected: a3f6, Got: 0000
Checksum failed. Expected: a35a, Got: 0000
Checksum failed. Expected: d904, Got: 0000
Checksum failed. Expected: c627, Got: 0000
Checksum failed. Expected: 4d07, Got: 0000
Checksum failed. Expected: ad4f, Got: 0000
Checksum failed. Expected: 81e9, Got: 0000
Checksum failed. Expected: e8bd, Got: 0000
Checksum failed. Expected: 7623, Got: 0000
Checksum failed. Expected: 1aab, Got: 0000
Checksum failed. Expected: 7f72, Got: 0000
Checksum failed. Expected: 5fd6, Got: 0000
Checksum failed. Expected: 1ada, Got: 0000
Checksum failed. Expected: b935, Got: 0000
Checksum failed. Expected: bde8, Got: 0000
Checksum failed. Expected: 1490, Got: 0000
Checksum failed. Expected: 0fae, Got: 0000
Checksum failed. Expected: 1c05, Got: 0000
Checksum failed. Expected: 9c52, Got: 0000
Checksum failed. Expected: 7965, Got: 0000
Checksum failed. Expected: f492, Got: 0000
Checksum failed. Expected: c4ef, Got: 0000
Checksum failed. Expected: 8129, Got: 0000
Checksum failed. Expected: b7e5, Got: 0000
Checksum failed. Expected: 2545, Got: 0000
Checksum failed. Expected: dd52, Got: 0000
Checksum failed. Expected: fec6, Got: 0000
Checksum failed. Expected: 58b0, Got: 0000
Checksum failed. Expected: 1d53, Got: 0000
Checksum failed. Expected: 6ed3, Got: 0000
Checksum failed. Expected: 98bb, Got: 0000
Checksum failed. Expected: f5e5, Got: 0000
Checksum failed. Expected: 2439, Got: 0000
Checksum failed. Expected: 8e5f, Got: 0000
Checksum failed. Expected: ab77, Got: 0000
Checksum failed. Expected: 5ade, Got: 0000
Checksum failed. Expected: 20a2, Got: 0000
Checksum failed. Expected: 7ba6, Got: 0000
Checksum failed. Expected: d061, Got: 0000
Checksum failed. Expected: 9964, Got: 0000
Checksum failed. Expected: 7ffc, Got: 0000
Checksum failed. Expected: 8f6a, Got: 0000
Checksum failed. Expected: 4dd1, Got: 0000
Checksum failed. Expected: 848e, Got: 0000
Checksum failed. Expected: 66f1, Got: 0000
Checksum failed. Expected: 344e, Got: 0000
Checksum failed. Expected: 1e4b, Got: 0000
Checksum failed. Expected: 5eb5, Got: 0000
Checksum failed. Expected: c8b1, Got: 0000
Checksum failed. Expected: 41c1, Got: 0000
Checksum failed. Expected: 103e, Got: 0000
Checksum failed. Expected: 7822, Got: 0000
Checksum failed. Expected: a20c, Got: 0000
Checksum failed. Expected: 49cf, Got: 0000
Checksum failed. Expected: 871f, Got: 0000
Checksum failed. Expected: 7a97, Got: 0000
Checksum failed. Expected: 87c1, Got: 0000
Checksum failed. Expected: 33e5, Got: 0000
Checksum failed. Expected: cbeb, Got: 0000
Checksum failed. Expected: 22a3, Got: 0000
Checksum failed. Expected: 576a, Got: 0000
Checksum failed. Expected: 0c1e, Got: 0000
Checksum failed. Expected: d0b2, Got: 0000
Checksum failed. Expected: 0bcd, Got: 0000
Checksum failed. Expected: 2920, Got: 0000
Checksum failed. Expected: 7628, Got: 0000

Exiting...
