
#################################################################
Log started at 2025-06-12_14-02-26 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: cc58, Got: 8e94
Checksum failed. Expected: 16a4, Got: 7565
Checksum failed. Expected: dbab, Got: f111
Checksum failed. Expected: a0af, Got: d340
Checksum failed. Expected: c728, Got: d340
Checksum failed. Expected: 03cc, Got: d340
Checksum failed. Expected: 5d42, Got: d340
Checksum failed. Expected: f35c, Got: d340
Checksum failed. Expected: a748, Got: d340
Checksum failed. Expected: 6a9d, Got: d340
Checksum failed. Expected: 1443, Got: d340
Checksum failed. Expected: 6788, Got: d340
Checksum failed. Expected: 94c3, Got: d340
Checksum failed. Expected: 93bc, Got: d340
Checksum failed. Expected: b5aa, Got: d340
Checksum failed. Expected: fa8d, Got: d340
Checksum failed. Expected: 4285, Got: d340
Checksum failed. Expected: f671, Got: d340
Checksum failed. Expected: 154a, Got: d340
Checksum failed. Expected: 06e1, Got: d340
Checksum failed. Expected: ab64, Got: d340
Checksum failed. Expected: 3631, Got: d340
Checksum failed. Expected: 886f, Got: d340
Checksum failed. Expected: 6eb9, Got: d340
Checksum failed. Expected: b8bf, Got: d340
Checksum failed. Expected: c30c, Got: d340
Checksum failed. Expected: 0c0b, Got: d340
Checksum failed. Expected: f778, Got: d340
Checksum failed. Expected: 459a, Got: d340
Checksum failed. Expected: 0b04, Got: d340
Checksum failed. Expected: 0d12, Got: d340
Checksum failed. Expected: 7d22, Got: d340
Checksum failed. Expected: 9f10, Got: d340
Checksum failed. Expected: c30c, Got: d340
Checksum failed. Expected: 1c7b, Got: d340
Checksum failed. Expected: 581f, Got: d340
Checksum failed. Expected: bde2, Got: d340
Checksum failed. Expected: 9bf4, Got: d340
Checksum failed. Expected: 1c7b, Got: d340
Checksum failed. Expected: d9a6, Got: d340
Checksum failed. Expected: 3b54, Got: d340
Checksum failed. Expected: 813e, Got: d340
Checksum failed. Expected: d16e, Got: d340
Checksum failed. Expected: aa5d, Got: d340
Checksum failed. Expected: 8d92, Got: d340
Checksum failed. Expected: 90a7, Got: d340
Checksum failed. Expected: 72d5, Got: d340
Checksum failed. Expected: b18e, Got: d340
Checksum failed. Expected: d798, Got: d340
Checksum failed. Expected: 3631, Got: d340
Checksum failed. Expected: fa8d, Got: d340
Checksum failed. Expected: 1235, Got: d340
Checksum failed. Expected: fb94, Got: d340
Checksum failed. Expected: 383f, Got: d340
Checksum failed. Expected: bff0, Got: d340
Checksum failed. Expected: a748, Got: d340
Checksum failed. Expected: 1c7b, Got: d340
Checksum failed. Expected: c936, Got: d340
Checksum failed. Expected: 615e, Got: d340
Checksum failed. Expected: 7906, Got: d340
Checksum failed. Expected: 1b74, Got: d340
Checksum failed. Expected: 4dd2, Got: d340
Checksum failed. Expected: b39c, Got: d340
Checksum failed. Expected: a32c, Got: d340
Checksum failed. Expected: c621, Got: d340
Checksum failed. Expected: 6db2, Got: d340
Checksum failed. Expected: 8245, Got: d340
Checksum failed. Expected: e2e5, Got: d340
Checksum failed. Expected: 112e, Got: d340
Checksum failed. Expected: 09f6, Got: d340
Checksum failed. Expected: f14e, Got: d340
Checksum failed. Expected: a748, Got: d340
Checksum failed. Expected: b6b1, Got: d340
Checksum failed. Expected: 154a, Got: d340
Checksum failed. Expected: 9e09, Got: d340
Checksum failed. Expected: 1027, Got: d340
Checksum failed. Expected: 4fe0, Got: d340
Checksum failed. Expected: 7b14, Got: d340
Checksum failed. Expected: 8768, Got: d340
Checksum failed. Expected: 3738, Got: d340
Checksum failed. Expected: 74e3, Got: d340
Checksum failed. Expected: ed32, Got: d340
Checksum failed. Expected: 4285, Got: d340
Checksum failed. Expected: 00b7, Got: d340
Checksum failed. Expected: 93bc, Got: d340
Checksum failed. Expected: 51ee, Got: d340
Checksum failed. Expected: 5b34, Got: d340
Checksum failed. Expected: 49b6, Got: d340
Checksum failed. Expected: d37c, Got: d340
Checksum failed. Expected: e601, Got: d340
Checksum failed. Expected: b5aa, Got: d340
Checksum failed. Expected: 48af, Got: d340
Checksum failed. Expected: a956, Got: d340
Checksum failed. Expected: 4bc4, Got: d340
Checksum failed. Expected: 08ef, Got: d340

Exiting...
