
#################################################################
Log started at 2025-06-12_14-02-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 103d, Got: 0e04
Checksum failed. Expected: c251, Got: 0e04
Checksum failed. Expected: 90ba, Got: 0e04
Checksum failed. Expected: 8a96, Got: 0e04
Checksum failed. Expected: b671, Got: 0e04
Checksum failed. Expected: fc4f, Got: 0e04
Checksum failed. Expected: 383b, Got: 0e04
Checksum failed. Expected: 5fd4, Got: 0e04
Checksum failed. Expected: 9241, Got: 0e04
Checksum failed. Expected: dc65, Got: 0e04
Checksum failed. Expected: 3b27, Got: 0e04
Checksum failed. Expected: fdcc, Got: 0e04
Checksum failed. Expected: b12c, Got: 0e04
Checksum failed. Expected: 647c, Got: 0e04
Checksum failed. Expected: 1d58, Got: 0e04
Checksum failed. Expected: 1a9c, Got: 0e04
Checksum failed. Expected: c320, Got: 0e04
Checksum failed. Expected: b9b0, Got: 0e04
Checksum failed. Expected: cfc1, Got: 0e04
Checksum failed. Expected: f629, Got: 0e04
Checksum failed. Expected: 56ff, Got: 0e04
Checksum failed. Expected: d568, Got: 0e04
Checksum failed. Expected: 2625, Got: 0e04
Checksum failed. Expected: 41cc, Got: 0e04
Checksum failed. Expected: 2c90, Got: 0e04
Checksum failed. Expected: dfe9, Got: 0e04
Checksum failed. Expected: a065, Got: 0e04
Checksum failed. Expected: 7f22, Got: 0e04
Checksum failed. Expected: 2232, Got: 0e04
Checksum failed. Expected: d8d5, Got: 0e04
Checksum failed. Expected: e767, Got: 0e04
Checksum failed. Expected: 5a9f, Got: 0e04
Checksum failed. Expected: 3434, Got: 0e04
Checksum failed. Expected: fb31, Got: 0e04
Checksum failed. Expected: 24c1, Got: 0e04
Checksum failed. Expected: 593b, Got: 0e04
Checksum failed. Expected: 2044, Got: 0e04
Checksum failed. Expected: 1054, Got: 0e04
Checksum failed. Expected: c6e0, Got: 0e04
Checksum failed. Expected: 98b0, Got: 0e04
Checksum failed. Expected: 3574, Got: 0e04
Checksum failed. Expected: 01b4, Got: 0e04
Checksum failed. Expected: 9f64, Got: 0e04
Checksum failed. Expected: f8b1, Got: 0e04
Checksum failed. Expected: 143d, Got: 0e04
Checksum failed. Expected: 033f, Got: 0e04
Checksum failed. Expected: 0a48, Got: 0e04
Checksum failed. Expected: e3a5, Got: 0e04
Checksum failed. Expected: 3148, Got: 0e04
Checksum failed. Expected: 65c0, Got: 0e04
Checksum failed. Expected: e3f5, Got: 0e04
Checksum failed. Expected: f39d, Got: 0e04
Checksum failed. Expected: 0f1e, Got: 0e04
Checksum failed. Expected: c7d2, Got: 0e04
Checksum failed. Expected: 03ed, Got: 0e04
Checksum failed. Expected: 8d1b, Got: 0e04
Checksum failed. Expected: e30f, Got: 0e04
Checksum failed. Expected: 0658, Got: 0e04
Checksum failed. Expected: 1d95, Got: 0e04
Checksum failed. Expected: 5101, Got: 0e04
Checksum failed. Expected: a3bf, Got: 0e04
Checksum failed. Expected: 6564, Got: 0e04
Checksum failed. Expected: 1bec, Got: 0e04
Checksum failed. Expected: bde8, Got: 0e04
Checksum failed. Expected: b388, Got: 0e04
Checksum failed. Expected: ec7c, Got: 0e04
Checksum failed. Expected: 346c, Got: 0e04
Checksum failed. Expected: 9f20, Got: 0e04
Checksum failed. Expected: 21a1, Got: 0e04
Checksum failed. Expected: 6f15, Got: 0e04
Checksum failed. Expected: cdc3, Got: 0e04
Checksum failed. Expected: f338, Got: 0e04
Checksum failed. Expected: d999, Got: 0e04
Checksum failed. Expected: 87bc, Got: 0e04
Checksum failed. Expected: 1650, Got: 0e04
Checksum failed. Expected: ed79, Got: 0e04
Checksum failed. Expected: b9d1, Got: 0e04
Checksum failed. Expected: ba36, Got: 0e04
Checksum failed. Expected: ba8a, Got: 0e04
Checksum failed. Expected: cd71, Got: 0e04
Checksum failed. Expected: e907, Got: 0e04
Checksum failed. Expected: 7647, Got: 0e04
Checksum failed. Expected: d990, Got: 0e04
Checksum failed. Expected: 3ff9, Got: 0e04
Checksum failed. Expected: 37b5, Got: 0e04
Checksum failed. Expected: 3a47, Got: 0e04
Checksum failed. Expected: e85c, Got: 0e04
Checksum failed. Expected: 75b0, Got: 0e04
Checksum failed. Expected: f4f0, Got: 0e04
Checksum failed. Expected: 94d8, Got: 0e04
Checksum failed. Expected: 9008, Got: 0e04
Checksum failed. Expected: 0e30, Got: 0e04
Checksum failed. Expected: b258, Got: 0e04
Checksum failed. Expected: 8641, Got: 0e04
