
#################################################################
Log started at 2025-06-12_14-07-27 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 9b5a, Got: 0804
Checksum failed. Expected: 2c2b, Got: 048f
Checksum failed. Expected: f28b, Got: b875
Checksum failed. Expected: 37e8, Got: f11f
Checksum failed. Expected: c78f, Got: 04bb
Checksum failed. Expected: c5e7, Got: 04bc
Checksum failed. Expected: d48d, Got: 04bc
Checksum failed. Expected: a1f1, Got: 04bc
Checksum failed. Expected: 438b, Got: 04bc
Checksum failed. Expected: befa, Got: 04bc
Checksum failed. Expected: 88e5, Got: 04bc
Checksum failed. Expected: 8ebf, Got: 04bb
Checksum failed. Expected: 4dcc, Got: 04bb
Checksum failed. Expected: ed69, Got: 04bb
Checksum failed. Expected: 1744, Got: 04bc
Checksum failed. Expected: f838, Got: 04bc
Checksum failed. Expected: 717e, Got: 04bc
Checksum failed. Expected: fe59, Got: 04bc
Checksum failed. Expected: 6bc1, Got: 04bc
Checksum failed. Expected: 7a60, Got: 04bb
Checksum failed. Expected: 7f29, Got: 04bb
Checksum failed. Expected: 69c6, Got: 04bb
Checksum failed. Expected: f03f, Got: 04bc
Checksum failed. Expected: cb66, Got: 04bc
Checksum failed. Expected: ce32, Got: 04bc
Checksum failed. Expected: a770, Got: 04bc
Checksum failed. Expected: e936, Got: 04bc
Checksum failed. Expected: 66cd, Got: 04bb
Checksum failed. Expected: 4377, Got: 04bb
Checksum failed. Expected: 77fc, Got: 04bb
Checksum failed. Expected: 1ddb, Got: 04bc
Checksum failed. Expected: 9a87, Got: 04bc
Checksum failed. Expected: 59c5, Got: 04bc
Checksum failed. Expected: 7cf4, Got: 04bc
Checksum failed. Expected: b60e, Got: 04bc
Checksum failed. Expected: 0079, Got: 04bc
Checksum failed. Expected: 8d66, Got: 04bc
Checksum failed. Expected: b504, Got: 04bc
Checksum failed. Expected: 671b, Got: 04bb
Checksum failed. Expected: 16eb, Got: 04bb
Checksum failed. Expected: b581, Got: 04bb
Checksum failed. Expected: 6cdd, Got: 04bc
Checksum failed. Expected: a5c8, Got: 04bc
Checksum failed. Expected: d0c6, Got: 04bc
Checksum failed. Expected: b947, Got: 04bc
Checksum failed. Expected: e537, Got: 04bc
Checksum failed. Expected: b6c7, Got: 04bb
Checksum failed. Expected: 2215, Got: 04bb
Checksum failed. Expected: e550, Got: 04bb
Checksum failed. Expected: 6d05, Got: 04bc
Checksum failed. Expected: 98f1, Got: 04bb
Checksum failed. Expected: 757a, Got: 04bc
Checksum failed. Expected: ae71, Got: 04bc
Checksum failed. Expected: eada, Got: 04bc
Checksum failed. Expected: c73c, Got: 04bc
Checksum failed. Expected: d5a3, Got: 04bb
Checksum failed. Expected: ff98, Got: 04bb
Checksum failed. Expected: ac5c, Got: 04bb
Checksum failed. Expected: c90d, Got: 04bb
Checksum failed. Expected: 2c84, Got: 04bb
Checksum failed. Expected: 1c8d, Got: 04bc
Checksum failed. Expected: 4764, Got: 04bc
Checksum failed. Expected: a8af, Got: 04bc
Checksum failed. Expected: e642, Got: 04bc
Checksum failed. Expected: 363b, Got: 04bb
Checksum failed. Expected: cd35, Got: 04bc
Checksum failed. Expected: bd32, Got: 04bc
Checksum failed. Expected: d9c8, Got: 04bb
Checksum failed. Expected: 6288, Got: 04bc
Checksum failed. Expected: 53a5, Got: 04bb
Checksum failed. Expected: 059f, Got: 04bb
Checksum failed. Expected: d405, Got: 04bc
Checksum failed. Expected: 17de, Got: 04bc
Checksum failed. Expected: 8dc8, Got: 04bc
Checksum failed. Expected: c4d8, Got: 04bc
Checksum failed. Expected: 1085, Got: 04bc
Checksum failed. Expected: a744, Got: 04bc
Checksum failed. Expected: cfe2, Got: 04bc
Checksum failed. Expected: 6159, Got: 04bc
Checksum failed. Expected: a52e, Got: 04bc
Checksum failed. Expected: 24da, Got: 04bc
Checksum failed. Expected: 7a5f, Got: 04bb
Checksum failed. Expected: 3101, Got: 04bc
Checksum failed. Expected: e4f4, Got: 04bc
Checksum failed. Expected: 33c7, Got: 04bc
Checksum failed. Expected: 2724, Got: 04bc
Checksum failed. Expected: 161b, Got: 04bb
Checksum failed. Expected: 8483, Got: 04bb
Checksum failed. Expected: b2c6, Got: 04bc
Checksum failed. Expected: a1be, Got: 04bc
Checksum failed. Expected: cefa, Got: 04bb
Checksum failed. Expected: 070c, Got: 04bc
Checksum failed. Expected: 01cc, Got: 04bc
Checksum failed. Expected: 1d8f, Got: 04bc
Checksum failed. Expected: be28, Got: 04bc
Checksum failed. Expected: 1d47, Got: 04bc
Checksum failed. Expected: ac6d, Got: 04bc
Checksum failed. Expected: b027, Got: 04bb
Checksum failed. Expected: 3ceb, Got: 04bc
Checksum failed. Expected: b9ad, Got: 04bb
Checksum failed. Expected: 8ea3, Got: 04bc
Checksum failed. Expected: 5885, Got: 04bb
Checksum failed. Expected: 65f8, Got: 04bc
Checksum failed. Expected: d25a, Got: 04bc
Checksum failed. Expected: 5d02, Got: 04bc
Checksum failed. Expected: cf9d, Got: 04bc
Checksum failed. Expected: a9f6, Got: 04bc
Checksum failed. Expected: f804, Got: 04bc
Checksum failed. Expected: d68a, Got: 04bc
Checksum failed. Expected: 3159, Got: 04bb
Checksum failed. Expected: 5d5a, Got: 04bc
Checksum failed. Expected: 1b40, Got: 04bc
Checksum failed. Expected: ff4a, Got: 04bc
Checksum failed. Expected: 0ded, Got: 04bc
Checksum failed. Expected: 3489, Got: 04bc
Checksum failed. Expected: 6743, Got: 04bc
Checksum failed. Expected: bdaa, Got: 04bc
Checksum failed. Expected: 8e19, Got: 04bb
Checksum failed. Expected: ccb2, Got: 04bb
Checksum failed. Expected: 98d2, Got: 04bb
Checksum failed. Expected: 26cc, Got: 04bc
Checksum failed. Expected: 438c, Got: 04bc
Checksum failed. Expected: 8447, Got: 04bc
Checksum failed. Expected: 94d3, Got: 04bc
Checksum failed. Expected: 2206, Got: 04bc
Checksum failed. Expected: 6c89, Got: 04bc
Checksum failed. Expected: 16d7, Got: 04bc
Checksum failed. Expected: 6f7a, Got: 04bc
Checksum failed. Expected: d77f, Got: 04bc
Checksum failed. Expected: 78f5, Got: 04bc
Checksum failed. Expected: 59ab, Got: 04bc
Checksum failed. Expected: 651e, Got: 04bb
Checksum failed. Expected: e0d4, Got: 04bb
Checksum failed. Expected: f707, Got: 04bb
Checksum failed. Expected: 23fb, Got: 04bb
Checksum failed. Expected: 6f90, Got: 04bc
Checksum failed. Expected: 25ce, Got: 04bb
Checksum failed. Expected: 8ecd, Got: 04bc
Checksum failed. Expected: db8f, Got: 04bc

Exiting...
