
#################################################################
Log started at 2025-06-12_14-07-34 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: cc58, Got: 8e94
Checksum failed. Expected: 16a4, Got: 7565
Checksum failed. Expected: dbab, Got: f111
Checksum failed. Expected: a0af, Got: d340
Checksum failed. Expected: d89f, Got: d340
Checksum failed. Expected: 97d8, Got: d340
Checksum failed. Expected: 71ce, Got: d340
Checksum failed. Expected: d275, Got: d340
Checksum failed. Expected: 6a9d, Got: d340
Checksum failed. Expected: e1de, Got: d340
Checksum failed. Expected: 2be4, Got: d340
Checksum failed. Expected: 0e19, Got: d340
Checksum failed. Expected: 3007, Got: d340
Checksum failed. Expected: 98df, Got: d340
Checksum failed. Expected: d067, Got: d340
Checksum failed. Expected: 0afd, Got: d340
Checksum failed. Expected: 9f10, Got: d340
Checksum failed. Expected: 50e7, Got: d340
Checksum failed. Expected: 0b04, Got: d340
Checksum failed. Expected: f671, Got: d340
Checksum failed. Expected: dfd0, Got: d340
Checksum failed. Expected: f56a, Got: d340
Checksum failed. Expected: e80f, Got: d340
Checksum failed. Expected: 3631, Got: d340
Checksum failed. Expected: d275, Got: d340
Checksum failed. Expected: f463, Got: d340
Checksum failed. Expected: 26c1, Got: d340
Checksum failed. Expected: a32c, Got: d340
Checksum failed. Expected: 459a, Got: d340
Checksum failed. Expected: d798, Got: d340
Checksum failed. Expected: af80, Got: d340
Checksum failed. Expected: 74e3, Got: d340
Checksum failed. Expected: 27c8, Got: d340
Checksum failed. Expected: e2e5, Got: d340
Checksum failed. Expected: c205, Got: d340
Checksum failed. Expected: 7b14, Got: d340
Checksum failed. Expected: b295, Got: d340
Checksum failed. Expected: 2df2, Got: d340
Checksum failed. Expected: 3c5b, Got: d340
Checksum failed. Expected: 92b5, Got: d340
Checksum failed. Expected: 0b04, Got: d340
Checksum failed. Expected: d691, Got: d340
Checksum failed. Expected: 834c, Got: d340
Checksum failed. Expected: 6681, Got: d340
Checksum failed. Expected: a641, Got: d340
Checksum failed. Expected: 834c, Got: d340
Checksum failed. Expected: 06e1, Got: d340
Checksum failed. Expected: 5d42, Got: d340
Checksum failed. Expected: bde2, Got: d340
Checksum failed. Expected: daad, Got: d340
Checksum failed. Expected: 7e29, Got: d340
Checksum failed. Expected: 8453, Got: d340
Checksum failed. Expected: 3f70, Got: d340
Checksum failed. Expected: f56a, Got: d340
Checksum failed. Expected: 459a, Got: d340
Checksum failed. Expected: 90a7, Got: d340
Checksum failed. Expected: 25ba, Got: d340
Checksum failed. Expected: 6ba4, Got: d340
Checksum failed. Expected: 8976, Got: d340
Checksum failed. Expected: d37c, Got: d340
Checksum failed. Expected: 70c7, Got: d340
Checksum failed. Expected: 0c0b, Got: d340
Checksum failed. Expected: 550a, Got: d340
Checksum failed. Expected: eb24, Got: d340
Checksum failed. Expected: 5926, Got: d340
Checksum failed. Expected: 6a9d, Got: d340
Checksum failed. Expected: 93bc, Got: d340
Checksum failed. Expected: ed32, Got: d340
Checksum failed. Expected: 4bc4, Got: d340
Checksum failed. Expected: d9a6, Got: d340
Checksum failed. Expected: 2be4, Got: d340
Checksum failed. Expected: 46a1, Got: d340
Checksum failed. Expected: 5611, Got: d340
Checksum failed. Expected: 3738, Got: d340
Checksum failed. Expected: 9bf4, Got: d340
Checksum failed. Expected: 6db2, Got: d340
Checksum failed. Expected: 1a6d, Got: d340
Checksum failed. Expected: 3631, Got: d340
Checksum failed. Expected: f986, Got: d340
Checksum failed. Expected: 310e, Got: d340
Checksum failed. Expected: 3946, Got: d340
Checksum failed. Expected: 813e, Got: d340
Checksum failed. Expected: 5611, Got: d340
Checksum failed. Expected: f047, Got: d340
Checksum failed. Expected: 08ef, Got: d340
Checksum failed. Expected: 78ff, Got: d340
Checksum failed. Expected: b8bf, Got: d340
Checksum failed. Expected: 813e, Got: d340
Checksum failed. Expected: 97d8, Got: d340
Checksum failed. Expected: 1b74, Got: d340
Checksum failed. Expected: 5f50, Got: d340
Checksum failed. Expected: f14e, Got: d340
Checksum failed. Expected: d9a6, Got: d340
Checksum failed. Expected: 98df, Got: d340
Checksum failed. Expected: 99e6, Got: d340
Checksum failed. Expected: e708, Got: d340
Checksum failed. Expected: 3946, Got: d340
Checksum failed. Expected: 2ceb, Got: d340
Checksum failed. Expected: 3946, Got: d340
Checksum failed. Expected: f986, Got: d340
Checksum failed. Expected: bff0, Got: d340
Checksum failed. Expected: 1027, Got: d340
Checksum failed. Expected: 6996, Got: d340
Checksum failed. Expected: 6db2, Got: d340
Checksum failed. Expected: d483, Got: d340
Checksum failed. Expected: 6681, Got: d340
Checksum failed. Expected: 9bf4, Got: d340
Checksum failed. Expected: f671, Got: d340
Checksum failed. Expected: 9bf4, Got: d340
Checksum failed. Expected: 08ef, Got: d340
Checksum failed. Expected: cb44, Got: d340
Checksum failed. Expected: b18e, Got: d340
Checksum failed. Expected: 6a9d, Got: d340
Checksum failed. Expected: 1c7b, Got: d340
Checksum failed. Expected: aa5d, Got: d340
Checksum failed. Expected: 8c8b, Got: d340
Checksum failed. Expected: 22a5, Got: d340
Checksum failed. Expected: a53a, Got: d340
Checksum failed. Expected: 4285, Got: d340
Checksum failed. Expected: 185f, Got: d340
Checksum failed. Expected: 9aed, Got: d340
Checksum failed. Expected: e4f3, Got: d340
Checksum failed. Expected: 8e99, Got: d340
Checksum failed. Expected: fda2, Got: d340
Checksum failed. Expected: c0f7, Got: d340
Checksum failed. Expected: 3f70, Got: d340
Checksum failed. Expected: 02c5, Got: d340
Checksum failed. Expected: 5611, Got: d340
Checksum failed. Expected: 886f, Got: d340
Checksum failed. Expected: 8b84, Got: d340
Checksum failed. Expected: 3d62, Got: d340
Checksum failed. Expected: 615e, Got: d340
Checksum failed. Expected: ddc2, Got: d340
Checksum failed. Expected: 6ba4, Got: d340
Checksum failed. Expected: dfd0, Got: d340
Checksum failed. Expected: 4ed9, Got: d340
Checksum failed. Expected: f87f, Got: d340
Checksum failed. Expected: 91ae, Got: d340
Checksum failed. Expected: 07e8, Got: d340
Checksum failed. Expected: f778, Got: d340
Checksum failed. Expected: 6a9d, Got: d340
Checksum failed. Expected: 23ac, Got: d340
Checksum failed. Expected: 75ea, Got: d340
Checksum failed. Expected: 3738, Got: d340
Checksum failed. Expected: 52f5, Got: d340
Checksum failed. Expected: ee39, Got: d340
Checksum failed. Expected: fa8d, Got: d340
Checksum failed. Expected: 4dd2, Got: d340
Checksum failed. Expected: cd52, Got: d340
Checksum failed. Expected: d691, Got: d340
Checksum failed. Expected: 93bc, Got: d340
Checksum failed. Expected: c936, Got: d340
Checksum failed. Expected: 2097, Got: d340
Checksum failed. Expected: 73dc, Got: d340
Checksum failed. Expected: 01be, Got: d340
Checksum failed. Expected: 4493, Got: d340
Checksum failed. Expected: cc4b, Got: d340
Checksum failed. Expected: e3ec, Got: d340
Checksum failed. Expected: d067, Got: d340
Checksum failed. Expected: f14e, Got: d340
Checksum failed. Expected: ee39, Got: d340
Checksum failed. Expected: 5403, Got: d340
Checksum failed. Expected: a433, Got: d340
Checksum failed. Expected: 73dc, Got: d340
Checksum failed. Expected: 7a0d, Got: d340
Checksum failed. Expected: 4ed9, Got: d340
Checksum failed. Expected: 2ef9, Got: d340
Checksum failed. Expected: 5c3b, Got: d340
Checksum failed. Expected: 71ce, Got: d340
Checksum failed. Expected: 90a7, Got: d340
Checksum failed. Expected: 4ed9, Got: d340
Checksum failed. Expected: 3f70, Got: d340
Checksum failed. Expected: 48af, Got: d340
Checksum failed. Expected: 05da, Got: d340
Checksum failed. Expected: 0b04, Got: d340
Checksum failed. Expected: 92b5, Got: d340
Checksum failed. Expected: 0f20, Got: d340
Checksum failed. Expected: a11e, Got: d340
Checksum failed. Expected: 7a0d, Got: d340
Checksum failed. Expected: 3007, Got: d340
Checksum failed. Expected: e2e5, Got: d340
Checksum failed. Expected: 90a7, Got: d340
Checksum failed. Expected: bff0, Got: d340
Checksum failed. Expected: fea9, Got: d340
Checksum failed. Expected: 6fc0, Got: d340
Checksum failed. Expected: f14e, Got: d340
Checksum failed. Expected: dec9, Got: d340
Checksum failed. Expected: 0d12, Got: d340
Checksum failed. Expected: 1e89, Got: d340
Checksum failed. Expected: 48af, Got: d340
Checksum failed. Expected: 5a2d, Got: d340
Checksum failed. Expected: fc9b, Got: d340
Checksum failed. Expected: 02c5, Got: d340
Checksum failed. Expected: 90a7, Got: d340
Checksum failed. Expected: 5611, Got: d340
Checksum failed. Expected: 91ae, Got: d340
Checksum failed. Expected: 4ed9, Got: d340
Checksum failed. Expected: a641, Got: d340
Checksum failed. Expected: 7b14, Got: d340
Checksum failed. Expected: 5718, Got: d340
Checksum failed. Expected: 1443, Got: d340
Checksum failed. Expected: 615e, Got: d340
Checksum failed. Expected: a84f, Got: d340
Checksum failed. Expected: eb24, Got: d340
Checksum failed. Expected: 8768, Got: d340
Checksum failed. Expected: f047, Got: d340
Checksum failed. Expected: ca3d, Got: d340
Checksum failed. Expected: e601, Got: d340
Checksum failed. Expected: 99e6, Got: d340
Checksum failed. Expected: d067, Got: d340
Checksum failed. Expected: 8c8b, Got: d340
Checksum failed. Expected: 8e99, Got: d340
Checksum failed. Expected: 5c3b, Got: d340

Exiting...
