
#################################################################
Log started at 2025-06-12_14-07-37 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 7433, Got: 048f
Checksum failed. Expected: 2d04, Got: 04f1
Checksum failed. Expected: b0da, Got: 3f7f
Checksum failed. Expected: bf8a, Got: 3f7f
Checksum failed. Expected: 938e, Got: 3f7f
Checksum failed. Expected: 9de3, Got: 3f7f
Checksum failed. Expected: 886d, Got: 3f7f
Checksum failed. Expected: 97e6, Got: 3f7f
Checksum failed. Expected: 2f3f, Got: 3f7f
Checksum failed. Expected: 48d9, Got: 3f7f
Checksum failed. Expected: cbe0, Got: 3f7f
Checksum failed. Expected: a33d, Got: 3f7f
Checksum failed. Expected: 86e8, Got: 3f7f
Checksum failed. Expected: c138, Got: 3f7f
Checksum failed. Expected: c2a6, Got: 3f7f
Checksum failed. Expected: 9320, Got: 3f7f
Checksum failed. Expected: 8fde, Got: 3f7f
Checksum failed. Expected: 00b6, Got: 3f7f
Checksum failed. Expected: 192c, Got: 3f7f
Checksum failed. Expected: af56, Got: 3f7f
Checksum failed. Expected: 94c8, Got: 3f7f
Checksum failed. Expected: 5ae9, Got: 3f7f
Checksum failed. Expected: e0b9, Got: 3f7f
Checksum failed. Expected: 7266, Got: 3f7f
Checksum failed. Expected: 760e, Got: 3f7f
Checksum failed. Expected: 497d, Got: 3f7f
Checksum failed. Expected: e593, Got: 3f7f
Checksum failed. Expected: d820, Got: 3f7f
Checksum failed. Expected: 57ac, Got: 3f7f
Checksum failed. Expected: 3296, Got: 3f7f
Checksum failed. Expected: 4d1d, Got: 3f7f
Checksum failed. Expected: 4939, Got: 3f7f
Checksum failed. Expected: d79d, Got: 3f7f
Checksum failed. Expected: ff81, Got: 3f7f
Checksum failed. Expected: bbd1, Got: 3f7f
Checksum failed. Expected: 8f43, Got: 3f7f
Checksum failed. Expected: db86, Got: 3f7f
Checksum failed. Expected: 852f, Got: 3f7f
Checksum failed. Expected: c417, Got: 3f7f
Checksum failed. Expected: 88be, Got: 3f7f
Checksum failed. Expected: f8ab, Got: 3f7f
Checksum failed. Expected: 5cae, Got: 3f7f
Checksum failed. Expected: bf50, Got: 3f7f
Checksum failed. Expected: 47e1, Got: 3f7f
Checksum failed. Expected: b576, Got: 3f7f
Checksum failed. Expected: 6b89, Got: 3f7f
Checksum failed. Expected: 4c25, Got: 3f7f
Checksum failed. Expected: 7065, Got: 3f7f
Checksum failed. Expected: cd4a, Got: 3f7f
Checksum failed. Expected: a33a, Got: 3f7f
Checksum failed. Expected: 4791, Got: 3f7f
Checksum failed. Expected: e9a9, Got: 3f7f
Checksum failed. Expected: 1dd7, Got: 3f7f
Checksum failed. Expected: aafc, Got: 3f7f
Checksum failed. Expected: eac0, Got: 3f7f
Checksum failed. Expected: 6bee, Got: 3f7f
Checksum failed. Expected: 4739, Got: 3f7f
Checksum failed. Expected: a6cf, Got: 3f7f
Checksum failed. Expected: 7d6c, Got: 3f7f
Checksum failed. Expected: 18d3, Got: 3f7f
Checksum failed. Expected: b1e2, Got: 3f7f
Checksum failed. Expected: fecf, Got: 3f7f
Checksum failed. Expected: ccd5, Got: 3f7f
Checksum failed. Expected: 1ff4, Got: 3f7f
Checksum failed. Expected: 72c8, Got: 3f7f
Checksum failed. Expected: 2ccf, Got: 3f7f
Checksum failed. Expected: ce79, Got: 3f7f
Checksum failed. Expected: 92a6, Got: 3f7f
Checksum failed. Expected: 60a5, Got: 3f7f
Checksum failed. Expected: 2a17, Got: 3f7f
Checksum failed. Expected: 142f, Got: 3f7f
Checksum failed. Expected: 52c9, Got: 3f7f
Checksum failed. Expected: a02c, Got: 3f7f
Checksum failed. Expected: d35a, Got: 3f7f
Checksum failed. Expected: 41a1, Got: 3f7f
Checksum failed. Expected: 82bf, Got: 3f7f
Checksum failed. Expected: 0e3c, Got: 3f7f
Checksum failed. Expected: 5a95, Got: 3f7f
Checksum failed. Expected: 9499, Got: 3f7f
Checksum failed. Expected: 513a, Got: 3f7f
Checksum failed. Expected: 07c7, Got: 3f7f
Checksum failed. Expected: f796, Got: 3f7f
Checksum failed. Expected: 301c, Got: 3f7f
Checksum failed. Expected: c2ea, Got: 3f7f
Checksum failed. Expected: e2ca, Got: 3f7f
Checksum failed. Expected: 5154, Got: 3f7f
Checksum failed. Expected: 09c9, Got: 3f7f
Checksum failed. Expected: 562e, Got: 3f7f
Checksum failed. Expected: 7269, Got: 3f80
Checksum failed. Expected: ccb8, Got: 3f7f
Checksum failed. Expected: 10a0, Got: 3f80
Checksum failed. Expected: bde6, Got: 3f7f
Checksum failed. Expected: e47a, Got: 3f7f
Checksum failed. Expected: a450, Got: 3f7f
Checksum failed. Expected: b493, Got: 3f7f
Checksum failed. Expected: a30b, Got: 3f7f
Checksum failed. Expected: 6bd9, Got: 3f7f
Checksum failed. Expected: b641, Got: 3f7f
Checksum failed. Expected: b289, Got: 3f7f
Checksum failed. Expected: 3537, Got: 3f7f
Checksum failed. Expected: c2ec, Got: 3f7f
Checksum failed. Expected: f895, Got: 3f80
Checksum failed. Expected: 19e0, Got: 3f7e
Checksum failed. Expected: 0803, Got: 3f7f

Exiting...
