
#################################################################
Log started at 2025-06-12_14-08-48 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 1db8, Got: 0f00
Checksum failed. Expected: 25e3, Got: f10e
Checksum failed. Expected: 6a3b, Got: 5875
Checksum failed. Expected: d6d8, Got: 5075
Checksum failed. Expected: 2ee8, Got: 04f1
Checksum failed. Expected: 3f4a, Got: 8f94
Checksum failed. Expected: 1621, Got: 7565
Checksum failed. Expected: c30b, Got: 1f00
Checksum failed. Expected: b351, Got: bbb9
Checksum failed. Expected: f8a6, Got: bbe1
Checksum failed. Expected: 250f, Got: bc13
Checksum failed. Expected: 46cc, Got: bc30
Checksum failed. Expected: 9f57, Got: bc2d
Checksum failed. Expected: 7740, Got: bc11
Checksum failed. Expected: e646, Got: bc13
Checksum failed. Expected: b86a, Got: bc16
Checksum failed. Expected: c104, Got: bbd6
Checksum failed. Expected: 870f, Got: bb8e
Checksum failed. Expected: 3328, Got: bbaf
Checksum failed. Expected: 27e6, Got: bc0c
Checksum failed. Expected: 9aeb, Got: bc21
Checksum failed. Expected: 96ef, Got: bc40
Checksum failed. Expected: 96be, Got: bc3d
Checksum failed. Expected: 2f4c, Got: bc0e
Checksum failed. Expected: 4799, Got: bb96
Checksum failed. Expected: da97, Got: bb71
Checksum failed. Expected: 490f, Got: bbf2
Checksum failed. Expected: 8b54, Got: bc1e
Checksum failed. Expected: 1f4c, Got: bc2c
Checksum failed. Expected: 787a, Got: bc16
Checksum failed. Expected: 9970, Got: bc01
Checksum failed. Expected: 2a0c, Got: bbe9
Checksum failed. Expected: 8bce, Got: bc02
Checksum failed. Expected: 5ba6, Got: bc17
Checksum failed. Expected: f758, Got: bc15
Checksum failed. Expected: 5b49, Got: bbfb
Checksum failed. Expected: c150, Got: bbf0
Checksum failed. Expected: 1dd5, Got: bc13
Checksum failed. Expected: 51f8, Got: bc17
Checksum failed. Expected: 5e32, Got: bc0a
Checksum failed. Expected: e473, Got: bbff
Checksum failed. Expected: d377, Got: bbf4
Checksum failed. Expected: 9069, Got: bbe3
Checksum failed. Expected: 0ad9, Got: bbfd
Checksum failed. Expected: 0e44, Got: bc10
Checksum failed. Expected: 06e5, Got: bc1a
Checksum failed. Expected: 06ba, Got: bc1d
Checksum failed. Expected: 3fa3, Got: bc03
Checksum failed. Expected: 6662, Got: bbd4
Checksum failed. Expected: 1d65, Got: bbea
Checksum failed. Expected: 86a1, Got: bbfd
Checksum failed. Expected: 32ef, Got: bc1a
Checksum failed. Expected: 48ac, Got: bc11

Exiting...
