
#################################################################
Log started at 2025-06-12_14-11-38 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 73da, Got: 1100
Checksum failed. Expected: a1a8, Got: 0007
Checksum failed. Expected: 6b8b, Got: 0c08
Checksum failed. Expected: 5b9c, Got: 058e
Checksum failed. Expected: 7a0e, Got: 9075
Checksum failed. Expected: fe9d, Got: 2500
Checksum failed. Expected: ee11, Got: fc00
Checksum failed. Expected: b9db, Got: d300
Checksum failed. Expected: 44b3, Got: aa00
Checksum failed. Expected: 965d, Got: 8100
Checksum failed. Expected: 8ea2, Got: 5800
Checksum failed. Expected: 3fca, Got: 2f00
Checksum failed. Expected: 1b69, Got: 0600
Checksum failed. Expected: c316, Got: de00
Checksum failed. Expected: 3153, Got: b500
Checksum failed. Expected: 500c, Got: 8c00
Checksum failed. Expected: 61c7, Got: 6300
Checksum failed. Expected: 8bf0, Got: 3a00
Checksum failed. Expected: 7146, Got: 1100
Checksum failed. Expected: 458a, Got: e800
Checksum failed. Expected: b82c, Got: bf00
Checksum failed. Expected: 50ba, Got: 9600
Checksum failed. Expected: d565, Got: 6d00
Checksum failed. Expected: 4c3a, Got: 4400
Checksum failed. Expected: e7f7, Got: 1b00
Checksum failed. Expected: 42ff, Got: f200
Checksum failed. Expected: 82a5, Got: c900
Checksum failed. Expected: 9cf2, Got: a000
Checksum failed. Expected: ef8e, Got: 7700
Checksum failed. Expected: e8ea, Got: 4e00
Checksum failed. Expected: 73cc, Got: 2500
Checksum failed. Expected: 50ad, Got: fc00
Checksum failed. Expected: e989, Got: d300
Checksum failed. Expected: 05e0, Got: aa00
Checksum failed. Expected: 5899, Got: 8100
Checksum failed. Expected: 8a44, Got: 5800
Checksum failed. Expected: 9285, Got: 2f00
Checksum failed. Expected: 2c46, Got: 0600
Checksum failed. Expected: 24a3, Got: de00
Checksum failed. Expected: f7cb, Got: b500
Checksum failed. Expected: 80ba, Got: 8c00
Checksum failed. Expected: a492, Got: 6300
Checksum failed. Expected: fd7c, Got: 3a00
Checksum failed. Expected: a63f, Got: 1100
Checksum failed. Expected: 92eb, Got: e800
Checksum failed. Expected: 3aa8, Got: bf00
Checksum failed. Expected: 2fa9, Got: 9600
Checksum failed. Expected: 2820, Got: 6d00
Checksum failed. Expected: 3f55, Got: 4400
Checksum failed. Expected: 8626, Got: 1b00
Checksum failed. Expected: f887, Got: f200
Checksum failed. Expected: 9273, Got: c900
Checksum failed. Expected: 1814, Got: a000
Checksum failed. Expected: df7c, Got: 7700
Checksum failed. Expected: d8d8, Got: 4e00
Checksum failed. Expected: 3617, Got: 2500
Checksum failed. Expected: 98c3, Got: fc00
Checksum failed. Expected: 2f81, Got: d300
Checksum failed. Expected: 248f, Got: aa00
Checksum failed. Expected: 6976, Got: 8100
Checksum failed. Expected: 9a12, Got: 5800
Checksum failed. Expected: 43c2, Got: 2f00
Checksum failed. Expected: b41c, Got: 0600
Checksum failed. Expected: 19dc, Got: de00
Checksum failed. Expected: 8c64, Got: b500
Checksum failed. Expected: 9f69, Got: 8c00
Checksum failed. Expected: 9ada, Got: 6300
Checksum failed. Expected: b95e, Got: 3a00
Checksum failed. Expected: 049f, Got: 1100
Checksum failed. Expected: 4dbe, Got: e800
Checksum failed. Expected: 71bf, Got: bf00
Checksum failed. Expected: eb8b, Got: 9600
Checksum failed. Expected: 5c0a, Got: 6d00
Checksum failed. Expected: 05cd, Got: 4400
Checksum failed. Expected: 3a90, Got: 1b00
Checksum failed. Expected: 3b52, Got: f200
Checksum failed. Expected: d86b, Got: c900
Checksum failed. Expected: 2c1e, Got: a000
Checksum failed. Expected: 8c7d, Got: 7700
Checksum failed. Expected: b8d6, Got: 4e00
Checksum failed. Expected: 1d7e, Got: 2500

Exiting...
