
#################################################################
Log started at 2025-06-12_14-11-51 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 2c2b, Got: 048f
Checksum failed. Expected: f28b, Got: b875
Checksum failed. Expected: 37e8, Got: f11f
Checksum failed. Expected: 0277, Got: 04bc
Checksum failed. Expected: e31f, Got: 04bc
Checksum failed. Expected: 9eae, Got: 04bb
Checksum failed. Expected: 85e9, Got: 04bb
Checksum failed. Expected: c22f, Got: 04bb
Checksum failed. Expected: 06fb, Got: 04bb
Checksum failed. Expected: 7a8c, Got: 04bb
Checksum failed. Expected: fc71, Got: 04bb
Checksum failed. Expected: 2b85, Got: 04bc
Checksum failed. Expected: 5a77, Got: 04bc
Checksum failed. Expected: 9237, Got: 04bc
Checksum failed. Expected: d3ef, Got: 04bb
Checksum failed. Expected: 6cc3, Got: 04bb
Checksum failed. Expected: b196, Got: 04bb
Checksum failed. Expected: bb78, Got: 04bb
Checksum failed. Expected: a803, Got: 04bb
Checksum failed. Expected: c8f4, Got: 04bc
Checksum failed. Expected: b028, Got: 04bc
Checksum failed. Expected: 425e, Got: 04bc
Checksum failed. Expected: cab2, Got: 04bc
Checksum failed. Expected: 5aa6, Got: 04bc
Checksum failed. Expected: 4cbb, Got: 04bb
Checksum failed. Expected: c825, Got: 04bb
Checksum failed. Expected: 25e6, Got: 04bb
Checksum failed. Expected: 7d57, Got: 04bb
Checksum failed. Expected: 0e6a, Got: 04bc
Checksum failed. Expected: 9482, Got: 04bc
Checksum failed. Expected: fa18, Got: 04bc
Checksum failed. Expected: 4f4d, Got: 04bc
Checksum failed. Expected: cefd, Got: 04bb
Checksum failed. Expected: dd7c, Got: 04bb
Checksum failed. Expected: 6048, Got: 04bb
Checksum failed. Expected: c3a2, Got: 04bb
Checksum failed. Expected: 9ca8, Got: 04bb
Checksum failed. Expected: f3ee, Got: 04bb
Checksum failed. Expected: a8ef, Got: 04bc
Checksum failed. Expected: f482, Got: 04bc
Checksum failed. Expected: a76c, Got: 04bc
Checksum failed. Expected: dbda, Got: 04bc
Checksum failed. Expected: a352, Got: 04bb
Checksum failed. Expected: c657, Got: 04bb
Checksum failed. Expected: 1ba1, Got: 04bb
Checksum failed. Expected: 29ff, Got: 04bb
Checksum failed. Expected: e37d, Got: 04bc
Checksum failed. Expected: 9ddf, Got: 04bc
Checksum failed. Expected: 3e38, Got: 04bc
Checksum failed. Expected: a710, Got: 04bc
Checksum failed. Expected: 9c5b, Got: 04bb

Exiting...
