
#################################################################
Log started at 2025-06-12_14-11-56 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 5c78, Got: 8ea0
Checksum failed. Expected: 6a78, Got: 7565
Checksum failed. Expected: aec4, Got: 0000
Checksum failed. Expected: f07b, Got: 0000
Checksum failed. Expected: eb82, Got: 0000
Checksum failed. Expected: 7ff3, Got: 0000
Checksum failed. Expected: 18bb, Got: 0000
Checksum failed. Expected: d598, Got: 0000
Checksum failed. Expected: fe6f, Got: 0000
Checksum failed. Expected: efd0, Got: 0000
Checksum failed. Expected: 2348, Got: 0000
Checksum failed. Expected: b25e, Got: 0000
Checksum failed. Expected: ef38, Got: 0000
Checksum failed. Expected: ef66, Got: 0000
Checksum failed. Expected: 01b7, Got: 0000
Checksum failed. Expected: e0df, Got: 0000
Checksum failed. Expected: ebb7, Got: 0000
Checksum failed. Expected: a38b, Got: 0000
Checksum failed. Expected: 4e56, Got: 0000
Checksum failed. Expected: 9b4c, Got: 0000
Checksum failed. Expected: b1d8, Got: 0000
Checksum failed. Expected: fb9c, Got: 0000
Checksum failed. Expected: 4e15, Got: 0000
Checksum failed. Expected: d4b7, Got: 0000
Checksum failed. Expected: 8f7e, Got: 0000
Checksum failed. Expected: 961f, Got: 0000
Checksum failed. Expected: 9eee, Got: 0000
Checksum failed. Expected: 47a1, Got: 0000
Checksum failed. Expected: d499, Got: 0000
Checksum failed. Expected: 52d0, Got: 0000
Checksum failed. Expected: 2ca1, Got: 0000
Checksum failed. Expected: 3019, Got: 0000
Checksum failed. Expected: 6bd6, Got: 0000
Checksum failed. Expected: 08ed, Got: 0000
Checksum failed. Expected: a61e, Got: 0000
Checksum failed. Expected: 1876, Got: 0000
Checksum failed. Expected: e01c, Got: 0000
Checksum failed. Expected: e796, Got: 0000
Checksum failed. Expected: fc14, Got: 0000
Checksum failed. Expected: 44c5, Got: 0000
Checksum failed. Expected: e0bd, Got: 0000
Checksum failed. Expected: fca5, Got: 0000
Checksum failed. Expected: c479, Got: 0000
Checksum failed. Expected: 86b4, Got: 0000
Checksum failed. Expected: 93aa, Got: 0000
Checksum failed. Expected: bc66, Got: 0000
Checksum failed. Expected: 72ea, Got: 0000
Checksum failed. Expected: 1bc3, Got: 0000
Checksum failed. Expected: 7165, Got: 0000
Checksum failed. Expected: 15bc, Got: 0000
Checksum failed. Expected: 84dd, Got: 0000
Checksum failed. Expected: b97c, Got: 0000
Checksum failed. Expected: 7aaf, Got: 0000
Checksum failed. Expected: 58b7, Got: 0000
Checksum failed. Expected: 508e, Got: 0000
Checksum failed. Expected: 7d8f, Got: 0000
Checksum failed. Expected: 8ed7, Got: 0000
Checksum failed. Expected: 4554, Got: 0000
Checksum failed. Expected: 2c0b, Got: 0000
Checksum failed. Expected: d09c, Got: 0000
Checksum failed. Expected: 7964, Got: 0000
Checksum failed. Expected: a65a, Got: 0000
Checksum failed. Expected: cee4, Got: 0000
Checksum failed. Expected: 7032, Got: 0000
Checksum failed. Expected: 4393, Got: 0000
Checksum failed. Expected: ab4b, Got: 0000
Checksum failed. Expected: 1fb3, Got: 0000
Checksum failed. Expected: 2897, Got: 0000
Checksum failed. Expected: b8b2, Got: 0000
Checksum failed. Expected: c498, Got: 0000
Checksum failed. Expected: 47f4, Got: 0000
Checksum failed. Expected: 3d78, Got: 0000
Checksum failed. Expected: 4dc1, Got: 0000
Checksum failed. Expected: f033, Got: 0000
Checksum failed. Expected: 4c0a, Got: 0000
Checksum failed. Expected: ff6b, Got: 0000
Checksum failed. Expected: 095a, Got: 0000
Checksum failed. Expected: 61fd, Got: 0000
Checksum failed. Expected: b675, Got: 0000
Checksum failed. Expected: 49fc, Got: 0000
Checksum failed. Expected: 870d, Got: 0000
Checksum failed. Expected: ffc5, Got: 0000
Checksum failed. Expected: 1312, Got: 0000
Checksum failed. Expected: 28a9, Got: 0000
Checksum failed. Expected: 75ca, Got: 0000
Checksum failed. Expected: 5e92, Got: 0000
Checksum failed. Expected: 2308, Got: 0000
Checksum failed. Expected: 4db2, Got: 0000
Checksum failed. Expected: f340, Got: 0000

Exiting...
