
#################################################################
Log started at 2025-06-12_14-12-49 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: bb5b, Got: 0c08
Checksum failed. Expected: cb0c, Got: 058e
Checksum failed. Expected: 320e, Got: 7875
Checksum failed. Expected: 3c70, Got: 04f1
Checksum failed. Expected: a32f, Got: 0ed3
Checksum failed. Expected: 4b4d, Got: 0ed3
Checksum failed. Expected: 0fe5, Got: 0ed3
Checksum failed. Expected: 4423, Got: 0ed3
Checksum failed. Expected: 65e9, Got: 0ed3
Checksum failed. Expected: 31b1, Got: 0ed3
Checksum failed. Expected: 1f45, Got: 0ed3
Checksum failed. Expected: e901, Got: 0ed3
Checksum failed. Expected: 431d, Got: 0ed3
Checksum failed. Expected: 30ab, Got: 0ed3
Checksum failed. Expected: 9403, Got: 0ed3
Checksum failed. Expected: b5c9, Got: 0ed3
Checksum failed. Expected: b0ab, Got: 0ed3
Checksum failed. Expected: 0dd9, Got: 0ed3
Checksum failed. Expected: 90eb, Got: 0ed3
Checksum failed. Expected: 589b, Got: 0ed3
Checksum failed. Expected: ea07, Got: 0ed3
Checksum failed. Expected: 7755, Got: 0ed3
Checksum failed. Expected: 9403, Got: 0ed3
Checksum failed. Expected: e7f5, Got: 0ed3
Checksum failed. Expected: 93fd, Got: 0ed3
Checksum failed. Expected: ae9f, Got: 0ed3
Checksum failed. Expected: 1e3f, Got: 0ed3
Checksum failed. Expected: d277, Got: 0ed3
Checksum failed. Expected: e5e9, Got: 0ed3
Checksum failed. Expected: 181b, Got: 0ed3
Checksum failed. Expected: 0191, Got: 0ed3
Checksum failed. Expected: 5aa7, Got: 0ed3
Checksum failed. Expected: 2569, Got: 0ed3
Checksum failed. Expected: 2e9f, Got: 0ed3
Checksum failed. Expected: dbad, Got: 0ed3
Checksum failed. Expected: 66ef, Got: 0ed3
Checksum failed. Expected: 6d19, Got: 0ed3
Checksum failed. Expected: d68f, Got: 0ed3
Checksum failed. Expected: 7b6d, Got: 0ed3
Checksum failed. Expected: 3df9, Got: 0ed3
Checksum failed. Expected: 266f, Got: 0ed3
Checksum failed. Expected: d589, Got: 0ed3
Checksum failed. Expected: 839d, Got: 0ed3
Checksum failed. Expected: 2775, Got: 0ed3
Checksum failed. Expected: 5589, Got: 0ed3
Checksum failed. Expected: 5cb3, Got: 0ed3
Checksum failed. Expected: b9e1, Got: 0ed3
Checksum failed. Expected: 9715, Got: 0ed3
Checksum failed. Expected: 89c1, Got: 0ed3
Checksum failed. Expected: 5db9, Got: 0ed3
Checksum failed. Expected: a775, Got: 0ed3
Checksum failed. Expected: b4c3, Got: 0ed3
Checksum failed. Expected: a569, Got: 0ed3
Checksum failed. Expected: 1e3f, Got: 0ed3
Checksum failed. Expected: 589b, Got: 0ed3
Checksum failed. Expected: 160f, Got: 0ed3
Checksum failed. Expected: 4f65, Got: 0ed3
Checksum failed. Expected: 235d, Got: 0ed3
Checksum failed. Expected: 733d, Got: 0ed3
Checksum failed. Expected: b0ab, Got: 0ed3
Checksum failed. Expected: 8dd9, Got: 0ed3
Checksum failed. Expected: 9a27, Got: 0ed3

Exiting...
