
#################################################################
Log started at 2025-06-12_14-13-08 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 284b, Got: 0e00
Checksum failed. Expected: 8707, Got: f111
Checksum failed. Expected: 1f07, Got: 8200
Checksum failed. Expected: 0d00, Got: 650c
Checksum failed. Expected: 6341, Got: 0005
Checksum failed. Expected: ea54, Got: 1e90
Checksum failed. Expected: dc16, Got: 3540
Checksum failed. Expected: e46a, Got: d917
Checksum failed. Expected: cdf1, Got: 7cee
Checksum failed. Expected: bdc3, Got: 20c5
Checksum failed. Expected: da25, Got: c49c
Checksum failed. Expected: 6ceb, Got: 6873
Checksum failed. Expected: 6321, Got: 0c4a
Checksum failed. Expected: 8062, Got: b021
Checksum failed. Expected: 123e, Got: 53f8
Checksum failed. Expected: 3832, Got: f7cf
Checksum failed. Expected: 81ef, Got: 9ba6
Checksum failed. Expected: 8907, Got: 3f7d
Checksum failed. Expected: 2989, Got: e354
Checksum failed. Expected: 8673, Got: 872b
Checksum failed. Expected: 9e6d, Got: 2b02
Checksum failed. Expected: af1c, Got: ced9
Checksum failed. Expected: e822, Got: 72b0
Checksum failed. Expected: 89a5, Got: 1688
Checksum failed. Expected: 1d61, Got: ba5f
Checksum failed. Expected: 4310, Got: 5e36
Checksum failed. Expected: f699, Got: 020d
Checksum failed. Expected: ab41, Got: a5e4
Checksum failed. Expected: 4152, Got: 49bb
Checksum failed. Expected: e1bd, Got: ed92
Checksum failed. Expected: b751, Got: 9169
Checksum failed. Expected: a0ce, Got: 3540
Checksum failed. Expected: 5f02, Got: d917
Checksum failed. Expected: e73b, Got: 7cee
Checksum failed. Expected: 2ba5, Got: 20c5
Checksum failed. Expected: 44cf, Got: c49c
Checksum failed. Expected: 5695, Got: 6873
Checksum failed. Expected: 03bf, Got: 0c4a
Checksum failed. Expected: d6f4, Got: b021
Checksum failed. Expected: 8890, Got: 53f8
Checksum failed. Expected: 44b8, Got: f7cf
Checksum failed. Expected: fd95, Got: 9ba6
Checksum failed. Expected: 08d7, Got: 3f7d
Checksum failed. Expected: 1ecd, Got: e354
Checksum failed. Expected: 57bf, Got: 872b
Checksum failed. Expected: 5dbd, Got: 2b02
Checksum failed. Expected: 73b2, Got: ced9
Checksum failed. Expected: 3da6, Got: 72b0
Checksum failed. Expected: dbff, Got: 1688
Checksum failed. Expected: b265, Got: ba5f
Checksum failed. Expected: 44fc, Got: 5e36
Checksum failed. Expected: 8a8f, Got: 020d
Checksum failed. Expected: a5cb, Got: a5e4
Checksum failed. Expected: 18f2, Got: 49bb
Checksum failed. Expected: 2445, Got: ed92
Checksum failed. Expected: 5c35, Got: 9169
Checksum failed. Expected: 7cb4, Got: 3540
Checksum failed. Expected: b6a2, Got: d917
Checksum failed. Expected: aefb, Got: 7cee
Checksum failed. Expected: 69e7, Got: 20c5
Checksum failed. Expected: 2609, Got: c49c
Checksum failed. Expected: 2f51, Got: 6873
Checksum failed. Expected: fb2d, Got: 0c4a
Checksum failed. Expected: 921a, Got: b021
Checksum failed. Expected: bb38, Got: 53f8
Checksum failed. Expected: e564, Got: f7cf
Checksum failed. Expected: 4563, Got: 9ba6
Checksum failed. Expected: 254b, Got: 3f7d
Checksum failed. Expected: ecef, Got: e354
Checksum failed. Expected: 46af, Got: 872b
Checksum failed. Expected: 9d1b, Got: 2b02
Checksum failed. Expected: 858c, Got: ced9
Checksum failed. Expected: f26a, Got: 72b0
