
#################################################################
Log started at 2025-06-12_14-13-16 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 7433, Got: 048f
Checksum failed. Expected: 2d04, Got: 04f1
Checksum failed. Expected: a671, Got: 3f7f
Checksum failed. Expected: 0cdf, Got: 3f80
Checksum failed. Expected: d900, Got: 3f80
Checksum failed. Expected: 4822, Got: 3f7f
Checksum failed. Expected: 8988, Got: 3f7f
Checksum failed. Expected: 23b7, Got: 3f80
Checksum failed. Expected: 2041, Got: 3f7f
Checksum failed. Expected: 37d5, Got: 3f7f
Checksum failed. Expected: 60b1, Got: 3f7f
Checksum failed. Expected: 2f26, Got: 3f7f
Checksum failed. Expected: 41ae, Got: 3f7f
Checksum failed. Expected: 5da1, Got: 3f7f
Checksum failed. Expected: b6d8, Got: 3f80
Checksum failed. Expected: d2cc, Got: 3f7f
Checksum failed. Expected: 0fee, Got: 3f7f
Checksum failed. Expected: 3a81, Got: 3f7f
Checksum failed. Expected: 10a0, Got: 3f80
Checksum failed. Expected: e4b2, Got: 3f7f
Checksum failed. Expected: 612d, Got: 3f7f
Checksum failed. Expected: 6e0b, Got: 3f7f
Checksum failed. Expected: 2b93, Got: 3f80
Checksum failed. Expected: 5c5e, Got: 3f7f
Checksum failed. Expected: 967f, Got: 3f7f
Checksum failed. Expected: 01f3, Got: 3f7f
Checksum failed. Expected: fadd, Got: 3f7f
Checksum failed. Expected: f8ba, Got: 3f7f
Checksum failed. Expected: 125a, Got: 3f7f
Checksum failed. Expected: 93c6, Got: 3f7f
Checksum failed. Expected: cc5b, Got: 3f7f
Checksum failed. Expected: f38e, Got: 3f7f
Checksum failed. Expected: 50a1, Got: 3f7f
Checksum failed. Expected: f761, Got: 3f7f
Checksum failed. Expected: d74e, Got: 3f7f
Checksum failed. Expected: 6b0d, Got: 3f7f
Checksum failed. Expected: e144, Got: 3f7f
Checksum failed. Expected: 5ea7, Got: 3f7f
Checksum failed. Expected: 4ca4, Got: 3f7f
Checksum failed. Expected: 6746, Got: 3f7f
Checksum failed. Expected: 8a08, Got: 3f7f
Checksum failed. Expected: 5cf6, Got: 3f7f
Checksum failed. Expected: 7525, Got: 3f7f
Checksum failed. Expected: 4456, Got: 3f7f
Checksum failed. Expected: 6745, Got: 3f7f
Checksum failed. Expected: 89f7, Got: 3f7f
Checksum failed. Expected: 545f, Got: 3f7f
Checksum failed. Expected: cb13, Got: 3f7f
Checksum failed. Expected: 6dd3, Got: 3f7f
Checksum failed. Expected: 21b4, Got: 3f7f
Checksum failed. Expected: 8225, Got: 3f7f
Checksum failed. Expected: b56d, Got: 3f7f
Checksum failed. Expected: f87d, Got: 3f7f
Checksum failed. Expected: c426, Got: 3f7f
Checksum failed. Expected: 543b, Got: 3f7f
Checksum failed. Expected: 3ca6, Got: 3f7f
Checksum failed. Expected: c2ea, Got: 3f7f
Checksum failed. Expected: df30, Got: 3f7f
Checksum failed. Expected: b1a2, Got: 3f7f
Checksum failed. Expected: ec16, Got: 3f7f
Checksum failed. Expected: 3bed, Got: 3f7f
Checksum failed. Expected: 2357, Got: 3f7e
Checksum failed. Expected: ff24, Got: 3f80
Checksum failed. Expected: 3a83, Got: 3f80
Checksum failed. Expected: 8d9e, Got: 3f7f
Checksum failed. Expected: 7777, Got: 3f7f
Checksum failed. Expected: 6998, Got: 3f7f
Checksum failed. Expected: cb9e, Got: 3f7f
Checksum failed. Expected: 2791, Got: 3f7f
Checksum failed. Expected: 8f7d, Got: 3f7f
Checksum failed. Expected: 3966, Got: 3f7f
Checksum failed. Expected: 23f9, Got: 3f7f
Checksum failed. Expected: 2af6, Got: 3f80
Checksum failed. Expected: 94eb, Got: 3f7e
Checksum failed. Expected: c648, Got: 3f7f

Exiting...
