
#################################################################
Log started at 2025-06-12_14-13-52 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 6a3b, Got: 5875
Checksum failed. Expected: d6d8, Got: 5075
Checksum failed. Expected: 2ee8, Got: 04f1
Checksum failed. Expected: 3f4a, Got: 8f94
Checksum failed. Expected: 1621, Got: 7565
Checksum failed. Expected: c30b, Got: 1f00
Checksum failed. Expected: f63b, Got: 3ada
Checksum failed. Expected: 8b04, Got: 3aac
Checksum failed. Expected: a35d, Got: 3a1e
Checksum failed. Expected: 2b55, Got: 3a77
Checksum failed. Expected: 5877, Got: 3ac6
Checksum failed. Expected: c149, Got: 3adc
Checksum failed. Expected: 67de, Got: 3a95
Checksum failed. Expected: 3a26, Got: 3a88
Checksum failed. Expected: 3af3, Got: 3aa2
Checksum failed. Expected: f0c1, Got: 3ab6
Checksum failed. Expected: c544, Got: 3a84
Checksum failed. Expected: a706, Got: 39e1
Checksum failed. Expected: eaf7, Got: 3a8c
Checksum failed. Expected: db76, Got: 3aaa
Checksum failed. Expected: 1beb, Got: 3a82
Checksum failed. Expected: 46a1, Got: 3a6c
Checksum failed. Expected: 5089, Got: 3abf
Checksum failed. Expected: 64ff, Got: 3ad0
Checksum failed. Expected: 51d0, Got: 3a9e
Checksum failed. Expected: fe05, Got: 3a22
Checksum failed. Expected: 99f1, Got: 390b
Checksum failed. Expected: 470f, Got: 3a90
Checksum failed. Expected: 3a69, Got: 3ac6
Checksum failed. Expected: 33b6, Got: 3a9d
Checksum failed. Expected: 8e64, Got: 3ac8
Checksum failed. Expected: bc81, Got: 3a58
Checksum failed. Expected: ae7a, Got: 3a90
Checksum failed. Expected: fbff, Got: 3a62
Checksum failed. Expected: c9db, Got: 3ab4
Checksum failed. Expected: ba22, Got: 3a91
Checksum failed. Expected: f2a4, Got: 3aaf
Checksum failed. Expected: d51f, Got: 3aa5
Checksum failed. Expected: beac, Got: 3a84
Checksum failed. Expected: d20d, Got: 3a94
Checksum failed. Expected: dfc3, Got: 3a7c
Checksum failed. Expected: 7b44, Got: 3a79
Checksum failed. Expected: dceb, Got: 3a71
Checksum failed. Expected: 31b3, Got: 3a10
Checksum failed. Expected: 3222, Got: 3a70
Checksum failed. Expected: b46d, Got: 3ab2
Checksum failed. Expected: 55b9, Got: 3a62
Checksum failed. Expected: b241, Got: 3a64
Checksum failed. Expected: 1dac, Got: 3a94
Checksum failed. Expected: 9b9e, Got: 3a74
Checksum failed. Expected: 601d, Got: 3a54
Checksum failed. Expected: ef0d, Got: 3ac5
Checksum failed. Expected: c6cd, Got: 3a93
Checksum failed. Expected: 1a66, Got: 3ab1
Checksum failed. Expected: 5d17, Got: 3948
Checksum failed. Expected: 4157, Got: 39f5
Checksum failed. Expected: 41ea, Got: 3ac5
Checksum failed. Expected: c7cf, Got: 3ad4
Checksum failed. Expected: 5b31, Got: 3b07
Checksum failed. Expected: 4880, Got: 3a47
Checksum failed. Expected: 7b45, Got: 3a1c
Checksum failed. Expected: 00bd, Got: 3a8f
Checksum failed. Expected: 000f, Got: 3a7d
Checksum failed. Expected: 16d2, Got: 3a84
Checksum failed. Expected: 1c47, Got: 3a8f
Checksum failed. Expected: 7914, Got: 3a54
Checksum failed. Expected: dd46, Got: 39a6
Checksum failed. Expected: acc6, Got: 3a92
Checksum failed. Expected: c4c8, Got: 3ab1
Checksum failed. Expected: bf33, Got: 3af4
Checksum failed. Expected: 36cb, Got: 3a87
Checksum failed. Expected: e5d0, Got: 3a38
Checksum failed. Expected: b303, Got: 3a68
Checksum failed. Expected: 97da, Got: 3a93
Checksum failed. Expected: 5e49, Got: 3af2
Checksum failed. Expected: 4881, Got: 3b05
Checksum failed. Expected: ffa4, Got: 3b0e
Checksum failed. Expected: a37a, Got: 3ad3
Checksum failed. Expected: 06cc, Got: 3a02
Checksum failed. Expected: a8ec, Got: 3881
Checksum failed. Expected: 6078, Got: 39b4
Checksum failed. Expected: 1173, Got: 3697
Checksum failed. Expected: 47d7, Got: 3b06

Exiting...
