
#################################################################
Log started at 2025-06-12_14-14-07 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 0703, Got: 3b44
Checksum failed. Expected: 8418, Got: 3b3e
Checksum failed. Expected: 6196, Got: 3b5f
Checksum failed. Expected: a7cd, Got: 3b3a
Checksum failed. Expected: 005b, Got: 3afe
Checksum failed. Expected: 7022, Got: 3ae2
Checksum failed. Expected: 9af9, Got: 3b04
Checksum failed. Expected: 9d67, Got: 3b32
Checksum failed. Expected: 0c04, Got: 3b36
Checksum failed. Expected: d7d0, Got: 3b45
Checksum failed. Expected: 3e08, Got: 3b26
Checksum failed. Expected: a8cd, Got: 3b2e
Checksum failed. Expected: 539d, Got: 3b45
Checksum failed. Expected: 3d87, Got: 3b36
Checksum failed. Expected: c9b2, Got: 3b38
Checksum failed. Expected: a2d3, Got: 3afc
Checksum failed. Expected: 3401, Got: 3ad9
Checksum failed. Expected: bd12, Got: 3b32
Checksum failed. Expected: f48e, Got: 3b68
Checksum failed. Expected: 787c, Got: 3b61
Checksum failed. Expected: b899, Got: 3b29
Checksum failed. Expected: c0af, Got: 3b35
Checksum failed. Expected: 2375, Got: 3b02
Checksum failed. Expected: 490d, Got: 3b1d
Checksum failed. Expected: f3b7, Got: 3b6c
Checksum failed. Expected: 32e4, Got: 3b47
Checksum failed. Expected: 18cc, Got: 3b1f
Checksum failed. Expected: 5ad0, Got: 3b11
Checksum failed. Expected: c72a, Got: 3b2d
Checksum failed. Expected: 1bc9, Got: 3b33
Checksum failed. Expected: d1e5, Got: 3b49
Checksum failed. Expected: c2f4, Got: 3b72
Checksum failed. Expected: 9e76, Got: 3b44
Checksum failed. Expected: b04f, Got: 3b19
Checksum failed. Expected: 8078, Got: 3b0a
Checksum failed. Expected: 344c, Got: 3b04
Checksum failed. Expected: 1279, Got: 3b3c
Checksum failed. Expected: e6d9, Got: 3b59
Checksum failed. Expected: 7eb2, Got: 3b65
Checksum failed. Expected: 9569, Got: 3b22
Checksum failed. Expected: 1a92, Got: 3b36
Checksum failed. Expected: 8af6, Got: 3b30
Checksum failed. Expected: e9e4, Got: 3b4e
Checksum failed. Expected: d19a, Got: 3b47
Checksum failed. Expected: 40f0, Got: 3b40
Checksum failed. Expected: 4e52, Got: 3b2a
Checksum failed. Expected: b521, Got: 3b16
Checksum failed. Expected: 51ee, Got: 3b1b
Checksum failed. Expected: fcdd, Got: 3b34
Checksum failed. Expected: 7578, Got: 3b5e
Checksum failed. Expected: b9eb, Got: 3b24
Checksum failed. Expected: a86b, Got: 3b18
Checksum failed. Expected: b3ff, Got: 3b47
Checksum failed. Expected: 6ae5, Got: 3b44
Checksum failed. Expected: b790, Got: 3b6b
Checksum failed. Expected: a5b4, Got: 3b4d
Checksum failed. Expected: fb8f, Got: 3b4c
Checksum failed. Expected: 8b5d, Got: 3b9e
Checksum failed. Expected: 19dd, Got: 3ab5
Checksum failed. Expected: 474d, Got: 3b3d
Checksum failed. Expected: 80f8, Got: 3b9c
Checksum failed. Expected: 2513, Got: 3b6e
Checksum failed. Expected: a4a6, Got: 3b1f
Checksum failed. Expected: ded3, Got: 3b26
Checksum failed. Expected: 68be, Got: 3b03
Checksum failed. Expected: c89f, Got: 3b0b
Checksum failed. Expected: 20c7, Got: 3b29
Checksum failed. Expected: 1b3c, Got: 3b80
Checksum failed. Expected: 1f56, Got: 3b7f
Checksum failed. Expected: a833, Got: 3b35
Checksum failed. Expected: b668, Got: 3ae8
Checksum failed. Expected: d706, Got: 3aa2
Checksum failed. Expected: 5484, Got: 3b09
Checksum failed. Expected: 3d0a, Got: 3b6e
Checksum failed. Expected: 90fd, Got: 3b5a
Checksum failed. Expected: fad7, Got: 3b90

Exiting...
