
#################################################################
Log started at 2025-06-12_14-14-12 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: b28e, Got: 0112
Checksum failed. Expected: 152b, Got: 0c08
Checksum failed. Expected: fcb4, Got: 801c
Checksum failed. Expected: 1020, Got: 801c
Checksum failed. Expected: d430, Got: 801c
Checksum failed. Expected: 9020, Got: 801c
Checksum failed. Expected: e880, Got: 801c
Checksum failed. Expected: ea88, Got: 801c
Checksum failed. Expected: ef9c, Got: 801c
Checksum failed. Expected: f8c0, Got: 801c
Checksum failed. Expected: 1a48, Got: 801c
Checksum failed. Expected: 36b8, Got: 801c
Checksum failed. Expected: 6268, Got: 801c
Checksum failed. Expected: 6b8c, Got: 801c
Checksum failed. Expected: a060, Got: 801c
Checksum failed. Expected: ad94, Got: 801c
Checksum failed. Expected: c4f0, Got: 801c
Checksum failed. Expected: 9534, Got: 801c
Checksum failed. Expected: 9d54, Got: 801c
Checksum failed. Expected: a678, Got: 801c
Checksum failed. Expected: 3bcc, Got: 801c
Checksum failed. Expected: 7fdc, Got: 801c
Checksum failed. Expected: 35b4, Got: 801c
Checksum failed. Expected: 43ec, Got: 801c
Checksum failed. Expected: 85f4, Got: 801c
Checksum failed. Expected: 9020, Got: 801c
Checksum failed. Expected: 9f5c, Got: 801c
Checksum failed. Expected: c1e4, Got: 801c
Checksum failed. Expected: 72a8, Got: 801c
Checksum failed. Expected: 9e58, Got: 801c
Checksum failed. Expected: 1c50, Got: 801c
Checksum failed. Expected: 3ac8, Got: 801c
Checksum failed. Expected: 44f0, Got: 801c
Checksum failed. Expected: d73c, Got: 801c
Checksum failed. Expected: a268, Got: 801c
Checksum failed. Expected: 932c, Got: 801c
Checksum failed. Expected: cb0c, Got: 801c
Checksum failed. Expected: 00e0, Got: 801c
Checksum failed. Expected: 01e4, Got: 801c
Checksum failed. Expected: 1c50, Got: 801c
Checksum failed. Expected: cf1c, Got: 801c
Checksum failed. Expected: 4e18, Got: 801c
Checksum failed. Expected: 8f1c, Got: 801c
Checksum failed. Expected: 01e4, Got: 801c
Checksum failed. Expected: 36b8, Got: 801c
Checksum failed. Expected: aa88, Got: 801c
Checksum failed. Expected: 5840, Got: 801c
Checksum failed. Expected: dd54, Got: 801c
