
#################################################################
Log started at 2025-06-12_14-15-53 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 9fb8, Got: 6580
Checksum failed. Expected: dfd8, Got: 6580
Checksum failed. Expected: 79a6, Got: 6580
Checksum failed. Expected: a427, Got: 6580
Checksum failed. Expected: 8bdc, Got: 6580
Checksum failed. Expected: 23a4, Got: 6580
Checksum failed. Expected: 3cef, Got: 6580
Checksum failed. Expected: b354, Got: 6580
Checksum failed. Expected: 33d4, Got: 6580
Checksum failed. Expected: 5c4f, Got: 6580
Checksum failed. Expected: 41fe, Got: 6580
Checksum failed. Expected: 32d1, Got: 6580
Checksum failed. Expected: 6a79, Got: 6580
Checksum failed. Expected: 9f18, Got: 6580
Checksum failed. Expected: fb2c, Got: 6580
Checksum failed. Expected: 0a59, Got: 6580
Checksum failed. Expected: bc6f, Got: 6580
Checksum failed. Expected: f314, Got: 6580
Checksum failed. Expected: a833, Got: 6580
Checksum failed. Expected: dccf, Got: 6580
Checksum failed. Expected: e7f0, Got: 6580
Checksum failed. Expected: b457, Got: 6580
Checksum failed. Expected: 157a, Got: 6580
Checksum failed. Expected: 3ae9, Got: 6580
Checksum failed. Expected: 6c7f, Got: 6580
Checksum failed. Expected: 83c4, Got: 6580
Checksum failed. Expected: d0ab, Got: 6580
Checksum failed. Expected: 5c4f, Got: 6580
Checksum failed. Expected: 769d, Got: 6580
Checksum failed. Expected: 4d22, Got: 6580
Checksum failed. Expected: c58a, Got: 6580
Checksum failed. Expected: 2ab9, Got: 6580
Checksum failed. Expected: ba69, Got: 6580
Checksum failed. Expected: 82c1, Got: 6580
Checksum failed. Expected: 1a89, Got: 6580
Checksum failed. Expected: b457, Got: 6580
Checksum failed. Expected: 34d7, Got: 6580
Checksum failed. Expected: 25aa, Got: 6580
Checksum failed. Expected: b457, Got: 6580
Checksum failed. Expected: 1e95, Got: 6580
Checksum failed. Expected: 38e3, Got: 6580
Checksum failed. Expected: 9e15, Got: 6580
Checksum failed. Expected: d2b1, Got: 6580
Checksum failed. Expected: 605b, Got: 6580
Checksum failed. Expected: a52a, Got: 6580
Checksum failed. Expected: 7db2, Got: 6580
Checksum failed. Expected: 85ca, Got: 6580
Checksum failed. Expected: 7caf, Got: 6580
Checksum failed. Expected: a221, Got: 6580
Checksum failed. Expected: 8cdf, Got: 6580
Checksum failed. Expected: f823, Got: 6580
Checksum failed. Expected: b966, Got: 6580
Checksum failed. Expected: 2fc8, Got: 6580
Checksum failed. Expected: 759a, Got: 6580
Checksum failed. Expected: 5e55, Got: 6580
Checksum failed. Expected: 84c7, Got: 6580
Checksum failed. Expected: 33d4, Got: 6580
Checksum failed. Expected: a01b, Got: 6580
Checksum failed. Expected: d5ba, Got: 6580
Checksum failed. Expected: 5843, Got: 6580
Checksum failed. Expected: fb2c, Got: 6580
Checksum failed. Expected: 1477, Got: 6580
Checksum failed. Expected: ad42, Got: 6580
Checksum failed. Expected: b966, Got: 6580
Checksum failed. Expected: c893, Got: 6580
Checksum failed. Expected: 0344, Got: 6580
Checksum failed. Expected: 4e25, Got: 6580
Checksum failed. Expected: 0241, Got: 6580
Checksum failed. Expected: b863, Got: 6580
Checksum failed. Expected: 29b6, Got: 6580
Checksum failed. Expected: ad42, Got: 6580
Checksum failed. Expected: e7f0, Got: 6580
Checksum failed. Expected: 1c8f, Got: 6580
Checksum failed. Expected: 064d, Got: 6580
Checksum failed. Expected: e1de, Got: 6580
Checksum failed. Expected: 7aa9, Got: 6580
Checksum failed. Expected: c58a, Got: 6580
Checksum failed. Expected: 769d, Got: 6580
Checksum failed. Expected: 78a3, Got: 6580
Checksum failed. Expected: bf78, Got: 6580
Checksum failed. Expected: 4916, Got: 6580
Checksum failed. Expected: 35da, Got: 6580
Checksum failed. Expected: e9f6, Got: 6580
Checksum failed. Expected: ba69, Got: 6580
Checksum failed. Expected: c17e, Got: 6580
Checksum failed. Expected: 3bec, Got: 6580
Checksum failed. Expected: ab3c, Got: 6580
Checksum failed. Expected: 759a, Got: 6580
Checksum failed. Expected: 0853, Got: 6580
Checksum failed. Expected: 3df2, Got: 6580
Checksum failed. Expected: e2e1, Got: 6580
Checksum failed. Expected: a52a, Got: 6580
Checksum failed. Expected: 512e, Got: 6580
Checksum failed. Expected: 38e3, Got: 6580
Checksum failed. Expected: 0750, Got: 6580
Checksum failed. Expected: fc2f, Got: 6580
Checksum failed. Expected: a11e, Got: 6580
Checksum failed. Expected: 9906, Got: 6580
Checksum failed. Expected: cfa8, Got: 6580
Checksum failed. Expected: d5ba, Got: 6580
Checksum failed. Expected: e8f3, Got: 6580
Checksum failed. Expected: 5231, Got: 6580
Checksum failed. Expected: ff38, Got: 6580
Checksum failed. Expected: 4813, Got: 6580
Checksum failed. Expected: 96fd, Got: 6580
Checksum failed. Expected: 37e0, Got: 6580
Checksum failed. Expected: 85ca, Got: 6580
Checksum failed. Expected: 4813, Got: 6580
Checksum failed. Expected: 25aa, Got: 6580
Checksum failed. Expected: 1a89, Got: 6580
Checksum failed. Expected: 4c1f, Got: 6580
Checksum failed. Expected: 25aa, Got: 6580
Checksum failed. Expected: c17e, Got: 6580
Checksum failed. Expected: f314, Got: 6580
Checksum failed. Expected: 81be, Got: 6580
Checksum failed. Expected: 0e65, Got: 6580
Checksum failed. Expected: 4e25, Got: 6580
Checksum failed. Expected: 6467, Got: 6580
Checksum failed. Expected: 5f58, Got: 6580
Checksum failed. Expected: bb6c, Got: 6580
Checksum failed. Expected: 4916, Got: 6580
Checksum failed. Expected: d3b4, Got: 6580
Checksum failed. Expected: a52a, Got: 6580
Checksum failed. Expected: ba69, Got: 6580
Checksum failed. Expected: d8c3, Got: 6580
Checksum failed. Expected: 7bac, Got: 6580
Checksum failed. Expected: 759a, Got: 6580
Checksum failed. Expected: 81be, Got: 6580
Checksum failed. Expected: 7db2, Got: 6580
Checksum failed. Expected: d5ba, Got: 6580
Checksum failed. Expected: 9700, Got: 6580
Checksum failed. Expected: 1f98, Got: 6580
Checksum failed. Expected: 656a, Got: 6580
Checksum failed. Expected: 5c4f, Got: 6580
Checksum failed. Expected: 8ad9, Got: 6580
Checksum failed. Expected: 6b7c, Got: 6580
Checksum failed. Expected: 29b6, Got: 6580
Checksum failed. Expected: b65d, Got: 6580
Checksum failed. Expected: 4d22, Got: 6580
Checksum failed. Expected: 86cd, Got: 6580
Checksum failed. Expected: b457, Got: 6580
Checksum failed. Expected: f61d, Got: 6580
Checksum failed. Expected: ef08, Got: 6580
Checksum failed. Expected: d2b1, Got: 6580
Checksum failed. Expected: 2cbf, Got: 6580
Checksum failed. Expected: 769d, Got: 6580

Exiting...
