
#################################################################
Log started at 2025-06-12_14-15-55 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 98e3, Got: 0004
Checksum failed. Expected: a145, Got: 25a1
Checksum failed. Expected: c27c, Got: da74
Acceleration: X=0.004265, Y=0.032022, Z=9.829047 m/s^2 Time of Week: 1514.302000, Week Number: 0
Acceleration: X=0.009518, Y=0.028344, Z=9.812437 m/s^2 Time of Week: 1514.312000, Week Number: 0
Acceleration: X=0.014072, Y=0.030354, Z=9.794172 m/s^2 Time of Week: 1514.322000, Week Number: 0
Acceleration: X=0.018024, Y=0.022208, Z=9.798968 m/s^2 Time of Week: 1514.332000, Week Number: 0
Acceleration: X=0.021220, Y=0.021355, Z=9.802235 m/s^2 Time of Week: 1514.342000, Week Number: 0
Acceleration: X=0.020006, Y=0.026853, Z=9.809158 m/s^2 Time of Week: 1514.352000, Week Number: 0
Acceleration: X=0.013775, Y=0.026713, Z=9.802966 m/s^2 Time of Week: 1514.362000, Week Number: 0
Acceleration: X=0.012598, Y=0.026260, Z=9.798288 m/s^2 Time of Week: 1514.372000, Week Number: 0
Acceleration: X=0.016277, Y=0.026396, Z=9.801833 m/s^2 Time of Week: 1514.382000, Week Number: 0
Acceleration: X=0.016287, Y=0.032459, Z=9.807263 m/s^2 Time of Week: 1514.392000, Week Number: 0
Acceleration: X=0.011432, Y=0.028407, Z=9.809197 m/s^2 Time of Week: 1514.402000, Week Number: 0
Acceleration: X=0.017905, Y=0.027671, Z=9.800603 m/s^2 Time of Week: 1514.412000, Week Number: 0
Acceleration: X=0.016026, Y=0.022039, Z=9.800591 m/s^2 Time of Week: 1514.422000, Week Number: 0
Acceleration: X=0.017194, Y=0.022515, Z=9.802942 m/s^2 Time of Week: 1514.432000, Week Number: 0
Acceleration: X=0.016099, Y=0.019042, Z=9.800138 m/s^2 Time of Week: 1514.442000, Week Number: 0
Acceleration: X=0.019962, Y=0.021204, Z=9.799491 m/s^2 Time of Week: 1514.452000, Week Number: 0
Acceleration: X=0.025887, Y=0.025801, Z=9.791437 m/s^2 Time of Week: 1514.462000, Week Number: 0
Acceleration: X=0.024348, Y=0.026313, Z=9.801206 m/s^2 Time of Week: 1514.472000, Week Number: 0
Acceleration: X=0.019538, Y=0.024594, Z=9.803284 m/s^2 Time of Week: 1514.482000, Week Number: 0
Acceleration: X=0.012283, Y=0.027386, Z=9.802699 m/s^2 Time of Week: 1514.492000, Week Number: 0
Acceleration: X=0.014524, Y=0.022745, Z=9.802032 m/s^2 Time of Week: 1514.502000, Week Number: 0
Acceleration: X=0.015458, Y=0.026760, Z=9.807664 m/s^2 Time of Week: 1514.512000, Week Number: 0
Acceleration: X=0.013245, Y=0.028708, Z=9.810266 m/s^2 Time of Week: 1514.522000, Week Number: 0
Acceleration: X=0.010115, Y=0.028832, Z=9.803973 m/s^2 Time of Week: 1514.532000, Week Number: 0
Acceleration: X=0.013265, Y=0.028739, Z=9.816069 m/s^2 Time of Week: 1514.542000, Week Number: 0
Acceleration: X=0.011801, Y=0.029475, Z=9.808414 m/s^2 Time of Week: 1514.552000, Week Number: 0
Acceleration: X=0.018350, Y=0.023063, Z=9.801802 m/s^2 Time of Week: 1514.562000, Week Number: 0
Acceleration: X=0.020629, Y=0.026571, Z=9.792062 m/s^2 Time of Week: 1514.572000, Week Number: 0
Acceleration: X=0.020523, Y=0.023721, Z=9.798001 m/s^2 Time of Week: 1514.582000, Week Number: 0
Acceleration: X=0.017871, Y=0.027735, Z=9.801289 m/s^2 Time of Week: 1514.592000, Week Number: 0
Acceleration: X=0.015808, Y=0.026124, Z=9.803024 m/s^2 Time of Week: 1514.602000, Week Number: 0
Acceleration: X=0.013896, Y=0.029896, Z=9.801758 m/s^2 Time of Week: 1514.612000, Week Number: 0
Acceleration: X=0.013489, Y=0.028983, Z=9.805639 m/s^2 Time of Week: 1514.622000, Week Number: 0
Acceleration: X=0.012925, Y=0.030666, Z=9.804514 m/s^2 Time of Week: 1514.632000, Week Number: 0
Acceleration: X=0.013098, Y=0.027642, Z=9.803550 m/s^2 Time of Week: 1514.642000, Week Number: 0
Acceleration: X=0.016959, Y=0.022036, Z=9.799674 m/s^2 Time of Week: 1514.652000, Week Number: 0
Acceleration: X=0.013895, Y=0.021848, Z=9.796736 m/s^2 Time of Week: 1514.662000, Week Number: 0
Acceleration: X=0.017458, Y=0.024156, Z=9.806035 m/s^2 Time of Week: 1514.672000, Week Number: 0
Acceleration: X=0.015415, Y=0.035087, Z=9.812920 m/s^2 Time of Week: 1514.682000, Week Number: 0
Acceleration: X=0.018700, Y=0.033406, Z=9.802059 m/s^2 Time of Week: 1514.692000, Week Number: 0
Acceleration: X=0.021491, Y=0.025964, Z=9.803227 m/s^2 Time of Week: 1514.702000, Week Number: 0
Acceleration: X=0.012799, Y=0.021230, Z=9.803172 m/s^2 Time of Week: 1514.712000, Week Number: 0
Acceleration: X=0.009210, Y=0.025130, Z=9.793983 m/s^2 Time of Week: 1514.722000, Week Number: 0
Acceleration: X=0.020773, Y=0.025312, Z=9.793505 m/s^2 Time of Week: 1514.732000, Week Number: 0
Acceleration: X=0.022684, Y=0.022292, Z=9.807776 m/s^2 Time of Week: 1514.742000, Week Number: 0
Acceleration: X=0.018593, Y=0.023265, Z=9.822379 m/s^2 Time of Week: 1514.752000, Week Number: 0
Acceleration: X=0.007589, Y=0.043430, Z=9.744960 m/s^2 Time of Week: 1514.762000, Week Number: 0
Acceleration: X=0.006398, Y=0.032288, Z=9.820057 m/s^2 Time of Week: 1514.772000, Week Number: 0
Acceleration: X=0.003157, Y=0.026629, Z=9.865354 m/s^2 Time of Week: 1514.782000, Week Number: 0
Acceleration: X=0.001143, Y=0.032529, Z=9.793224 m/s^2 Time of Week: 1514.792000, Week Number: 0
Acceleration: X=0.015650, Y=0.033281, Z=9.791928 m/s^2 Time of Week: 1514.802000, Week Number: 0
Acceleration: X=0.029864, Y=0.023951, Z=9.799322 m/s^2 Time of Week: 1514.812000, Week Number: 0
Acceleration: X=0.028600, Y=0.018447, Z=9.803582 m/s^2 Time of Week: 1514.822000, Week Number: 0
Acceleration: X=0.027299, Y=0.017246, Z=9.792164 m/s^2 Time of Week: 1514.832000, Week Number: 0
Acceleration: X=0.011320, Y=0.013320, Z=9.777925 m/s^2 Time of Week: 1514.842000, Week Number: 0
Acceleration: X=0.018198, Y=0.017773, Z=9.806960 m/s^2 Time of Week: 1514.852000, Week Number: 0
Acceleration: X=0.013612, Y=0.027144, Z=9.819424 m/s^2 Time of Week: 1514.862000, Week Number: 0
Acceleration: X=0.008338, Y=0.032182, Z=9.810460 m/s^2 Time of Week: 1514.872000, Week Number: 0
Acceleration: X=0.004981, Y=0.036487, Z=9.802426 m/s^2 Time of Week: 1514.882000, Week Number: 0
Acceleration: X=0.013408, Y=0.029199, Z=9.811507 m/s^2 Time of Week: 1514.892000, Week Number: 0
Acceleration: X=0.013432, Y=0.017742, Z=9.807460 m/s^2 Time of Week: 1514.902000, Week Number: 0
Acceleration: X=0.024109, Y=0.025639, Z=9.789825 m/s^2 Time of Week: 1514.912000, Week Number: 0
Acceleration: X=0.023335, Y=0.030455, Z=9.801796 m/s^2 Time of Week: 1514.922000, Week Number: 0
Acceleration: X=0.016394, Y=0.033224, Z=9.797973 m/s^2 Time of Week: 1514.932000, Week Number: 0
Acceleration: X=0.010268, Y=0.025872, Z=9.840915 m/s^2 Time of Week: 1514.942000, Week Number: 0
Acceleration: X=0.004893, Y=0.026257, Z=9.801713 m/s^2 Time of Week: 1514.952000, Week Number: 0
Acceleration: X=0.009238, Y=0.024181, Z=9.787690 m/s^2 Time of Week: 1514.962000, Week Number: 0
Acceleration: X=0.017653, Y=0.019900, Z=9.809895 m/s^2 Time of Week: 1514.972000, Week Number: 0
Acceleration: X=0.023694, Y=0.029041, Z=9.819059 m/s^2 Time of Week: 1514.982000, Week Number: 0
Acceleration: X=0.014158, Y=0.033052, Z=9.795426 m/s^2 Time of Week: 1514.992000, Week Number: 0
Acceleration: X=0.007733, Y=0.027461, Z=9.789988 m/s^2 Time of Week: 1515.002000, Week Number: 0
Acceleration: X=0.014583, Y=0.022202, Z=9.798968 m/s^2 Time of Week: 1515.012000, Week Number: 0
Acceleration: X=0.012596, Y=0.022571, Z=9.823614 m/s^2 Time of Week: 1515.022000, Week Number: 0
Acceleration: X=0.012219, Y=0.031086, Z=9.798348 m/s^2 Time of Week: 1515.032000, Week Number: 0
Acceleration: X=0.012721, Y=0.032618, Z=9.794267 m/s^2 Time of Week: 1515.042000, Week Number: 0
Acceleration: X=0.015412, Y=0.026280, Z=9.813429 m/s^2 Time of Week: 1515.052000, Week Number: 0
Acceleration: X=0.013211, Y=0.024189, Z=9.802132 m/s^2 Time of Week: 1515.062000, Week Number: 0
Acceleration: X=0.006639, Y=0.024567, Z=9.808249 m/s^2 Time of Week: 1515.072000, Week Number: 0
Acceleration: X=0.014559, Y=0.029536, Z=9.807106 m/s^2 Time of Week: 1515.082000, Week Number: 0
Acceleration: X=0.014787, Y=0.029935, Z=9.809327 m/s^2 Time of Week: 1515.092000, Week Number: 0
Acceleration: X=0.017272, Y=0.026218, Z=9.800586 m/s^2 Time of Week: 1515.102000, Week Number: 0
Acceleration: X=0.019070, Y=0.023071, Z=9.792132 m/s^2 Time of Week: 1515.112000, Week Number: 0
Acceleration: X=0.014539, Y=0.021227, Z=9.801698 m/s^2 Time of Week: 1515.122000, Week Number: 0
Acceleration: X=0.012980, Y=0.023018, Z=9.801284 m/s^2 Time of Week: 1515.132000, Week Number: 0
Acceleration: X=0.012329, Y=0.024757, Z=9.802513 m/s^2 Time of Week: 1515.142000, Week Number: 0
Acceleration: X=0.009796, Y=0.026739, Z=9.802550 m/s^2 Time of Week: 1515.152000, Week Number: 0
Acceleration: X=0.011299, Y=0.028118, Z=9.809681 m/s^2 Time of Week: 1515.162000, Week Number: 0
Acceleration: X=0.012129, Y=0.032008, Z=9.807783 m/s^2 Time of Week: 1515.172000, Week Number: 0
