
#################################################################
Log started at 2025-06-12_14-16-15 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: e94c, Got: 7565
Checksum failed. Expected: d1ee, Got: 0e00
Checksum failed. Expected: b28e, Got: 0112
Checksum failed. Expected: 152b, Got: 0c08
Checksum failed. Expected: fcb4, Got: 801c
Checksum failed. Expected: ee98, Got: 801c
Checksum failed. Expected: 677c, Got: 801c
Checksum failed. Expected: b5b4, Got: 801c
Checksum failed. Expected: 532c, Got: 801c
Checksum failed. Expected: 2984, Got: 801c
Checksum failed. Expected: 4b0c, Got: 801c
Checksum failed. Expected: 77bc, Got: 801c
Checksum failed. Expected: 5c50, Got: 801c
Checksum failed. Expected: 6268, Got: 801c
Checksum failed. Expected: fcd0, Got: 801c
Checksum failed. Expected: d534, Got: 801c
Checksum failed. Expected: 4f1c, Got: 801c
Checksum failed. Expected: 2470, Got: 801c
Checksum failed. Expected: 77bc, Got: 801c
Checksum failed. Expected: 4a08, Got: 801c
Checksum failed. Expected: 4800, Got: 801c
Checksum failed. Expected: ac90, Got: 801c
Checksum failed. Expected: 31a4, Got: 801c
Checksum failed. Expected: 7bcc, Got: 801c
Checksum failed. Expected: dd54, Got: 801c
Checksum failed. Expected: ed94, Got: 801c
Checksum failed. Expected: a060, Got: 801c
Checksum failed. Expected: 75b4, Got: 801c
Checksum failed. Expected: 33ac, Got: 801c
Checksum failed. Expected: da48, Got: 801c
Checksum failed. Expected: 4800, Got: 801c
Checksum failed. Expected: 9c50, Got: 801c
Checksum failed. Expected: 5228, Got: 801c
Checksum failed. Expected: a36c, Got: 801c
Checksum failed. Expected: 7bcc, Got: 801c
Checksum failed. Expected: cf1c, Got: 801c
Checksum failed. Expected: 47fc, Got: 801c
Checksum failed. Expected: c1e4, Got: 801c
Checksum failed. Expected: 5228, Got: 801c
Checksum failed. Expected: 8b0c, Got: 801c
Checksum failed. Expected: 06f8, Got: 801c
Checksum failed. Expected: 5020, Got: 801c
Checksum failed. Expected: a77c, Got: 801c
Checksum failed. Expected: 9a48, Got: 801c
Checksum failed. Expected: 7ed8, Got: 801c
Checksum failed. Expected: 1b4c, Got: 801c
Checksum failed. Expected: 8904, Got: 801c
Checksum failed. Expected: e164, Got: 801c
Checksum failed. Expected: 00e0, Got: 801c
Checksum failed. Expected: 75b4, Got: 801c
Checksum failed. Expected: 0e18, Got: 801c
Checksum failed. Expected: fcd0, Got: 801c
Checksum failed. Expected: 2880, Got: 801c
Checksum failed. Expected: 76b8, Got: 801c
Checksum failed. Expected: 0d14, Got: 801c
Checksum failed. Expected: 4800, Got: 801c
Checksum failed. Expected: e77c, Got: 801c
Checksum failed. Expected: f9c4, Got: 801c
Checksum failed. Expected: c4f0, Got: 801c
Checksum failed. Expected: d124, Got: 801c
Checksum failed. Expected: c0e0, Got: 801c
Checksum failed. Expected: bbcc, Got: 801c

Exiting...
