
#################################################################
Log started at 2025-06-12_14-16-20 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 78a0, Got: 650c
Checksum failed. Expected: 294f, Got: 0f00
Checksum failed. Expected: 8d88, Got: e810
Checksum failed. Expected: 5ca9, Got: 0404
Checksum failed. Expected: ab90, Got: 000e
Checksum failed. Expected: 4c10, Got: 000e
Checksum failed. Expected: 231e, Got: 000e
Checksum failed. Expected: 786f, Got: 000e
Checksum failed. Expected: 6004, Got: 000e
Checksum failed. Expected: 0146, Got: 000e
Checksum failed. Expected: 14dd, Got: 000e
Checksum failed. Expected: 7301, Got: 000e
Checksum failed. Expected: fc5d, Got: 000e
Checksum failed. Expected: a751, Got: 000e
Checksum failed. Expected: 521b, Got: 000e
Checksum failed. Expected: b7c9, Got: 000e
Checksum failed. Expected: cfd5, Got: 000e
Checksum failed. Expected: 97d1, Got: 000e
Checksum failed. Expected: 3f79, Got: 000e
Checksum failed. Expected: 8f8b, Got: 000e
Checksum failed. Expected: f884, Got: 000e
Checksum failed. Expected: ebcc, Got: 000e
Checksum failed. Expected: 5fb4, Got: 000e
Checksum failed. Expected: aa5f, Got: 000e
Checksum failed. Expected: 1040, Got: 000e
Checksum failed. Expected: 9ef8, Got: 000e
Checksum failed. Expected: 56d1, Got: 000e
Checksum failed. Expected: c77a, Got: 000e
Checksum failed. Expected: e80e, Got: 000e
Checksum failed. Expected: 636a, Got: 000e
Checksum failed. Expected: 2da1, Got: 000e
Checksum failed. Expected: f9de, Got: 000e
Checksum failed. Expected: 4471, Got: 000e
Checksum failed. Expected: 0ecc, Got: 000e
Checksum failed. Expected: b35a, Got: 000e
Checksum failed. Expected: d621, Got: 000e
Checksum failed. Expected: 2961, Got: 000e
Checksum failed. Expected: d0f7, Got: 000e
Checksum failed. Expected: fa58, Got: 000e
Checksum failed. Expected: febd, Got: 000e
Checksum failed. Expected: 7c46, Got: 000e
Checksum failed. Expected: d525, Got: 000e
Checksum failed. Expected: 7529, Got: 000e
Checksum failed. Expected: 95b9, Got: 000e
Checksum failed. Expected: 1222, Got: 000e
Checksum failed. Expected: 9da1, Got: 000e
Checksum failed. Expected: 7fa6, Got: 000e
Checksum failed. Expected: f055, Got: 000e
Checksum failed. Expected: ba6d, Got: 000e
Checksum failed. Expected: d171, Got: 000e
Checksum failed. Expected: 0f39, Got: 000e
Checksum failed. Expected: ff3a, Got: 000e
Checksum failed. Expected: 97c8, Got: 000e
Checksum failed. Expected: ef71, Got: 000e
Checksum failed. Expected: 4b80, Got: 000e
Checksum failed. Expected: cf85, Got: 000e
Checksum failed. Expected: db82, Got: 000e
Checksum failed. Expected: 896e, Got: 000e
Checksum failed. Expected: 3aee, Got: 000e
Checksum failed. Expected: adc6, Got: 000e
Checksum failed. Expected: 7e77, Got: 000e
Checksum failed. Expected: 2a52, Got: 000e
Checksum failed. Expected: 1b66, Got: 000e
Checksum failed. Expected: 211b, Got: 000e
Checksum failed. Expected: 349d, Got: 000e
Checksum failed. Expected: 36f2, Got: 000e
Checksum failed. Expected: e759, Got: 000e
Checksum failed. Expected: c2be, Got: 000e

Exiting...
