
#################################################################
Log started at 2025-06-12_14-16-27 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: c893, Got: 0004
Checksum failed. Expected: af51, Got: 982a
Checksum failed. Expected: 82bc, Got: 982a
Checksum failed. Expected: 5842, Got: 982a
Checksum failed. Expected: 7547, Got: 982a
Checksum failed. Expected: 023c, Got: 982a
Checksum failed. Expected: 6bed, Got: 982a
Checksum failed. Expected: 5f81, Got: 982a
Checksum failed. Expected: dbdd, Got: 982a
Checksum failed. Expected: ad3f, Got: 982a
Checksum failed. Expected: 6e08, Got: 982a
Checksum failed. Expected: 6ae4, Got: 982a
Checksum failed. Expected: 520c, Got: 982a
Checksum failed. Expected: ab2d, Got: 982a
Checksum failed. Expected: 6193, Got: 982a
Checksum failed. Expected: 9143, Got: 982b
Checksum failed. Expected: 213b, Got: 982b
Checksum failed. Expected: 085a, Got: 982b
Checksum failed. Expected: 87d1, Got: 982b
Checksum failed. Expected: 9a7c, Got: 982b
Checksum failed. Expected: c4f6, Got: 982b
Checksum failed. Expected: a6e8, Got: 982b
Checksum failed. Expected: 7002, Got: 982b
Checksum failed. Expected: 4aac, Got: 982b
Checksum failed. Expected: 4dc7, Got: 982b
Checksum failed. Expected: 550f, Got: 982b
Checksum failed. Expected: 5721, Got: 982b
Checksum failed. Expected: 9234, Got: 982b
Checksum failed. Expected: 4052, Got: 982b
Checksum failed. Expected: 87d1, Got: 982b
Checksum failed. Expected: 5f69, Got: 982b
Checksum failed. Expected: f6b8, Got: 982b
Checksum failed. Expected: c608, Got: 982b
Checksum failed. Expected: f9d3, Got: 982b
Checksum failed. Expected: 4bb5, Got: 982b
Checksum failed. Expected: 9d97, Got: 982b

Exiting...
