
#################################################################
Log started at 2025-06-12_14-16-28 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d341, Got: 0005
Checksum failed. Expected: ae9c, Got: 1278
Checksum failed. Expected: a9d4, Got: 0804
Checksum failed. Expected: 78ac, Got: 1c0e
Checksum failed. Expected: 0367, Got: 1c0e
Checksum failed. Expected: afc3, Got: 1c0e
Checksum failed. Expected: 9f73, Got: 1c0e
Checksum failed. Expected: 0d99, Got: 1c0e
Checksum failed. Expected: 80d8, Got: 1c0e
Checksum failed. Expected: e0b8, Got: 1c0e
Checksum failed. Expected: 0b8f, Got: 1c0e
Checksum failed. Expected: afc3, Got: 1c0e
Checksum failed. Expected: d377, Got: 1c0e
Checksum failed. Expected: c945, Got: 1c0e
Checksum failed. Expected: 6347, Got: 1c0e
Checksum failed. Expected: 8f23, Got: 1c0e
Checksum failed. Expected: a387, Got: 1c0e
Checksum failed. Expected: 3f93, Got: 1c0e
Checksum failed. Expected: f41c, Got: 1c0e
Checksum failed. Expected: 1bdf, Got: 1c0e
Checksum failed. Expected: 9028, Got: 1c0e
Checksum failed. Expected: a078, Got: 1c0e
Checksum failed. Expected: 6b6f, Got: 1c0e
Checksum failed. Expected: 0b8f, Got: 1c0e
Checksum failed. Expected: cc54, Got: 1c0e
Checksum failed. Expected: a696, Got: 1c0e
Checksum failed. Expected: a8a0, Got: 1c0e
Checksum failed. Expected: d068, Got: 1c0e
Checksum failed. Expected: a9a5, Got: 1c0e
Checksum failed. Expected: 46b6, Got: 1c0e
Checksum failed. Expected: 12b2, Got: 1c0e
Checksum failed. Expected: bd09, Got: 1c0e
Checksum failed. Expected: 5606, Got: 1c0e
Checksum failed. Expected: db9f, Got: 1c0e
Checksum failed. Expected: 14bc, Got: 1c0e
Checksum failed. Expected: e7db, Got: 1c0e
Checksum failed. Expected: ca4a, Got: 1c0e
Checksum failed. Expected: e7db, Got: 1c0e
Checksum failed. Expected: 2616, Got: 1c0e
Checksum failed. Expected: b3d7, Got: 1c0e
Checksum failed. Expected: 2202, Got: 1c0e
Checksum failed. Expected: 613d, Got: 1c0e
Checksum failed. Expected: 9850, Got: 1c0e

Exiting...
