
#################################################################
Log started at 2025-06-12_14-16-30 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 294f, Got: 0f00
Checksum failed. Expected: 8d88, Got: e810
Checksum failed. Expected: 5ca9, Got: 0404
Checksum failed. Expected: 1108, Got: 000e
Checksum failed. Expected: 01f5, Got: 000e
Checksum failed. Expected: 9b9b, Got: 000e
Checksum failed. Expected: a359, Got: 000e
Checksum failed. Expected: 4343, Got: 000e
Checksum failed. Expected: 6c7c, Got: 000e
Checksum failed. Expected: fa37, Got: 000e
Checksum failed. Expected: dd39, Got: 000e
Checksum failed. Expected: da15, Got: 000e
Checksum failed. Expected: ebbb, Got: 000e
Checksum failed. Expected: 4597, Got: 000e
Checksum failed. Expected: 5d85, Got: 000e
Checksum failed. Expected: fb6b, Got: 000e
Checksum failed. Expected: c47a, Got: 000e
Checksum failed. Expected: c4c3, Got: 000e
Checksum failed. Expected: 3ced, Got: 000e
Checksum failed. Expected: a5cf, Got: 000e
Checksum failed. Expected: 10f1, Got: 000e
Checksum failed. Expected: aefa, Got: 000e
Checksum failed. Expected: 5695, Got: 000e
Checksum failed. Expected: 0394, Got: 000e
Checksum failed. Expected: ec36, Got: 000e
Checksum failed. Expected: 9d8a, Got: 000e
Checksum failed. Expected: eb8c, Got: 000e
Checksum failed. Expected: 5464, Got: 000e
Checksum failed. Expected: 6714, Got: 000e
Checksum failed. Expected: 257f, Got: 000e
Checksum failed. Expected: 77cd, Got: 000e
Checksum failed. Expected: 809e, Got: 000e
Checksum failed. Expected: efe5, Got: 000e
Checksum failed. Expected: ebc7, Got: 000e
Checksum failed. Expected: 8007, Got: 000e
Checksum failed. Expected: 6dc7, Got: 000e
Checksum failed. Expected: d7ba, Got: 000e
Checksum failed. Expected: 6f65, Got: 000e
Checksum failed. Expected: 13bf, Got: 000e
Checksum failed. Expected: 70cc, Got: 000e

Exiting...
