
#################################################################
Log started at 2025-06-12_14-54-43 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a77e, Got: 8594
Checksum failed. Expected: 4eb4, Got: 7565
Checksum failed. Expected: 3699, Got: 7565
Checksum failed. Expected: bc9d, Got: 7565
Checksum failed. Expected: dad9, Got: 7565
Checksum failed. Expected: 9249, Got: 7565
Checksum failed. Expected: e2e9, Got: 7565
Checksum failed. Expected: dfe3, Got: 7565
Checksum failed. Expected: 9753, Got: 7565
Checksum failed. Expected: 3b9b, Got: 7565
Checksum failed. Expected: 7c1d, Got: 7565
Checksum failed. Expected: dad9, Got: 7565
Checksum failed. Expected: e2e9, Got: 7565
Checksum failed. Expected: 3187, Got: 7565
Checksum failed. Expected: 7107, Got: 7565
Checksum failed. Expected: 48b5, Got: 7565
Checksum failed. Expected: 59d7, Got: 7565
Checksum failed. Expected: 45af, Got: 7565
Checksum failed. Expected: 7d1f, Got: 7565
Checksum failed. Expected: 2977, Got: 7565
Checksum failed. Expected: 2977, Got: 7565
Checksum failed. Expected: e6f1, Got: 7565
Checksum failed. Expected: c3ab, Got: 7565
Checksum failed. Expected: 52c9, Got: 7565
Checksum failed. Expected: 2065, Got: 7565
Checksum failed. Expected: 0631, Got: 7565
Checksum failed. Expected: 5ddf, Got: 7565
Checksum failed. Expected: 2a79, Got: 7565
Checksum failed. Expected: ab7b, Got: 7565
Checksum failed. Expected: 944d, Got: 7565
Checksum failed. Expected: 2065, Got: 7565
Checksum failed. Expected: 7917, Got: 7565
Checksum failed. Expected: 2167, Got: 7565
Checksum failed. Expected: 2875, Got: 7565
Checksum failed. Expected: 7a19, Got: 7565
Checksum failed. Expected: c5af, Got: 7565
Checksum failed. Expected: 154f, Got: 7565

Exiting...
