
#################################################################
Log started at 2025-06-12_15-12-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 0fa0, Got: 0e00
Checksum failed. Expected: 2c31, Got: 7565
Checksum failed. Expected: 7e05, Got: c875
Checksum failed. Expected: f912, Got: 058e
Checksum failed. Expected: f610, Got: 0004
Checksum failed. Expected: 9dc5, Got: 0765
Checksum failed. Expected: 12fd, Got: 0804
Checksum failed. Expected: 5c78, Got: 8ea0
Checksum failed. Expected: 6a78, Got: 7565
Checksum failed. Expected: 8965, Got: 0000
Checksum failed. Expected: 8d7f, Got: 0000
Checksum failed. Expected: 5546, Got: 0000
Checksum failed. Expected: e4a7, Got: 0000
Checksum failed. Expected: fc6c, Got: 0000
Checksum failed. Expected: 5cc2, Got: 0000
Checksum failed. Expected: aa06, Got: 0000
Checksum failed. Expected: ac77, Got: 0000
Checksum failed. Expected: 0975, Got: 0000
Checksum failed. Expected: ad0c, Got: 0000
Checksum failed. Expected: 7b39, Got: 0000
Checksum failed. Expected: e404, Got: 0000
Checksum failed. Expected: bbd1, Got: 0000
Checksum failed. Expected: b185, Got: 0000
Checksum failed. Expected: 0622, Got: 0000
Checksum failed. Expected: a652, Got: 0000
Checksum failed. Expected: 2d09, Got: 0000
Checksum failed. Expected: 9b49, Got: 0000
Checksum failed. Expected: a87d, Got: 0000
Checksum failed. Expected: 98ad, Got: 0000
Checksum failed. Expected: 6b21, Got: 0000
Checksum failed. Expected: 2f9d, Got: 0000
Checksum failed. Expected: 3877, Got: 0000
Checksum failed. Expected: 0397, Got: 0000
Checksum failed. Expected: 12cc, Got: 0000
Checksum failed. Expected: 2dc3, Got: 0000
Checksum failed. Expected: 7cef, Got: 0000
Checksum failed. Expected: 47e6, Got: 0000
Checksum failed. Expected: 0fd7, Got: 0000
Checksum failed. Expected: 1f1c, Got: 0000
Checksum failed. Expected: c4c2, Got: 0000
Checksum failed. Expected: 6fd6, Got: 0000
Checksum failed. Expected: 68b7, Got: 0000
Checksum failed. Expected: e285, Got: 0000
Checksum failed. Expected: e50c, Got: 0000
Checksum failed. Expected: e889, Got: 0000
Checksum failed. Expected: c594, Got: 0000
Checksum failed. Expected: d821, Got: 0000
Checksum failed. Expected: 0ed5, Got: 0000
Checksum failed. Expected: 1f28, Got: 0000
Checksum failed. Expected: 7050, Got: 0000
Checksum failed. Expected: 8b47, Got: 0000
Checksum failed. Expected: b217, Got: 0000
Checksum failed. Expected: a16b, Got: 0000
Checksum failed. Expected: 92ab, Got: 0000
Checksum failed. Expected: cb7f, Got: 0000
Checksum failed. Expected: a88b, Got: 0000
Checksum failed. Expected: 2af5, Got: 0000
Checksum failed. Expected: 2515, Got: 0000
Checksum failed. Expected: a66a, Got: 0000
Checksum failed. Expected: 47c1, Got: 0000
Checksum failed. Expected: ae6d, Got: 0000
Checksum failed. Expected: f2f4, Got: 0000
Checksum failed. Expected: e8c5, Got: 0000
Checksum failed. Expected: 15da, Got: 0000
Checksum failed. Expected: 5750, Got: 0000
Checksum failed. Expected: 5044, Got: 0000
Checksum failed. Expected: c925, Got: 0000
Checksum failed. Expected: 7d93, Got: 0000
Checksum failed. Expected: 7cda, Got: 0000
Checksum failed. Expected: 1067, Got: 0000
Checksum failed. Expected: 5602, Got: 0000
Checksum failed. Expected: e32f, Got: 0000
Checksum failed. Expected: ec13, Got: 0000
Checksum failed. Expected: 71b0, Got: 0000
Checksum failed. Expected: 1520, Got: 0000
Checksum failed. Expected: 4f07, Got: 0000
Checksum failed. Expected: 0b27, Got: 0000
Checksum failed. Expected: cfcb, Got: 0000
Checksum failed. Expected: 555b, Got: 0000
Checksum failed. Expected: 015f, Got: 0000
Checksum failed. Expected: 408b, Got: 0000
Checksum failed. Expected: 2da5, Got: 0000
Checksum failed. Expected: 3155, Got: 0000
Checksum failed. Expected: 619a, Got: 0000
Checksum failed. Expected: 7961, Got: 0000
Checksum failed. Expected: 8ddd, Got: 0000
Checksum failed. Expected: 68d4, Got: 0000
Checksum failed. Expected: a1d5, Got: 0000
Checksum failed. Expected: 4eea, Got: 0000
Checksum failed. Expected: fe40, Got: 0000
Checksum failed. Expected: db74, Got: 0000
Checksum failed. Expected: 8125, Got: 0000
Checksum failed. Expected: 4ae3, Got: 0000
Checksum failed. Expected: d6fa, Got: 0000
Checksum failed. Expected: 31f7, Got: 0000
Checksum failed. Expected: 19b2, Got: 0000
Checksum failed. Expected: bd4f, Got: 0000
Checksum failed. Expected: 0743, Got: 0000
Checksum failed. Expected: b8a0, Got: 0000
Checksum failed. Expected: fe30, Got: 0000
Checksum failed. Expected: 0d67, Got: 0000
Checksum failed. Expected: 2217, Got: 0000
Checksum failed. Expected: a7cb, Got: 0000
Checksum failed. Expected: 33bb, Got: 0000
Checksum failed. Expected: f84f, Got: 0000
Checksum failed. Expected: 877b, Got: 0000
Checksum failed. Expected: bb05, Got: 0000
Checksum failed. Expected: afb5, Got: 0000
Checksum failed. Expected: 8eea, Got: 0000
Checksum failed. Expected: 9d21, Got: 0000
Checksum failed. Expected: e4cd, Got: 0000
Checksum failed. Expected: 7a74, Got: 0000
Checksum failed. Expected: a6a5, Got: 0000
Checksum failed. Expected: 27fa, Got: 0000
Checksum failed. Expected: 2640, Got: 0000
Checksum failed. Expected: 2e24, Got: 0000
Checksum failed. Expected: 93c5, Got: 0000
Checksum failed. Expected: 6b73, Got: 0000
Checksum failed. Expected: 9cda, Got: 0000
Checksum failed. Expected: 86c7, Got: 0000
Checksum failed. Expected: fc62, Got: 0000
Checksum failed. Expected: dcbf, Got: 0000
Checksum failed. Expected: 0273, Got: 0000
Checksum failed. Expected: ab50, Got: 0000
Checksum failed. Expected: cda0, Got: 0000
Checksum failed. Expected: a457, Got: 0000
Checksum failed. Expected: ba17, Got: 0000
Checksum failed. Expected: 230b, Got: 0000
Checksum failed. Expected: aaab, Got: 0000
Checksum failed. Expected: dc0f, Got: 0000
Checksum failed. Expected: cf7b, Got: 0000
Checksum failed. Expected: ca75, Got: 0000
Checksum failed. Expected: d9d5, Got: 0000
Checksum failed. Expected: d3ba, Got: 0000
Checksum failed. Expected: ada1, Got: 0000
Checksum failed. Expected: 0eed, Got: 0000
Checksum failed. Expected: b384, Got: 0000
Checksum failed. Expected: 5b75, Got: 0000
Checksum failed. Expected: cbba, Got: 0000
Checksum failed. Expected: e170, Got: 0000
Checksum failed. Expected: 40c4, Got: 0000
Checksum failed. Expected: 4345, Got: 0000
Checksum failed. Expected: 99d3, Got: 0000
Checksum failed. Expected: 7a3a, Got: 0000
Checksum failed. Expected: 2a87, Got: 0000
Checksum failed. Expected: 2f12, Got: 0000
Checksum failed. Expected: 6f6f, Got: 0000
Checksum failed. Expected: 7a73, Got: 0000
Checksum failed. Expected: 8126, Got: 0000
Checksum failed. Expected: 08ae, Got: 0000
Checksum failed. Expected: 55c5, Got: 0000
Checksum failed. Expected: 50d5, Got: 0000
Checksum failed. Expected: d589, Got: 0000
Checksum failed. Expected: 4c29, Got: 0000
Checksum failed. Expected: 91bd, Got: 0000
Checksum failed. Expected: 4ec9, Got: 0000
Checksum failed. Expected: e693, Got: 0000
Checksum failed. Expected: 33d3, Got: 0000
Checksum failed. Expected: 70e8, Got: 0000
Checksum failed. Expected: 7acf, Got: 0000
Checksum failed. Expected: 8e4b, Got: 0000
Checksum failed. Expected: 4a52, Got: 0000
Checksum failed. Expected: cac3, Got: 0000
Checksum failed. Expected: 2a08, Got: 0000
Checksum failed. Expected: 22de, Got: 0000
Checksum failed. Expected: 89b2, Got: 0000
Checksum failed. Expected: fe53, Got: 0000
Checksum failed. Expected: 25f1, Got: 0000
Checksum failed. Expected: edc8, Got: 0000
Checksum failed. Expected: 7485, Got: 0000
Checksum failed. Expected: 13b0, Got: 0000
Checksum failed. Expected: 374d, Got: 0000
Checksum failed. Expected: a8b1, Got: 0000
Checksum failed. Expected: 57ee, Got: 0000
Checksum failed. Expected: ce8e, Got: 0000
Checksum failed. Expected: 5435, Got: 0000
Checksum failed. Expected: e8d5, Got: 0000
Checksum failed. Expected: 34f9, Got: 0000
Checksum failed. Expected: d0e9, Got: 0000
Checksum failed. Expected: 168d, Got: 0000
Checksum failed. Expected: f399, Got: 0000
Checksum failed. Expected: e943, Got: 0000
Checksum failed. Expected: 3133, Got: 0000
Checksum failed. Expected: a6c8, Got: 0000
Checksum failed. Expected: 6d7f, Got: 0000
Checksum failed. Expected: 853b, Got: 0000
Checksum failed. Expected: 7f22, Got: 0000
Checksum failed. Expected: e3d3, Got: 0000
Checksum failed. Expected: 0648, Got: 0000
Checksum failed. Expected: eade, Got: 0000
Checksum failed. Expected: db52, Got: 0000
Checksum failed. Expected: 5323, Got: 0000
Checksum failed. Expected: 78a1, Got: 0000
Checksum failed. Expected: 1f68, Got: 0000
Checksum failed. Expected: 50c5, Got: 0000
Checksum failed. Expected: a330, Got: 0000
Checksum failed. Expected: 727d, Got: 0000
Checksum failed. Expected: fb61, Got: 0000
Checksum failed. Expected: 6a9e, Got: 0000
Checksum failed. Expected: 6f1e, Got: 0000
Checksum failed. Expected: 5185, Got: 0000
Checksum failed. Expected: ba75, Got: 0000
Checksum failed. Expected: 1699, Got: 0000
Checksum failed. Expected: 86c9, Got: 0000
Checksum failed. Expected: 11bd, Got: 0000
Checksum failed. Expected: 3b99, Got: 0000
Checksum failed. Expected: 1253, Got: 0000
Checksum failed. Expected: fa43, Got: 0000
Checksum failed. Expected: 5db8, Got: 0000
Checksum failed. Expected: 2e0f, Got: 0000
