
#################################################################
Log started at 2025-06-12_15-49-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 778b, Got: 0c04
Checksum failed. Expected: f261, Got: 0000
Checksum failed. Expected: 0447, Got: 0000
Checksum failed. Expected: 4606, Got: 0000
Checksum failed. Expected: a8d1, Got: 0000
Checksum failed. Expected: 8575, Got: 0000
Checksum failed. Expected: dede, Got: 0000
Checksum failed. Expected: a7f5, Got: 0000
Checksum failed. Expected: 9260, Got: 0000
Checksum failed. Expected: 937c, Got: 0000
Checksum failed. Expected: cfca, Got: 0000
Checksum failed. Expected: 40b8, Got: 0000
Checksum failed. Expected: 17e2, Got: 0000
Checksum failed. Expected: c65d, Got: 0000
Checksum failed. Expected: 3cb5, Got: 0000
Checksum failed. Expected: 0902, Got: 0000
Checksum failed. Expected: 92d1, Got: 0000
Checksum failed. Expected: 2dd2, Got: 0000
Checksum failed. Expected: a2f3, Got: 0000
Checksum failed. Expected: 4e0a, Got: 0000
Checksum failed. Expected: f6f3, Got: 0000
Checksum failed. Expected: aac4, Got: 0000
Checksum failed. Expected: 66f8, Got: 0000
Checksum failed. Expected: 9767, Got: 0000
Checksum failed. Expected: c38d, Got: 0000
Checksum failed. Expected: 7858, Got: 0000
Checksum failed. Expected: 1126, Got: 0000
Checksum failed. Expected: 7855, Got: 0000
Checksum failed. Expected: e17c, Got: 0000
Checksum failed. Expected: ce48, Got: 0000
Checksum failed. Expected: 64e6, Got: 0000
Checksum failed. Expected: 1677, Got: 0000
Checksum failed. Expected: 0564, Got: 0000
Checksum failed. Expected: 70ed, Got: 0000
Checksum failed. Expected: 3c32, Got: 0000
Checksum failed. Expected: 7aa5, Got: 0000
Checksum failed. Expected: db9e, Got: 0000
Checksum failed. Expected: f46c, Got: 0000
Checksum failed. Expected: 207b, Got: 0000
Checksum failed. Expected: 7e07, Got: 0000
Checksum failed. Expected: 0e5c, Got: 0000
Checksum failed. Expected: 76b2, Got: 0000
Checksum failed. Expected: 703a, Got: 0000
Checksum failed. Expected: 501c, Got: 0000
Checksum failed. Expected: 604e, Got: 0000
Checksum failed. Expected: aa82, Got: 0000
Checksum failed. Expected: 5b0b, Got: 0000
Checksum failed. Expected: c7bb, Got: 0000
Checksum failed. Expected: 871d, Got: 0000
Checksum failed. Expected: 8a38, Got: 0000
Checksum failed. Expected: 9eb9, Got: 0000
Checksum failed. Expected: 0ece, Got: 0000
Checksum failed. Expected: e080, Got: 0000
Checksum failed. Expected: c180, Got: 0000
Checksum failed. Expected: 9238, Got: 0000
Checksum failed. Expected: 8ee6, Got: 0000
Checksum failed. Expected: 18aa, Got: 0000
Checksum failed. Expected: 696a, Got: 0000
Checksum failed. Expected: be78, Got: 0000
Checksum failed. Expected: 0572, Got: 0000
Checksum failed. Expected: bc69, Got: 0000
