
#################################################################
Log started at 2025-06-12_15-50-16 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: bc79, Got: 1912
Checksum failed. Expected: d592, Got: 947e
Checksum failed. Expected: fdb9, Got: 1188
Checksum failed. Expected: f9b1, Got: 9172
Checksum failed. Expected: 585c, Got: 8d7b
Checksum failed. Expected: 506f, Got: 0bda
Checksum failed. Expected: c683, Got: 0cfb
Checksum failed. Expected: 5508, Got: 8a15
Checksum failed. Expected: 6922, Got: 0f3e
Checksum failed. Expected: 677a, Got: 1bf8
Checksum failed. Expected: 0e11, Got: 1f78
Checksum failed. Expected: 6806, Got: 9960
Checksum failed. Expected: c9d0, Got: 1c9a
Checksum failed. Expected: 7fdc, Got: a0b4
Checksum failed. Expected: 300e, Got: 9c69
Checksum failed. Expected: 9bdb, Got: 94b6
Checksum failed. Expected: 81be, Got: 1e4c
Checksum failed. Expected: ae88, Got: aa4d
Checksum failed. Expected: a70f, Got: aa97
Checksum failed. Expected: f4ff, Got: 9ad5
Checksum failed. Expected: 5ec4, Got: 116f
Checksum failed. Expected: 87be, Got: 8b9b
Checksum failed. Expected: d329, Got: 8a60
Checksum failed. Expected: eb7a, Got: 0f56
Checksum failed. Expected: c445, Got: 8ad6
Checksum failed. Expected: 959c, Got: 8ce6
Checksum failed. Expected: 4944, Got: 05f0
Checksum failed. Expected: e24b, Got: 0961
Checksum failed. Expected: f67b, Got: 917c
Checksum failed. Expected: 0500, Got: 0f46
Checksum failed. Expected: 841b, Got: 0a06
Checksum failed. Expected: f28e, Got: 86ef
Checksum failed. Expected: 3b16, Got: 7ff1
Checksum failed. Expected: 969a, Got: fed2
Checksum failed. Expected: 4165, Got: 7c08
Checksum failed. Expected: daa3, Got: fdad
Checksum failed. Expected: 53df, Got: 0664
Checksum failed. Expected: 2cb1, Got: 0bb0
Checksum failed. Expected: 6047, Got: 8bbd
Checksum failed. Expected: 118a, Got: 02c1
Checksum failed. Expected: c398, Got: 0781
Checksum failed. Expected: c251, Got: 7722
Checksum failed. Expected: 9541, Got: f0d4
Checksum failed. Expected: 2915, Got: 783e
Checksum failed. Expected: 154d, Got: 0081
Checksum failed. Expected: 102c, Got: 04ff
Checksum failed. Expected: 439d, Got: ff93
Checksum failed. Expected: 1eaa, Got: fa3d
Checksum failed. Expected: 01ac, Got: f4d8
Checksum failed. Expected: 1d1f, Got: f730
Checksum failed. Expected: 21d3, Got: 01da
Checksum failed. Expected: 2b14, Got: 7c1a
