
#################################################################
Log started at 2025-06-12_15-50-42 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 68d3, Got: 8b3f
Checksum failed. Expected: d990, Got: 891a
Checksum failed. Expected: 3c99, Got: 7d22
Checksum failed. Expected: 3136, Got: 04b1
Checksum failed. Expected: 4878, Got: 8980
Checksum failed. Expected: cbd9, Got: ff12
Checksum failed. Expected: 7afc, Got: 7ca2
Checksum failed. Expected: 1ae6, Got: 7f0d
Checksum failed. Expected: 695f, Got: 7886
Checksum failed. Expected: 19be, Got: fbe6
Checksum failed. Expected: 4484, Got: 0bba
Checksum failed. Expected: d101, Got: 93b6
Checksum failed. Expected: 258b, Got: 1bbd
Checksum failed. Expected: cb97, Got: 8cfd
Checksum failed. Expected: fcea, Got: 0e90
Checksum failed. Expected: 779b, Got: 94d1
Checksum failed. Expected: ed4e, Got: 0fc5
Checksum failed. Expected: 18fc, Got: 81e9
Checksum failed. Expected: 8be6, Got: 82fd
Checksum failed. Expected: 6e6b, Got: 8ab0
Checksum failed. Expected: cec4, Got: 870a
Checksum failed. Expected: 1ee3, Got: 898f
Checksum failed. Expected: 1774, Got: 8512
Checksum failed. Expected: b137, Got: f976
Checksum failed. Expected: ff63, Got: 7ed4
Checksum failed. Expected: 2620, Got: 9120
Checksum failed. Expected: b342, Got: 11f8
Checksum failed. Expected: 3648, Got: 8a09
Checksum failed. Expected: 1f5d, Got: 09b4
Checksum failed. Expected: f8b7, Got: 868e
Checksum failed. Expected: 3ff4, Got: 8368
Checksum failed. Expected: 96ac, Got: fe30
Checksum failed. Expected: c3f4, Got: fc71
Checksum failed. Expected: 8aab, Got: 80f8
Checksum failed. Expected: b459, Got: 073c
Checksum failed. Expected: fd4c, Got: 8828
Checksum failed. Expected: 4f96, Got: 06e7
Checksum failed. Expected: 575f, Got: 8520
Checksum failed. Expected: dd2d, Got: 848e
Checksum failed. Expected: e897, Got: 8bd8
Checksum failed. Expected: f7b3, Got: 0a8e
Checksum failed. Expected: 2498, Got: 7cdf
Checksum failed. Expected: eae9, Got: 82ac
Checksum failed. Expected: 96b3, Got: 8b38
Checksum failed. Expected: 19ca, Got: 0a2f
Checksum failed. Expected: 26f1, Got: 002e
Checksum failed. Expected: a3ca, Got: f5f3
Checksum failed. Expected: a485, Got: f065
Checksum failed. Expected: 4281, Got: 7b56
Checksum failed. Expected: 9ea8, Got: 86cb
Checksum failed. Expected: b1ea, Got: 8762
Checksum failed. Expected: d984, Got: 7e1d
Checksum failed. Expected: 693e, Got: 7f12
Checksum failed. Expected: 5e65, Got: 86c7
Checksum failed. Expected: f11d, Got: 8653
Checksum failed. Expected: df32, Got: fc56
Checksum failed. Expected: a277, Got: fa66
