
#################################################################
Log started at 2025-06-12_15-50-45 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c14b, Got: 91a4
Checksum failed. Expected: ad4d, Got: 0b00
Checksum failed. Expected: 2ef2, Got: 8214
Checksum failed. Expected: 7269, Got: 0170
Checksum failed. Expected: e0be, Got: 84ce
Checksum failed. Expected: 0a63, Got: 0397
Checksum failed. Expected: b05b, Got: 7eb6
Checksum failed. Expected: e4a0, Got: 8262
Checksum failed. Expected: d1d0, Got: 8b18
Checksum failed. Expected: 8084, Got: 8e42
Checksum failed. Expected: 3dff, Got: 824e
Checksum failed. Expected: 944d, Got: 7683
Checksum failed. Expected: 7552, Got: 7692
Checksum failed. Expected: 0854, Got: fad4
Checksum failed. Expected: 3b48, Got: ff10
Checksum failed. Expected: 43f1, Got: ff3f
Checksum failed. Expected: 84eb, Got: fc78
Checksum failed. Expected: d567, Got: 7d69
Checksum failed. Expected: fef5, Got: fa14
Checksum failed. Expected: 09ce, Got: 7b3d
Checksum failed. Expected: 11f3, Got: 782b
Checksum failed. Expected: 09fa, Got: 036c
Checksum failed. Expected: 2051, Got: 046c
Checksum failed. Expected: 601b, Got: 0004
Checksum failed. Expected: eda1, Got: 73a9
Checksum failed. Expected: cbf7, Got: 7d6d
Checksum failed. Expected: 4cc2, Got: 8f30
Checksum failed. Expected: 9452, Got: 86ff
Checksum failed. Expected: e101, Got: 7f0e
Checksum failed. Expected: 7048, Got: fc88
Checksum failed. Expected: ff7f, Got: fd23
Checksum failed. Expected: 7d68, Got: 75c3
Checksum failed. Expected: ced7, Got: 7a06
Checksum failed. Expected: c8a7, Got: 8943
Checksum failed. Expected: 3b71, Got: 0355
Checksum failed. Expected: e9a9, Got: fbdb
Checksum failed. Expected: 0168, Got: fc10
Checksum failed. Expected: 8655, Got: 83bf
Checksum failed. Expected: 0935, Got: 0711
Checksum failed. Expected: 06f1, Got: 78cc
Checksum failed. Expected: f2e2, Got: 8039
Checksum failed. Expected: 2aeb, Got: f974
Checksum failed. Expected: 3277, Got: 7001
Checksum failed. Expected: a8c3, Got: 79f9
Checksum failed. Expected: e9cb, Got: 044e
Checksum failed. Expected: 4b0f, Got: ff31
Checksum failed. Expected: 5493, Got: f978
Checksum failed. Expected: bdf8, Got: 8592
Checksum failed. Expected: 2657, Got: 0af9
Checksum failed. Expected: c431, Got: 8963
Checksum failed. Expected: 7207, Got: fd89
Checksum failed. Expected: 853f, Got: 8563
Checksum failed. Expected: e0ee, Got: 0b74
Checksum failed. Expected: e66c, Got: 10ea
Checksum failed. Expected: 6a9b, Got: 18f7
Checksum failed. Expected: 9da2, Got: 9b4a
Checksum failed. Expected: 2245, Got: 95c2
Checksum failed. Expected: e109, Got: 8d96
Checksum failed. Expected: e7ba, Got: 8698
Checksum failed. Expected: a673, Got: 0797
Checksum failed. Expected: 107e, Got: 059c
Checksum failed. Expected: e58d, Got: 8495
Checksum failed. Expected: 98eb, Got: 09f5
Checksum failed. Expected: f523, Got: 1010
Checksum failed. Expected: c7bb, Got: 9158
Checksum failed. Expected: 46d6, Got: 9660
Checksum failed. Expected: 8559, Got: 0eae
Checksum failed. Expected: ba4b, Got: 0b19
Checksum failed. Expected: d203, Got: 8ce9
Checksum failed. Expected: 52b8, Got: 933f
Checksum failed. Expected: 9722, Got: 1962
Checksum failed. Expected: 650d, Got: a17e
Checksum failed. Expected: 49fe, Got: 160d
Checksum failed. Expected: 461c, Got: 90b3
Checksum failed. Expected: ab1f, Got: 1c40
Checksum failed. Expected: a909, Got: 274d
Checksum failed. Expected: 18ba, Got: a16a
Checksum failed. Expected: b70d, Got: 1222
Checksum failed. Expected: 94d9, Got: 8fe0
Checksum failed. Expected: 08f1, Got: 8da7
Checksum failed. Expected: 1d6f, Got: 161b
Checksum failed. Expected: 7ff7, Got: 9082
Checksum failed. Expected: 75db, Got: 098f
Checksum failed. Expected: ff3a, Got: 8d25
Checksum failed. Expected: 9525, Got: 96ed
Checksum failed. Expected: 85a9, Got: 8f45
Checksum failed. Expected: bd67, Got: 83a7
Checksum failed. Expected: 5606, Got: fb4b
Checksum failed. Expected: df1c, Got: 0577
Checksum failed. Expected: d171, Got: 09d2
Checksum failed. Expected: c364, Got: 0970
Checksum failed. Expected: a29f, Got: 0c28
Checksum failed. Expected: 9513, Got: 0c98
Checksum failed. Expected: 730e, Got: 896e
Checksum failed. Expected: 89fe, Got: 8cf4
Checksum failed. Expected: a72f, Got: 0b9b
Checksum failed. Expected: de4f, Got: 89ca
Checksum failed. Expected: c450, Got: 873e
Checksum failed. Expected: e4cf, Got: 04f8
Checksum failed. Expected: f5ad, Got: 8730
Checksum failed. Expected: 70f2, Got: 0485
Checksum failed. Expected: f1d5, Got: 8a81
Checksum failed. Expected: 037b, Got: 0364
Checksum failed. Expected: f81e, Got: fb9c
Checksum failed. Expected: 368b, Got: 81f4
Checksum failed. Expected: 0e97, Got: 8bbc
Checksum failed. Expected: 6f41, Got: 8b35
Checksum failed. Expected: 5473, Got: 04a1
Checksum failed. Expected: e9f0, Got: 02be
Checksum failed. Expected: fa88, Got: 819f
Checksum failed. Expected: 3b1e, Got: 0015
Checksum failed. Expected: d2bd, Got: fcc8
Checksum failed. Expected: 8859, Got: 73d2
Checksum failed. Expected: a5b1, Got: f554
Checksum failed. Expected: e206, Got: f445
Checksum failed. Expected: cb99, Got: 7906
Checksum failed. Expected: 2c86, Got: 7954
Checksum failed. Expected: 86be, Got: 71c8
Checksum failed. Expected: a071, Got: 78c9
Checksum failed. Expected: 5035, Got: 7e3e
Checksum failed. Expected: 5b5a, Got: 8bc1
Checksum failed. Expected: 7a83, Got: 03ce
Checksum failed. Expected: 4112, Got: 7c2b
Checksum failed. Expected: a812, Got: fb06
Checksum failed. Expected: 41b5, Got: f61d
Checksum failed. Expected: 5298, Got: 8207
Checksum failed. Expected: 7110, Got: 7d4a
Checksum failed. Expected: 5e5e, Got: 7b8f
Checksum failed. Expected: 706e, Got: 7f47
Checksum failed. Expected: 5bf3, Got: 0114
Checksum failed. Expected: 13ed, Got: f67d
Checksum failed. Expected: 04e6, Got: 7307
Checksum failed. Expected: f50e, Got: f69e
Checksum failed. Expected: 75ba, Got: 7725
Checksum failed. Expected: 8a05, Got: 804a
Checksum failed. Expected: 9a49, Got: 0227
Checksum failed. Expected: bd89, Got: 0556
Checksum failed. Expected: 2189, Got: 03d8
Checksum failed. Expected: 2041, Got: 7feb
Checksum failed. Expected: 4cfc, Got: 7c4d
Checksum failed. Expected: 6719, Got: 7caf
Checksum failed. Expected: a439, Got: 0334
Checksum failed. Expected: 1d1a, Got: 09eb
Checksum failed. Expected: 27dc, Got: 09f9
Checksum failed. Expected: 090a, Got: 84ea
Checksum failed. Expected: 5e4b, Got: 8add
Checksum failed. Expected: bc7b, Got: 1263
Checksum failed. Expected: aa8d, Got: 190a
Checksum failed. Expected: 1cbb, Got: 967c
Checksum failed. Expected: ddcd, Got: 1151
Checksum failed. Expected: f927, Got: 1321
Checksum failed. Expected: 4d5c, Got: 9704
Checksum failed. Expected: beb2, Got: 0f88
Checksum failed. Expected: afe5, Got: 0965
Checksum failed. Expected: aa2a, Got: 93f6
Checksum failed. Expected: fd87, Got: 17fc
Checksum failed. Expected: a221, Got: 98df
Checksum failed. Expected: 4537, Got: 9325
Checksum failed. Expected: 7bd1, Got: 99da
Checksum failed. Expected: a64e, Got: a53e
Checksum failed. Expected: eadc, Got: 9d97
Checksum failed. Expected: 26dc, Got: 0f5c
Checksum failed. Expected: f441, Got: 9308
Checksum failed. Expected: 9f4c, Got: 1528
Checksum failed. Expected: 4495, Got: 920d
Checksum failed. Expected: 142f, Got: 925d
Checksum failed. Expected: d244, Got: 1640
Checksum failed. Expected: 2d72, Got: 12e5
Checksum failed. Expected: eb10, Got: 20e0
Checksum failed. Expected: 2b22, Got: a4a0
Checksum failed. Expected: 4d9f, Got: a95e
Checksum failed. Expected: 7882, Got: 9dd9
Checksum failed. Expected: aecb, Got: a247
Checksum failed. Expected: 0081, Got: 2426
Checksum failed. Expected: 876c, Got: 9b30
Checksum failed. Expected: c015, Got: 9bcd
Checksum failed. Expected: 1367, Got: a727
Checksum failed. Expected: 1056, Got: 207c
Checksum failed. Expected: 0a1d, Got: 162e
Checksum failed. Expected: b262, Got: 94cf
Checksum failed. Expected: 2f7b, Got: 9996
Checksum failed. Expected: 0b5c, Got: 136a
Checksum failed. Expected: 7770, Got: 10b5
Checksum failed. Expected: b5d7, Got: 0b0e
Checksum failed. Expected: f652, Got: 0341
Checksum failed. Expected: 14cc, Got: 02e2
Checksum failed. Expected: c3af, Got: 086f
Checksum failed. Expected: 1d9a, Got: 8491
