
#################################################################
Log started at 2025-06-12_15-51-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 4e72, Got: 0625
Checksum failed. Expected: ee56, Got: c084
Checksum failed. Expected: db10, Got: 7ae2
Checksum failed. Expected: 48be, Got: 3540
Checksum failed. Expected: 39b3, Got: ef9e
Checksum failed. Expected: bcc0, Got: a9fc
Checksum failed. Expected: c1c8, Got: 645b
Checksum failed. Expected: c591, Got: 1eb9
Checksum failed. Expected: 60e6, Got: d917
Checksum failed. Expected: f6d2, Got: 9375
Checksum failed. Expected: e7a1, Got: 4dd3
Checksum failed. Expected: f317, Got: 0832
Checksum failed. Expected: b891, Got: c290
Checksum failed. Expected: 74b0, Got: 7cee
Checksum failed. Expected: 8ed4, Got: 374c
Checksum failed. Expected: a097, Got: f1aa
Checksum failed. Expected: 511c, Got: ac09
Checksum failed. Expected: d5e5, Got: 6667
Checksum failed. Expected: 9209, Got: 20c5
Checksum failed. Expected: 5372, Got: db23
Checksum failed. Expected: 6531, Got: 9581
Checksum failed. Expected: 63cd, Got: 4fe0
Checksum failed. Expected: 68ce, Got: 0a3e
Checksum failed. Expected: 5147, Got: c49c
Checksum failed. Expected: d54c, Got: 7efa
Checksum failed. Expected: 29b2, Got: 3959
Checksum failed. Expected: 7372, Got: f3b7
Checksum failed. Expected: 0641, Got: 51ec
Checksum failed. Expected: 0162, Got: 0c4a
Checksum failed. Expected: fccd, Got: c6a8
Checksum failed. Expected: e67c, Got: 8107
Checksum failed. Expected: 9c17, Got: 3b65
Checksum failed. Expected: 19bc, Got: f5c3
Checksum failed. Expected: 7267, Got: b021
Checksum failed. Expected: 45ab, Got: 6a7f
Checksum failed. Expected: bdfd, Got: 24de
Checksum failed. Expected: cb73, Got: df3c
Checksum failed. Expected: 6d1e, Got: 999a
Checksum failed. Expected: 559c, Got: 53f8
Checksum failed. Expected: e430, Got: 0e56
Checksum failed. Expected: 5839, Got: c8b5
Checksum failed. Expected: a107, Got: 8313
Checksum failed. Expected: 8fb9, Got: 3d71
Checksum failed. Expected: 5660, Got: f7cf
Checksum failed. Expected: a7b1, Got: b22e
Checksum failed. Expected: f7b8, Got: 6c8c
Checksum failed. Expected: 57af, Got: 26ea
Checksum failed. Expected: f4f3, Got: e148
Checksum failed. Expected: d402, Got: 9ba6
Checksum failed. Expected: 383c, Got: 5605
Checksum failed. Expected: b5a3, Got: 1063
Checksum failed. Expected: a058, Got: cac1
Checksum failed. Expected: 19d9, Got: 851f
Checksum failed. Expected: 21f7, Got: 3f7d
Checksum failed. Expected: a5f4, Got: f9dc
Checksum failed. Expected: 6544, Got: b43a
Checksum failed. Expected: 9be6, Got: 6e98
Checksum failed. Expected: 3d7a, Got: 28f6
Checksum failed. Expected: 6ce7, Got: e354
Checksum failed. Expected: 35b4, Got: 9db3
Checksum failed. Expected: 61cb, Got: 5811
Checksum failed. Expected: 834b, Got: 126f
Checksum failed. Expected: 9ea0, Got: cccd
Checksum failed. Expected: b28f, Got: 872b
Checksum failed. Expected: e719, Got: 418a
Checksum failed. Expected: 52bb, Got: fbe8
Checksum failed. Expected: 3d78, Got: b646
Checksum failed. Expected: ab1f, Got: 70a4
Checksum failed. Expected: 4310, Got: 2b03
Checksum failed. Expected: cc42, Got: e561
Checksum failed. Expected: 1409, Got: 9fbf
Checksum failed. Expected: 14c1, Got: 5a1d
Checksum failed. Expected: 3b9d, Got: 147b
Checksum failed. Expected: b95c, Got: ceda
Checksum failed. Expected: 7568, Got: 8938
Checksum failed. Expected: 7a52, Got: 4396
Checksum failed. Expected: c871, Got: fdf4
Checksum failed. Expected: 375a, Got: b852
Checksum failed. Expected: fbb6, Got: 72b1
Checksum failed. Expected: 1a23, Got: 2d0f
Checksum failed. Expected: dd94, Got: e76d
Checksum failed. Expected: 54ed, Got: a1cb
Checksum failed. Expected: db07, Got: 5c29
Checksum failed. Expected: a905, Got: 1688
Checksum failed. Expected: 05c9, Got: d0e6
Checksum failed. Expected: 86a4, Got: 8b44
Checksum failed. Expected: 1a76, Got: 45a2
Checksum failed. Expected: 6a83, Got: 0000
Checksum failed. Expected: 1889, Got: ba5f
Checksum failed. Expected: 6157, Got: 74bd
Checksum failed. Expected: 95fd, Got: 2f1b
Checksum failed. Expected: 28c2, Got: e979
Checksum failed. Expected: 223b, Got: a3d7
Checksum failed. Expected: 7ad9, Got: 5e36
Checksum failed. Expected: d352, Got: 1894
Checksum failed. Expected: 83b7, Got: d2f2
Checksum failed. Expected: ba9c, Got: 8d50
Checksum failed. Expected: dd40, Got: 47af
Checksum failed. Expected: 666d, Got: 020d
Checksum failed. Expected: cece, Got: bc6b
Checksum failed. Expected: a573, Got: 76c9
Checksum failed. Expected: 3d85, Got: 3127
Checksum failed. Expected: 0fb2, Got: eb86
Checksum failed. Expected: 3bea, Got: a5e4
Checksum failed. Expected: 0a0a, Got: 6042
Checksum failed. Expected: c81c, Got: 1aa0
Checksum failed. Expected: d051, Got: d4fe
Checksum failed. Expected: 80d4, Got: 8f5d
Checksum failed. Expected: 06b8, Got: 49bb
Checksum failed. Expected: 4d3b, Got: 0419
Checksum failed. Expected: b9ea, Got: be77
Checksum failed. Expected: f2eb, Got: 78d5
Checksum failed. Expected: 333b, Got: 3334
Checksum failed. Expected: 9fc1, Got: ed92
Checksum failed. Expected: fbac, Got: a7f0
Checksum failed. Expected: 348c, Got: 624e
Checksum failed. Expected: 1ce0, Got: 1cac
Checksum failed. Expected: 4e77, Got: d70b
