
#################################################################
Log started at 2025-06-12_15-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 7446, Got: dbef
Checksum failed. Expected: 2340, Got: dc86
Checksum failed. Expected: b20e, Got: dd31
Checksum failed. Expected: ca2f, Got: d918
Checksum failed. Expected: ab71, Got: d646
Checksum failed. Expected: 347e, Got: 57c0
Checksum failed. Expected: 434c, Got: 5f84
Checksum failed. Expected: 3879, Got: 6070
Checksum failed. Expected: d68f, Got: 5df7
Checksum failed. Expected: 9de3, Got: 6765
Checksum failed. Expected: 80ad, Got: e377
Checksum failed. Expected: 7339, Got: 610a
Checksum failed. Expected: 2acd, Got: 5f1c
Checksum failed. Expected: b6f7, Got: 5c2d
Checksum failed. Expected: 04a8, Got: 5a1e
Checksum failed. Expected: 7819, Got: 64c5
Checksum failed. Expected: a0dc, Got: 6bf7
Checksum failed. Expected: a746, Got: 62ec
Checksum failed. Expected: 8f66, Got: 58a8
Checksum failed. Expected: f12f, Got: 5be7
Checksum failed. Expected: 8467, Got: 5c6a
Checksum failed. Expected: 822f, Got: 5cfb
Checksum failed. Expected: bec8, Got: e040
Checksum failed. Expected: 4941, Got: e1cf
Checksum failed. Expected: b39f, Got: e4d7
Checksum failed. Expected: 9de4, Got: d4e7
Checksum failed. Expected: 8b14, Got: 4b9f
Checksum failed. Expected: eb5b, Got: ce32
Checksum failed. Expected: 1e62, Got: df6a
Checksum failed. Expected: 5edf, Got: 6581
Checksum failed. Expected: b55d, Got: e540
Checksum failed. Expected: 3068, Got: 674f
Checksum failed. Expected: 77a9, Got: 6c36
Checksum failed. Expected: f663, Got: e313
Checksum failed. Expected: 86c7, Got: 5f5d
Checksum failed. Expected: 2c6f, Got: db56
Checksum failed. Expected: 222e, Got: 5a67
Checksum failed. Expected: 4d8e, Got: e686
Checksum failed. Expected: 5760, Got: 69c1
Checksum failed. Expected: 8fc6, Got: e70b
Checksum failed. Expected: 73ee, Got: 6b82
Checksum failed. Expected: 65c2, Got: f1a9
Checksum failed. Expected: fa4d, Got: 7ae0
Checksum failed. Expected: 1fe7, Got: 77a1
Checksum failed. Expected: 3adb, Got: f400
Checksum failed. Expected: 62c5, Got: 71da
Checksum failed. Expected: 9f1a, Got: 807a
Checksum failed. Expected: 0ecf, Got: 7cd6
Checksum failed. Expected: 19fe, Got: ecb1
Checksum failed. Expected: 032e, Got: 6b7c
Checksum failed. Expected: e307, Got: ec49
Checksum failed. Expected: d678, Got: f00b
Checksum failed. Expected: 4a55, Got: 7322
Checksum failed. Expected: 603a, Got: 70c8
Checksum failed. Expected: ae93, Got: 67dc
Checksum failed. Expected: 7cc7, Got: f38f
Checksum failed. Expected: a44b, Got: fe27
Checksum failed. Expected: 3521, Got: f7f0
Checksum failed. Expected: 3e80, Got: f6b9
Checksum failed. Expected: 4072, Got: f9bf
Checksum failed. Expected: 47dc, Got: 6b09
Checksum failed. Expected: ca09, Got: e7e1
Checksum failed. Expected: d6b4, Got: 7115
Checksum failed. Expected: bdc7, Got: f520
Checksum failed. Expected: ea16, Got: 6f7b
Checksum failed. Expected: 25b0, Got: ec42
Checksum failed. Expected: 0e9c, Got: ee22
Checksum failed. Expected: d0ef, Got: e360
Checksum failed. Expected: a739, Got: 6813
Checksum failed. Expected: 9f20, Got: f414
Checksum failed. Expected: cd5c, Got: 7bbf
Checksum failed. Expected: 6010, Got: f39e
Checksum failed. Expected: 1faa, Got: e8c0
Checksum failed. Expected: 0c7e, Got: 686f
Checksum failed. Expected: befa, Got: e217
Checksum failed. Expected: a381, Got: 6494
Checksum failed. Expected: 6f0e, Got: 6b38
Checksum failed. Expected: fbb1, Got: e9cd
Checksum failed. Expected: 96e1, Got: 679d
Checksum failed. Expected: 4ac7, Got: e414
Checksum failed. Expected: 2a7c, Got: d330
Checksum failed. Expected: 12c5, Got: daf8
Checksum failed. Expected: 8fc6, Got: 5a32
