
#################################################################
Log started at 2025-06-12_15-58-49 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 7705, Got: 0104
Checksum failed. Expected: 3b42, Got: 064c
Checksum failed. Expected: 6471, Got: 0c63
Checksum failed. Expected: 5e3b, Got: 0fea
Checksum failed. Expected: f73e, Got: 8962
Checksum failed. Expected: c7e9, Got: 835a
Checksum failed. Expected: 5248, Got: 4684
Checksum failed. Expected: 8edc, Got: 073f
Checksum failed. Expected: 75f6, Got: 854f
Checksum failed. Expected: bea1, Got: ff24
Checksum failed. Expected: 9679, Got: 7ab5
Checksum failed. Expected: 4830, Got: 7d79
Checksum failed. Expected: c0d7, Got: 8520
Checksum failed. Expected: 3a9f, Got: c1d3
Checksum failed. Expected: d338, Got: c4c2
Checksum failed. Expected: 4af2, Got: faa5
Checksum failed. Expected: e60d, Got: bab8
Checksum failed. Expected: 1b33, Got: 4538
Checksum failed. Expected: 12f8, Got: 444b
Checksum failed. Expected: b6ab, Got: 8162
Checksum failed. Expected: c65c, Got: 40af
Checksum failed. Expected: f652, Got: c096
Checksum failed. Expected: 5b70, Got: 80bd
Checksum failed. Expected: 500f, Got: 405b
Checksum failed. Expected: 1b12, Got: 866f
Checksum failed. Expected: f55b, Got: 4306
Checksum failed. Expected: 28dd, Got: 3d8f
Checksum failed. Expected: 51c3, Got: fd9b
Checksum failed. Expected: eb00, Got: 7b44
Checksum failed. Expected: cb5a, Got: 3eba
Checksum failed. Expected: e63e, Got: 7e90
Checksum failed. Expected: 6c06, Got: 40a3
Checksum failed. Expected: 2abf, Got: fe80
Checksum failed. Expected: 9a26, Got: 01d5
Checksum failed. Expected: 27ae, Got: 79bb
Checksum failed. Expected: b24c, Got: b889
Checksum failed. Expected: 6eef, Got: 7b83
Checksum failed. Expected: 9aaf, Got: 3ed5
Checksum failed. Expected: f144, Got: c008
Checksum failed. Expected: cb92, Got: 00c3
Checksum failed. Expected: 6e62, Got: 013c
Checksum failed. Expected: b24b, Got: ffe3
Checksum failed. Expected: ecb0, Got: 38ef
Checksum failed. Expected: 62e8, Got: ff80
Checksum failed. Expected: b77d, Got: c46c
Checksum failed. Expected: 940b, Got: 3e83
Checksum failed. Expected: 903e, Got: 7cc4
Checksum failed. Expected: c99d, Got: bac1
Checksum failed. Expected: 9dea, Got: 3de6
Checksum failed. Expected: b2b3, Got: fa7f
Checksum failed. Expected: 1446, Got: ba82
Checksum failed. Expected: 42db, Got: 7c57
Checksum failed. Expected: f8f4, Got: bcaa
Checksum failed. Expected: 2d3a, Got: 7e39
Checksum failed. Expected: 7f93, Got: c276
Checksum failed. Expected: 9b31, Got: 8d54
Checksum failed. Expected: 38ae, Got: 86ea
Checksum failed. Expected: 9ead, Got: 8190
Checksum failed. Expected: e213, Got: 4890
Checksum failed. Expected: 741d, Got: 890c
Checksum failed. Expected: 8d74, Got: 4489
Checksum failed. Expected: d9b9, Got: c747
Checksum failed. Expected: 63d7, Got: 4636
Checksum failed. Expected: e2e3, Got: 8580
Checksum failed. Expected: 218a, Got: bda9
Checksum failed. Expected: 98f5, Got: c235
Checksum failed. Expected: 7707, Got: 83b5
Checksum failed. Expected: ed37, Got: 852b
Checksum failed. Expected: e2c6, Got: 0359
Checksum failed. Expected: 6c3d, Got: 8c9e
Checksum failed. Expected: 749c, Got: c88f
Checksum failed. Expected: 8e59, Got: 84de
Checksum failed. Expected: 2544, Got: c247
Checksum failed. Expected: 4386, Got: c81f
Checksum failed. Expected: 5a82, Got: 04c0
Checksum failed. Expected: 28f5, Got: 3eaa
Checksum failed. Expected: 57da, Got: 8571
Checksum failed. Expected: 8db8, Got: 09f7
Checksum failed. Expected: d17c, Got: c7cf
Checksum failed. Expected: 96ca, Got: 8380
Checksum failed. Expected: 3665, Got: 7ac0
Checksum failed. Expected: 4675, Got: 7a3f
Checksum failed. Expected: a5bc, Got: bb5e
Checksum failed. Expected: 31ae, Got: bf87
Checksum failed. Expected: e4ea, Got: 8531
Checksum failed. Expected: 27f3, Got: 4acc
Checksum failed. Expected: df98, Got: 0bf3
Checksum failed. Expected: c94a, Got: 8324
Checksum failed. Expected: a040, Got: 4694
Checksum failed. Expected: d3de, Got: 815c
Checksum failed. Expected: 1d43, Got: bfc5
Checksum failed. Expected: 706c, Got: 8331
Checksum failed. Expected: 869f, Got: 026f
Checksum failed. Expected: bc1a, Got: 0473
Checksum failed. Expected: 70a1, Got: c250
Checksum failed. Expected: 59bd, Got: c44c
Checksum failed. Expected: c66c, Got: c492
Checksum failed. Expected: 1ed6, Got: feda
Checksum failed. Expected: 0acb, Got: f97c
Checksum failed. Expected: 17a7, Got: f8fc
Checksum failed. Expected: 81c1, Got: 445f
Checksum failed. Expected: a73e, Got: 8626
Checksum failed. Expected: ce9d, Got: 06ab
Checksum failed. Expected: b5e0, Got: 4768
Checksum failed. Expected: 4af5, Got: 819f
Checksum failed. Expected: 051c, Got: fb52
Checksum failed. Expected: 0b4b, Got: f75b
Checksum failed. Expected: 8d88, Got: bd32
Checksum failed. Expected: 4fad, Got: 82cf
Checksum failed. Expected: 3b20, Got: 455d
Checksum failed. Expected: 1ec4, Got: 0697
Checksum failed. Expected: abeb, Got: c92a
Checksum failed. Expected: b6cb, Got: 470a
Checksum failed. Expected: ff9e, Got: 4254
Checksum failed. Expected: 5497, Got: fedc
