
#################################################################
Log started at 2025-06-12_15-58-51 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: b177, Got: ad27
Checksum failed. Expected: 6811, Got: 2c22
Checksum failed. Expected: e4df, Got: 2c99
Checksum failed. Expected: 7c7e, Got: ae56
Checksum failed. Expected: 905a, Got: aa4f
Checksum failed. Expected: 5f91, Got: a6b7
Checksum failed. Expected: ea7f, Got: 3097
Checksum failed. Expected: 5efc, Got: 3749
Checksum failed. Expected: 6dc6, Got: b78c
Checksum failed. Expected: 22e3, Got: b2f5
Checksum failed. Expected: 5aac, Got: a9b0
Checksum failed. Expected: f837, Got: aa9d
Checksum failed. Expected: cbfa, Got: 2b06
Checksum failed. Expected: d530, Got: b264
Checksum failed. Expected: e6b7, Got: 3322
Checksum failed. Expected: 1ed0, Got: 9e10
Checksum failed. Expected: 8d7e, Got: 298f
Checksum failed. Expected: 19e3, Got: ade2
Checksum failed. Expected: ba60, Got: af71
Checksum failed. Expected: b5f7, Got: 24ac
Checksum failed. Expected: 972f, Got: a3fe
Checksum failed. Expected: 052b, Got: aa79
Checksum failed. Expected: 6fe6, Got: 2dec
Checksum failed. Expected: 75f5, Got: 3a9e
Checksum failed. Expected: 5dae, Got: bf79
Checksum failed. Expected: 070f, Got: 3ae6
Checksum failed. Expected: 6ad0, Got: aa4a
Checksum failed. Expected: 872f, Got: a10e
Checksum failed. Expected: 60cb, Got: 2be4
Checksum failed. Expected: 9e22, Got: b794
Checksum failed. Expected: b022, Got: b704
Checksum failed. Expected: 047d, Got: 39e3
Checksum failed. Expected: c5bb, Got: bad2
Checksum failed. Expected: a0dc, Got: 3838
Checksum failed. Expected: c77f, Got: af30
Checksum failed. Expected: ab48, Got: 30c0
Checksum failed. Expected: 7801, Got: 3237
Checksum failed. Expected: 6782, Got: 2a28
Checksum failed. Expected: df25, Got: ac8e
Checksum failed. Expected: c43d, Got: 32aa
Checksum failed. Expected: 78b3, Got: 2e30
Checksum failed. Expected: 3eb5, Got: 2e7f
Checksum failed. Expected: e5ec, Got: b3b2
Checksum failed. Expected: 0945, Got: b3b9
Checksum failed. Expected: 1de9, Got: b44d
Checksum failed. Expected: 54cc, Got: 3522
Checksum failed. Expected: 44e6, Got: 349f
Checksum failed. Expected: ef14, Got: ab42
Checksum failed. Expected: 9c94, Got: a541
Checksum failed. Expected: c241, Got: a4d7
Checksum failed. Expected: ee6d, Got: 282c
Checksum failed. Expected: 771d, Got: 3109
Checksum failed. Expected: 459b, Got: b1d8
Checksum failed. Expected: 7a44, Got: 2f99
Checksum failed. Expected: 9798, Got: a99e
Checksum failed. Expected: 7cb5, Got: 2a5f
Checksum failed. Expected: 5dac, Got: 296a
Checksum failed. Expected: 8f77, Got: a3ab
Checksum failed. Expected: 76e0, Got: 2d85
Checksum failed. Expected: ed91, Got: 347b
Checksum failed. Expected: a859, Got: 29ed
Checksum failed. Expected: ddf2, Got: 223a
Checksum failed. Expected: eb09, Got: 9dbf
Checksum failed. Expected: aa59, Got: 1c97
