
#################################################################
Log started at 2025-06-12_15-58-52 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ae94, Got: 2d61
Checksum failed. Expected: 8ea1, Got: 2f8d
Checksum failed. Expected: 67f6, Got: b3ac
Checksum failed. Expected: 8be8, Got: bafc
Checksum failed. Expected: e69c, Got: b742
Checksum failed. Expected: 5753, Got: 32cc
Checksum failed. Expected: ce89, Got: c4ba
Checksum failed. Expected: b6a5, Got: 4552
Checksum failed. Expected: a496, Got: c381
Checksum failed. Expected: 3c43, Got: 3ac8
Checksum failed. Expected: 9ebd, Got: b4b4
Checksum failed. Expected: 8b6a, Got: b051
Checksum failed. Expected: 03e8, Got: b18e
Checksum failed. Expected: a854, Got: 40c0
Checksum failed. Expected: ab43, Got: 45ca
Checksum failed. Expected: deb7, Got: c178
Checksum failed. Expected: a5c0, Got: b776
Checksum failed. Expected: f630, Got: aafa
Checksum failed. Expected: 7004, Got: a5f7
Checksum failed. Expected: c3d4, Got: 9ecf
Checksum failed. Expected: a213, Got: 27ed
Checksum failed. Expected: c277, Got: a8f2
Checksum failed. Expected: 1dd4, Got: a83a
Checksum failed. Expected: bd93, Got: 29c4
Checksum failed. Expected: bdfb, Got: 1dd3
Checksum failed. Expected: ba64, Got: 9dd0
Checksum failed. Expected: a2a3, Got: a239
Checksum failed. Expected: 2db4, Got: 1a76
Checksum failed. Expected: 2969, Got: 9f41
Checksum failed. Expected: c93d, Got: 16f7
Checksum failed. Expected: b51c, Got: 1ae8
Checksum failed. Expected: 95d7, Got: 2330
Checksum failed. Expected: 52de, Got: a035
Checksum failed. Expected: f320, Got: 2889
Checksum failed. Expected: 02f1, Got: 20e5
Checksum failed. Expected: 77e2, Got: 1af3
Checksum failed. Expected: 629d, Got: 8bcd
Checksum failed. Expected: 4c7f, Got: 0fc1
Checksum failed. Expected: 5043, Got: 14ec
Checksum failed. Expected: b876, Got: 9b6e
Checksum failed. Expected: 31f3, Got: 1fac
Checksum failed. Expected: a0a0, Got: 9d1d
Checksum failed. Expected: 8574, Got: 9bb4
Checksum failed. Expected: 6cc3, Got: 9632
Checksum failed. Expected: e6ee, Got: 96b6
Checksum failed. Expected: 7205, Got: 9f0b
Checksum failed. Expected: 9073, Got: a473
Checksum failed. Expected: 2f90, Got: 2e14
Checksum failed. Expected: 139f, Got: b5ab
Checksum failed. Expected: ac09, Got: 3356
Checksum failed. Expected: 83dd, Got: b427
Checksum failed. Expected: 0b3f, Got: ba75
Checksum failed. Expected: a8b6, Got: b1b2
Checksum failed. Expected: dac3, Got: a775
Checksum failed. Expected: c669, Got: 34c3
Checksum failed. Expected: 0021, Got: b48e
Checksum failed. Expected: bd50, Got: b2a4
Checksum failed. Expected: ee7f, Got: b094
Checksum failed. Expected: 46a6, Got: 3923
Checksum failed. Expected: 5226, Got: 3465
Checksum failed. Expected: bd19, Got: 35d2
Checksum failed. Expected: 8afb, Got: bb26
Checksum failed. Expected: 17d3, Got: 338e
Checksum failed. Expected: a063, Got: b2be
Checksum failed. Expected: 0c72, Got: 3605
Checksum failed. Expected: 19f9, Got: bb1e
Checksum failed. Expected: f0a8, Got: b77b
Checksum failed. Expected: 789e, Got: 2e15
Checksum failed. Expected: d0d7, Got: acb0
Checksum failed. Expected: 6bc4, Got: afae
Checksum failed. Expected: dfdc, Got: b323
Checksum failed. Expected: ff30, Got: 359e
Checksum failed. Expected: 835b, Got: 2e70
Checksum failed. Expected: 062a, Got: 2740
Checksum failed. Expected: 7c29, Got: 3005
Checksum failed. Expected: e982, Got: 3067
Checksum failed. Expected: 80d4, Got: b2e9
Checksum failed. Expected: 517f, Got: 3190
Checksum failed. Expected: d56f, Got: 3326
Checksum failed. Expected: ee38, Got: 28f5
Checksum failed. Expected: 74f0, Got: 258a
