
#################################################################
Log started at 2025-06-12_15-58-55 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 3fcc, Got: 1c37
Checksum failed. Expected: 0353, Got: 9287
Checksum failed. Expected: e281, Got: 207b
Checksum failed. Expected: a2dc, Got: b36a
Checksum failed. Expected: 4761, Got: b501
Checksum failed. Expected: cc96, Got: 2fe8
Checksum failed. Expected: 6ea2, Got: a9da
Checksum failed. Expected: 26fa, Got: 3364
Checksum failed. Expected: 64e7, Got: 2a99
Checksum failed. Expected: 31c1, Got: 30a1
Checksum failed. Expected: cb50, Got: 3b9d
Checksum failed. Expected: afdb, Got: 3c02
Checksum failed. Expected: b6db, Got: b635
Checksum failed. Expected: a9a9, Got: b543
Checksum failed. Expected: c5b4, Got: b9c0
Checksum failed. Expected: 1ef7, Got: 3660
Checksum failed. Expected: 0f70, Got: 4045
Checksum failed. Expected: 0a22, Got: c34c
Checksum failed. Expected: 1a65, Got: 3556
Checksum failed. Expected: a2fa, Got: 39ba
Checksum failed. Expected: 669d, Got: 3fdd
Checksum failed. Expected: 066c, Got: be91
Checksum failed. Expected: 2925, Got: c444
Checksum failed. Expected: 4587, Got: 3de6
Checksum failed. Expected: 3108, Got: c065
Checksum failed. Expected: 75d6, Got: 3da2
Checksum failed. Expected: 58f4, Got: bc57
Checksum failed. Expected: 9668, Got: b794
Checksum failed. Expected: fbc0, Got: b5ce
Checksum failed. Expected: 3b23, Got: 2dab
Checksum failed. Expected: 6723, Got: b1fc
Checksum failed. Expected: 405e, Got: 2e7e
Checksum failed. Expected: cd5c, Got: 30da
Checksum failed. Expected: 3f55, Got: b6c2
Checksum failed. Expected: e4b1, Got: b248
Checksum failed. Expected: 7f86, Got: 2e9f
Checksum failed. Expected: c90f, Got: adce
Checksum failed. Expected: b508, Got: 29be
Checksum failed. Expected: b1cf, Got: a4e1
Checksum failed. Expected: 07d9, Got: 34d1
Checksum failed. Expected: 4d4e, Got: b210
Checksum failed. Expected: ae5c, Got: a9f8
Checksum failed. Expected: 9091, Got: 2721
Checksum failed. Expected: bede, Got: 2532
Checksum failed. Expected: e701, Got: 2f66
Checksum failed. Expected: 0eb3, Got: 3c95
Checksum failed. Expected: bc30, Got: b7a7
Checksum failed. Expected: fa23, Got: 33b7
Checksum failed. Expected: daee, Got: 2bbb
Checksum failed. Expected: 7033, Got: 2cd3
Checksum failed. Expected: 6c9b, Got: b34e
Checksum failed. Expected: 7db1, Got: 3c7f
Checksum failed. Expected: 5da8, Got: bd14
Checksum failed. Expected: 0d35, Got: 36ca
Checksum failed. Expected: 91a3, Got: 2e00
Checksum failed. Expected: 955a, Got: aac8
Checksum failed. Expected: 636f, Got: 2a22
Checksum failed. Expected: 64f6, Got: ab79
Checksum failed. Expected: 8aa5, Got: 3410
Checksum failed. Expected: b364, Got: c0ab
Checksum failed. Expected: 29c8, Got: c026
Checksum failed. Expected: a9d9, Got: 39d1
Checksum failed. Expected: fc71, Got: 30fc
Checksum failed. Expected: 0627, Got: 298c
Checksum failed. Expected: b7f6, Got: b261
Checksum failed. Expected: f324, Got: bbae
Checksum failed. Expected: bb10, Got: bf88
Checksum failed. Expected: 6f12, Got: c2a0
Checksum failed. Expected: a114, Got: bf1f
Checksum failed. Expected: 6e42, Got: 3e3d
Checksum failed. Expected: f6a6, Got: c401
Checksum failed. Expected: d211, Got: 46d6
Checksum failed. Expected: d098, Got: c056
Checksum failed. Expected: 0faa, Got: 3fae
Checksum failed. Expected: ce4e, Got: 2eb4
Checksum failed. Expected: 1c9c, Got: a8a4
Checksum failed. Expected: e74c, Got: b2f5
Checksum failed. Expected: 8f0e, Got: 398d
Checksum failed. Expected: a4d9, Got: 40ce
Checksum failed. Expected: cdad, Got: c515
Checksum failed. Expected: 7c92, Got: bc34
Checksum failed. Expected: 608b, Got: b574
Checksum failed. Expected: b853, Got: b50e
Checksum failed. Expected: 764c, Got: 38bf
Checksum failed. Expected: a704, Got: be19
Checksum failed. Expected: 03ba, Got: 4089
Checksum failed. Expected: 07a6, Got: 33f8
Checksum failed. Expected: 4e9d, Got: a9d0
Checksum failed. Expected: fc69, Got: 2686
Checksum failed. Expected: 85a0, Got: a273
Checksum failed. Expected: 7f7b, Got: 2b84
Checksum failed. Expected: 9d6a, Got: 32f8
Checksum failed. Expected: f0a6, Got: 359e
Checksum failed. Expected: 8da2, Got: aab0
Checksum failed. Expected: 2c8d, Got: 9e46
Checksum failed. Expected: ab62, Got: a83a
Checksum failed. Expected: 284c, Got: 3198
Checksum failed. Expected: c814, Got: b7c0
Checksum failed. Expected: 6873, Got: bad0
Checksum failed. Expected: 9817, Got: bc46
Checksum failed. Expected: 6ece, Got: b2ad
Checksum failed. Expected: 85f2, Got: 3273
Checksum failed. Expected: 24be, Got: b006
Checksum failed. Expected: 4383, Got: 27cc
Checksum failed. Expected: 83dd, Got: a43a
Checksum failed. Expected: dbbe, Got: a805
Checksum failed. Expected: 7976, Got: ab4f
Checksum failed. Expected: bfb4, Got: 2def
Checksum failed. Expected: ecb1, Got: 3534
Checksum failed. Expected: 1d63, Got: b38a
Checksum failed. Expected: 97be, Got: 303e
Checksum failed. Expected: e690, Got: b370
Checksum failed. Expected: cd7c, Got: 3c6c
Checksum failed. Expected: 90cf, Got: bef9
Checksum failed. Expected: 922b, Got: 385b
Checksum failed. Expected: 1567, Got: 2ee9
Checksum failed. Expected: 1835, Got: 3149
Checksum failed. Expected: ec8c, Got: 3246
Checksum failed. Expected: 5280, Got: b705
Checksum failed. Expected: 315d, Got: 3616
Checksum failed. Expected: 2891, Got: bdec
Checksum failed. Expected: f2da, Got: 3f92
Checksum failed. Expected: 1951, Got: 3ab3
Checksum failed. Expected: dec7, Got: 3639
Checksum failed. Expected: ba83, Got: 3548
Checksum failed. Expected: e1d0, Got: bf3f
Checksum failed. Expected: 3af4, Got: bed1
Checksum failed. Expected: b5ae, Got: c902
Checksum failed. Expected: 2cd7, Got: c8b5
Checksum failed. Expected: 5962, Got: 3a60
Checksum failed. Expected: c4cf, Got: ad3e
Checksum failed. Expected: 8072, Got: b06b
Checksum failed. Expected: c245, Got: 3623
Checksum failed. Expected: d6d2, Got: b939
Checksum failed. Expected: 6144, Got: b76a
Checksum failed. Expected: 7c73, Got: b038
Checksum failed. Expected: 233e, Got: bb10
Checksum failed. Expected: 6901, Got: 3bdc
Checksum failed. Expected: b317, Got: bf48
Checksum failed. Expected: 941a, Got: bc77
Checksum failed. Expected: 3fd5, Got: 2ed4
Checksum failed. Expected: 3d98, Got: ae77
Checksum failed. Expected: 3b8c, Got: af11
Checksum failed. Expected: 3876, Got: a83f
Checksum failed. Expected: 1cd2, Got: 2b50
Checksum failed. Expected: b13f, Got: 24b9
Checksum failed. Expected: d18a, Got: 2b1e
Checksum failed. Expected: 265e, Got: 378f
Checksum failed. Expected: 17dc, Got: 3b51
Checksum failed. Expected: 6d94, Got: b664
Checksum failed. Expected: a8e8, Got: abfa
Checksum failed. Expected: 916e, Got: 2810
Checksum failed. Expected: 45a8, Got: 288f
Checksum failed. Expected: 6809, Got: 2b51
Checksum failed. Expected: fc88, Got: 304b
Checksum failed. Expected: 5bc5, Got: b115
Checksum failed. Expected: 6f1b, Got: b1dd
Checksum failed. Expected: 8ac5, Got: a9ac
Checksum failed. Expected: 785f, Got: b204
Checksum failed. Expected: ed2d, Got: 31a2
Checksum failed. Expected: 349f, Got: 30cb
Checksum failed. Expected: 54ef, Got: b2c2
Checksum failed. Expected: 1ba6, Got: ba39
Checksum failed. Expected: ec71, Got: 2f73
Checksum failed. Expected: 0583, Got: ac22
Checksum failed. Expected: 2c1e, Got: 289f
Checksum failed. Expected: b327, Got: 332d
Checksum failed. Expected: 7577, Got: 38e0
Checksum failed. Expected: 0bad, Got: bfce
Checksum failed. Expected: 73c2, Got: c16a
Checksum failed. Expected: 97f8, Got: b138
Checksum failed. Expected: 322b, Got: 2a57
Checksum failed. Expected: 90a7, Got: ab56
Checksum failed. Expected: 6645, Got: a648
Checksum failed. Expected: de6a, Got: ad29
Checksum failed. Expected: fbe5, Got: 35eb
Checksum failed. Expected: 219f, Got: ae19
Checksum failed. Expected: e507, Got: b08d
Checksum failed. Expected: b820, Got: 3388
Checksum failed. Expected: 4635, Got: b6c2
Checksum failed. Expected: 9e97, Got: 3ce9
Checksum failed. Expected: d420, Got: 3d31
Checksum failed. Expected: 6937, Got: bc3f
Checksum failed. Expected: 9abd, Got: 3b3d
Checksum failed. Expected: 876a, Got: b15c
Checksum failed. Expected: 0b77, Got: b93d
Checksum failed. Expected: 04e3, Got: bb86
Checksum failed. Expected: cff6, Got: 402f
Checksum failed. Expected: 078b, Got: c110
Checksum failed. Expected: e92e, Got: c487
Checksum failed. Expected: 90ed, Got: b629
Checksum failed. Expected: a206, Got: 280c
Checksum failed. Expected: c485, Got: 24fc
Checksum failed. Expected: 9cfe, Got: 27d7
Checksum failed. Expected: da4b, Got: b41d
Checksum failed. Expected: ff68, Got: 2fee
Checksum failed. Expected: 88d6, Got: 3952
Checksum failed. Expected: 75fc, Got: bc38
Checksum failed. Expected: 7e6c, Got: 389b
Checksum failed. Expected: 54d6, Got: c662
Checksum failed. Expected: ca01, Got: c8ab
Checksum failed. Expected: 36d2, Got: b807
Checksum failed. Expected: b5e1, Got: 2b8d
Checksum failed. Expected: cc46, Got: 340a
Checksum failed. Expected: c849, Got: 3b28
Checksum failed. Expected: b9cb, Got: 38b9
Checksum failed. Expected: f2ed, Got: c026
Checksum failed. Expected: 28c4, Got: 3c40
Checksum failed. Expected: bdfb, Got: 37ee
Checksum failed. Expected: e7b1, Got: abfc
Checksum failed. Expected: 20ab, Got: 327b
Checksum failed. Expected: aa57, Got: b9ba
Checksum failed. Expected: 68c9, Got: c401
Checksum failed. Expected: 5167, Got: bb61
Checksum failed. Expected: e2ef, Got: 3091
Checksum failed. Expected: cb4a, Got: 4010
Checksum failed. Expected: d26e, Got: 4057
