
#################################################################
Log started at 2025-06-12_15-58-59 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 3286, Got: ae2a
Checksum failed. Expected: cb85, Got: ae0a
Checksum failed. Expected: 8239, Got: 33a3
Checksum failed. Expected: 44d1, Got: 2bd3
Checksum failed. Expected: 46ec, Got: 28d6
Checksum failed. Expected: 15db, Got: a9e2
Checksum failed. Expected: 5dad, Got: ad29
Checksum failed. Expected: 0cfe, Got: b0e6
Checksum failed. Expected: 005b, Got: 2739
Checksum failed. Expected: 6221, Got: 2071
Checksum failed. Expected: be32, Got: 99c3
Checksum failed. Expected: db8d, Got: 1d72
Checksum failed. Expected: 8afe, Got: 9af0
Checksum failed. Expected: f580, Got: 1cf5
Checksum failed. Expected: 3992, Got: 9ca4
Checksum failed. Expected: 564a, Got: a5b6
Checksum failed. Expected: 58d2, Got: 286a
Checksum failed. Expected: 68bf, Got: 2b24
Checksum failed. Expected: 7b7a, Got: 2b02
Checksum failed. Expected: b4cd, Got: 27b8
Checksum failed. Expected: 91c8, Got: 9f15
Checksum failed. Expected: 8b7a, Got: 9db7
Checksum failed. Expected: f603, Got: a08b
Checksum failed. Expected: 6fab, Got: 272b
Checksum failed. Expected: 4048, Got: 2be2
Checksum failed. Expected: beb8, Got: 2410
Checksum failed. Expected: 642d, Got: 20da
Checksum failed. Expected: 7d68, Got: 26ec
Checksum failed. Expected: 323e, Got: ac78
Checksum failed. Expected: 16e4, Got: 23bc
Checksum failed. Expected: 6439, Got: 9892
Checksum failed. Expected: 029e, Got: 9404
Checksum failed. Expected: d7f5, Got: 9588
Checksum failed. Expected: e4be, Got: 9c3d
Checksum failed. Expected: d642, Got: a168
Checksum failed. Expected: 8229, Got: 1549
Checksum failed. Expected: 6ae1, Got: 1c85
Checksum failed. Expected: 6541, Got: 26f2
Checksum failed. Expected: 996b, Got: 274c
Checksum failed. Expected: 6167, Got: 1edb
Checksum failed. Expected: ca2c, Got: a4c1
Checksum failed. Expected: 165c, Got: 1fdf
Checksum failed. Expected: 8e09, Got: 9a00
Checksum failed. Expected: 80c1, Got: 2108
Checksum failed. Expected: e3d0, Got: 23b7
Checksum failed. Expected: dc6a, Got: 2236
Checksum failed. Expected: d868, Got: a5f6
Checksum failed. Expected: 3cdc, Got: a98b
Checksum failed. Expected: 5381, Got: 9d4d
Checksum failed. Expected: 8672, Got: 9c17
Checksum failed. Expected: 7853, Got: 25da
Checksum failed. Expected: 617b, Got: a94b
Checksum failed. Expected: c581, Got: aa44
Checksum failed. Expected: 5ee1, Got: 3284
Checksum failed. Expected: d37e, Got: ad12
Checksum failed. Expected: 4908, Got: a4f6
Checksum failed. Expected: 9814, Got: a9c3
Checksum failed. Expected: 7b63, Got: a778
Checksum failed. Expected: 217d, Got: 18ac
Checksum failed. Expected: ffa0, Got: 946d
Checksum failed. Expected: 5796, Got: 2311
Checksum failed. Expected: d820, Got: a62b
Checksum failed. Expected: 4746, Got: 2fe2
Checksum failed. Expected: 0098, Got: b239
Checksum failed. Expected: c1bd, Got: ad8e
Checksum failed. Expected: fdbc, Got: a92a
Checksum failed. Expected: 9517, Got: 2624
Checksum failed. Expected: e463, Got: a84c
Checksum failed. Expected: d9d8, Got: aabf
Checksum failed. Expected: fd38, Got: ba6d
Checksum failed. Expected: f3b3, Got: 30d4
Checksum failed. Expected: 286e, Got: 2c0e
Checksum failed. Expected: bcad, Got: 33fa
Checksum failed. Expected: e300, Got: 357b
Checksum failed. Expected: 1911, Got: b715
Checksum failed. Expected: 421f, Got: 31e4
Checksum failed. Expected: c64a, Got: 34da
Checksum failed. Expected: 18ce, Got: bf19
Checksum failed. Expected: bd6c, Got: b2be
Checksum failed. Expected: dc97, Got: 9e32
Checksum failed. Expected: 549b, Got: ae3f
Checksum failed. Expected: fd69, Got: b77e
Checksum failed. Expected: c2b0, Got: 4380
Checksum failed. Expected: 1ad9, Got: 44ce
Checksum failed. Expected: bfb8, Got: b8de
Checksum failed. Expected: fe6f, Got: 34ba
Checksum failed. Expected: b421, Got: bee1
Checksum failed. Expected: 2dd5, Got: b76c
Checksum failed. Expected: 4d90, Got: 2f3c
Checksum failed. Expected: 3806, Got: a7cc
Checksum failed. Expected: dbcd, Got: a8d1
