
#################################################################
Log started at 2025-06-12_16-18-32 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 4227, Got: a9fc
Checksum failed. Expected: 4eee, Got: 1894
Checksum failed. Expected: 0d60, Got: 872b
Checksum failed. Expected: 4182, Got: f5c3
Checksum failed. Expected: f9c4, Got: 645a
Checksum failed. Expected: 3325, Got: d2f2
Checksum failed. Expected: 2269, Got: 418a
Checksum failed. Expected: 96e3, Got: b021
Checksum failed. Expected: 1369, Got: 47ae
Checksum failed. Expected: 6c0a, Got: b646
Checksum failed. Expected: 42dc, Got: 24de
Checksum failed. Expected: 78d9, Got: 9375
Checksum failed. Expected: 72b6, Got: 020d
Checksum failed. Expected: 080c, Got: 70a4
Checksum failed. Expected: 23d8, Got: df3c
Checksum failed. Expected: 251e, Got: 4dd3
Checksum failed. Expected: b211, Got: bc6b
Checksum failed. Expected: 127b, Got: 2b02
Checksum failed. Expected: 9196, Got: 999a
Checksum failed. Expected: 3c2e, Got: 0831
Checksum failed. Expected: 1643, Got: 76c9
Checksum failed. Expected: 2128, Got: e561
Checksum failed. Expected: d302, Got: 53f8
Checksum failed. Expected: 70e1, Got: c290
Checksum failed. Expected: 5033, Got: 3127
Checksum failed. Expected: 9518, Got: 9fbf
Checksum failed. Expected: 2962, Got: 0e56
Checksum failed. Expected: 4a65, Got: 7cee
Checksum failed. Expected: 2ae4, Got: eb85
Checksum failed. Expected: 2a21, Got: 5a1d
Checksum failed. Expected: 074d, Got: c8b5
Checksum failed. Expected: 856f, Got: 374c
Checksum failed. Expected: 5930, Got: a5e4
Checksum failed. Expected: 5860, Got: 147b
Checksum failed. Expected: 5127, Got: 8313
Checksum failed. Expected: 33ba, Got: f1aa
Checksum failed. Expected: 3e99, Got: 6042
Checksum failed. Expected: 4d8d, Got: ced9
Checksum failed. Expected: 4baa, Got: 3d71
Checksum failed. Expected: 5434, Got: ac09
Checksum failed. Expected: f0da, Got: 1aa0
Checksum failed. Expected: 3d59, Got: 8938
Checksum failed. Expected: 6afa, Got: f7cf
Checksum failed. Expected: fe63, Got: 6667
Checksum failed. Expected: 1075, Got: d4fe
Checksum failed. Expected: 0202, Got: 4396
Checksum failed. Expected: 91ea, Got: b22d
Checksum failed. Expected: 7167, Got: 20c5
Checksum failed. Expected: c0e3, Got: 8f5d
Checksum failed. Expected: 6b74, Got: fdf4
Checksum failed. Expected: 8d95, Got: 6c8c
Checksum failed. Expected: 5aed, Got: db23
Checksum failed. Expected: 077d, Got: 49bb
Checksum failed. Expected: 8467, Got: b852
Checksum failed. Expected: 5620, Got: 26ea
Checksum failed. Expected: 0096, Got: 9581
Checksum failed. Expected: a2af, Got: 0419
Checksum failed. Expected: b4c1, Got: 72b0
Checksum failed. Expected: 4945, Got: e148
Checksum failed. Expected: bcad, Got: 4fe0
Checksum failed. Expected: b365, Got: be77
Checksum failed. Expected: 0a58, Got: 2d0f
Checksum failed. Expected: 22ca, Got: 9ba6
Checksum failed. Expected: 57f5, Got: 0a3e
Checksum failed. Expected: 54ed, Got: 78d5
Checksum failed. Expected: 3371, Got: e76d
Checksum failed. Expected: 27e7, Got: 5604
Checksum failed. Expected: 02f4, Got: c49c
Checksum failed. Expected: 1320, Got: 3334
Checksum failed. Expected: 8bc6, Got: a1cb
Checksum failed. Expected: cdb3, Got: 1063
Checksum failed. Expected: 06e7, Got: 7efa
Checksum failed. Expected: 0753, Got: ed92
Checksum failed. Expected: 2fa1, Got: 5c29
Checksum failed. Expected: 4834, Got: cac1
Checksum failed. Expected: 0184, Got: 3958
Checksum failed. Expected: 86ff, Got: a7f0
Checksum failed. Expected: a09d, Got: 1688
Checksum failed. Expected: 8761, Got: 851f
Checksum failed. Expected: 1aa9, Got: f3b7
Checksum failed. Expected: c85f, Got: 624e
Checksum failed. Expected: bee6, Got: d0e6
Checksum failed. Expected: 425c, Got: 3f7d
Checksum failed. Expected: 3c31, Got: ae15
Checksum failed. Expected: bd69, Got: 1cac
Checksum failed. Expected: 2dc6, Got: 8b44
Checksum failed. Expected: 7c4f, Got: f9db
Checksum failed. Expected: 883c, Got: 6873
Checksum failed. Expected: 33b8, Got: d70b
Checksum failed. Expected: 3c54, Got: 45a2
Checksum failed. Expected: 2777, Got: b43a
Checksum failed. Expected: 3667, Got: 22d1
Checksum failed. Expected: f0dc, Got: 9169
Checksum failed. Expected: 9b3d, Got: 0000
Checksum failed. Expected: 9826, Got: 6e98
Checksum failed. Expected: a2fd, Got: dd2f
Checksum failed. Expected: 8052, Got: 4bc7
Checksum failed. Expected: 1f3a, Got: ba5f
Checksum failed. Expected: 9e4a, Got: 28f6
Checksum failed. Expected: 406f, Got: 978e
Checksum failed. Expected: 44c5, Got: 0625
Checksum failed. Expected: 749a, Got: 74bd
Checksum failed. Expected: ed77, Got: e354
Checksum failed. Expected: aa0a, Got: 51ec
Checksum failed. Expected: ecd0, Got: c083
Checksum failed. Expected: d7e7, Got: 2f1b
Checksum failed. Expected: c4f3, Got: 9db3
Checksum failed. Expected: bcb5, Got: 0c4a
Checksum failed. Expected: 2586, Got: 7ae2
Checksum failed. Expected: 4267, Got: e979
Checksum failed. Expected: df2e, Got: 5811
Checksum failed. Expected: 725a, Got: c6a8
Checksum failed. Expected: a569, Got: 3540
Checksum failed. Expected: e4fd, Got: a3d7
Checksum failed. Expected: e988, Got: 126f
Checksum failed. Expected: c06c, Got: 8106
Checksum failed. Expected: e9e8, Got: ef9e
Checksum failed. Expected: f4c0, Got: 5e36
Checksum failed. Expected: dc86, Got: cccd
Checksum failed. Expected: b6c3, Got: 3b65
Checksum failed. Expected: 743d, Got: a9fc
Checksum failed. Expected: 3510, Got: 1894
Checksum failed. Expected: 4e6e, Got: 872b
Checksum failed. Expected: a688, Got: f5c3
Checksum failed. Expected: 3e0a, Got: 645a
Checksum failed. Expected: 160f, Got: d2f2
Checksum failed. Expected: b601, Got: 418a
Checksum failed. Expected: 3e93, Got: b021
Checksum failed. Expected: 1586, Got: 1eb9
Checksum failed. Expected: e40e, Got: 8d50
Checksum failed. Expected: 8d8a, Got: fbe8
Checksum failed. Expected: 528e, Got: 6a7f
Checksum failed. Expected: aa87, Got: d917
Checksum failed. Expected: 4a71, Got: 47ae
Checksum failed. Expected: 6ea6, Got: b646
Checksum failed. Expected: eca8, Got: 24de
Checksum failed. Expected: 556f, Got: 9375
Checksum failed. Expected: 8216, Got: 020d
Checksum failed. Expected: 284c, Got: 70a4
Checksum failed. Expected: ea3a, Got: df3c
Checksum failed. Expected: 85de, Got: 4dd3
Checksum failed. Expected: 3291, Got: bc6b
Checksum failed. Expected: cf51, Got: 2b02
Checksum failed. Expected: f8b8, Got: 999a
Checksum failed. Expected: 0f38, Got: 0831
Checksum failed. Expected: 04c7, Got: 76c9
Checksum failed. Expected: d03a, Got: e561
Checksum failed. Expected: 0ebc, Got: 53f8
Checksum failed. Expected: 591f, Got: c290
Checksum failed. Expected: 9de9, Got: 3127
Checksum failed. Expected: e0b2, Got: 9fbf
Checksum failed. Expected: 6d9a, Got: 0e56
Checksum failed. Expected: 36cd, Got: 7cee
Checksum failed. Expected: 54b0, Got: eb85
Checksum failed. Expected: e913, Got: 5a1d
Checksum failed. Expected: 583b, Got: c8b5
Checksum failed. Expected: 3049, Got: 374c
Checksum failed. Expected: ab2c, Got: a5e4
Checksum failed. Expected: ba3c, Got: 147b
Checksum failed. Expected: a75b, Got: 8313
Checksum failed. Expected: 7090, Got: f1aa
Checksum failed. Expected: d669, Got: 6042
Checksum failed. Expected: 27f9, Got: ced9
Checksum failed. Expected: 4e54, Got: 3d71
Checksum failed. Expected: 0238, Got: ac09
Checksum failed. Expected: 482a, Got: 1aa0
Checksum failed. Expected: dea7, Got: 8938
Checksum failed. Expected: 6426, Got: f7cf
Checksum failed. Expected: 701f, Got: 6667
Checksum failed. Expected: 7bcf, Got: d4fe
Checksum failed. Expected: 8282, Got: 4396
Checksum failed. Expected: 86d0, Got: b22d
Checksum failed. Expected: c255, Got: 20c5
Checksum failed. Expected: eaaf, Got: 8f5d
Checksum failed. Expected: d5c0, Got: fdf4
Checksum failed. Expected: 0bf9, Got: 6c8c
Checksum failed. Expected: 829d, Got: db23
Checksum failed. Expected: 4cc3, Got: 49bb
Checksum failed. Expected: fb69, Got: b852
Checksum failed. Expected: 8532, Got: 26ea
Checksum failed. Expected: 360a, Got: 9581
Checksum failed. Expected: f9f1, Got: 0419
Checksum failed. Expected: cd9f, Got: 72b0
Checksum failed. Expected: fc8f, Got: e148
Checksum failed. Expected: 26f9, Got: 4fe0
Checksum failed. Expected: 986b, Got: be77
Checksum failed. Expected: 690a, Got: 2d0f
Checksum failed. Expected: fc36, Got: 9ba6
Checksum failed. Expected: 6971, Got: 0a3e
Checksum failed. Expected: b7d7, Got: 78d5
Checksum failed. Expected: 3837, Got: e76d
Checksum failed. Expected: 0ced, Got: 5604
Checksum failed. Expected: 2018, Got: c49c
Checksum failed. Expected: eb70, Got: 3334
Checksum failed. Expected: 2b06, Got: a1cb
Checksum failed. Expected: a93b, Got: 1063
Checksum failed. Expected: d181, Got: 7efa
Checksum failed. Expected: d94f, Got: ed92
Checksum failed. Expected: 8b29, Got: 5c29
Checksum failed. Expected: 2a10, Got: cac1
Checksum failed. Expected: b914, Got: 3958
Checksum failed. Expected: 5f5d, Got: a7f0
Checksum failed. Expected: 9df3, Got: 1688
Checksum failed. Expected: f701, Got: 851f
Checksum failed. Expected: dc51, Got: ae15
Checksum failed. Expected: 3bcd, Got: 1cac
Checksum failed. Expected: a19e, Got: 8b44
Checksum failed. Expected: 1749, Got: f9db
Checksum failed. Expected: 30ec, Got: 6873
Checksum failed. Expected: d3f8, Got: d70b
Checksum failed. Expected: 781c, Got: 45a2
Checksum failed. Expected: 26e9, Got: b43a
Checksum failed. Expected: ad69, Got: 22d1
Checksum failed. Expected: 5b36, Got: 9169
Checksum failed. Expected: 341b, Got: 0000
Checksum failed. Expected: 41e4, Got: 6e98
Checksum failed. Expected: ae25, Got: dd2f
Checksum failed. Expected: aa1e, Got: 4bc7
Checksum failed. Expected: 8986, Got: ba5f
Checksum failed. Expected: 5b20, Got: 28f6
Checksum failed. Expected: 4b89, Got: 978e
Checksum failed. Expected: 86e1, Got: 0625
Checksum failed. Expected: f960, Got: 74bd
Checksum failed. Expected: 821d, Got: e354
Checksum failed. Expected: 5b38, Got: 51ec
Checksum failed. Expected: da54, Got: c083
Checksum failed. Expected: af37, Got: 2f1b
Checksum failed. Expected: 3f2d, Got: 9db3
Checksum failed. Expected: f98b, Got: 0c4a
Checksum failed. Expected: 58d0, Got: 7ae2
Checksum failed. Expected: 1ab7, Got: e979
Checksum failed. Expected: e610, Got: 5811
Checksum failed. Expected: b692, Got: c6a8
Checksum failed. Expected: d25f, Got: 3540
Checksum failed. Expected: d7c7, Got: a3d7
Checksum failed. Expected: 9bc4, Got: 126f
Checksum failed. Expected: 7b26, Got: 8106
Checksum failed. Expected: 9198, Got: ef9e
Checksum failed. Expected: 37ea, Got: 5e36
Checksum failed. Expected: d9dc, Got: cccd
Checksum failed. Expected: c2eb, Got: 3b65
Checksum failed. Expected: 2bbf, Got: a9fc
Checksum failed. Expected: 02c6, Got: 1894
Checksum failed. Expected: 70ca, Got: 872b
Checksum failed. Expected: 1952, Got: f5c3
Checksum failed. Expected: 9222, Got: 645a
Checksum failed. Expected: 3109, Got: d2f2
Checksum failed. Expected: 6f9f, Got: 418a
Checksum failed. Expected: 8f81, Got: b021
Checksum failed. Expected: 13ea, Got: 1eb9
Checksum failed. Expected: b826, Got: 8d50
Checksum failed. Expected: 50b4, Got: fbe8
Checksum failed. Expected: bcda, Got: 6a7f
Checksum failed. Expected: 0d71, Got: d917
Checksum failed. Expected: 00e5, Got: 47ae
Checksum failed. Expected: 34fa, Got: b646
Checksum failed. Expected: 07a2, Got: 24de
Checksum failed. Expected: da35, Got: 9375
Checksum failed. Expected: d73c, Got: 020d
Checksum failed. Expected: e414, Got: 70a4
Checksum failed. Expected: 9b68, Got: df3c
Checksum failed. Expected: f8a8, Got: 4dd3
Checksum failed. Expected: b757, Got: bc6b
Checksum failed. Expected: 3781, Got: 2b02
Checksum failed. Expected: 94c0, Got: 999a
Checksum failed. Expected: 1728, Got: 0831
Checksum failed. Expected: ab69, Got: 76c9
Checksum failed. Expected: 2128, Got: e561
Checksum failed. Expected: 05be, Got: 53f8
Checksum failed. Expected: baed, Got: c290
Checksum failed. Expected: b39d, Got: 3127
Checksum failed. Expected: 2822, Got: 9fbf
Checksum failed. Expected: 2962, Got: 0e56
Checksum failed. Expected: eb33, Got: 7cee
Checksum failed. Expected: 05de, Got: eb85
Checksum failed. Expected: 6baf, Got: 5a1d
Checksum failed. Expected: 3a17, Got: c8b5
Checksum failed. Expected: f049, Got: 374c
Checksum failed. Expected: 2120, Got: a5e4
Checksum failed. Expected: bef4, Got: 147b
Checksum failed. Expected: a6cd, Got: 8313
Checksum failed. Expected: e576, Got: f1aa
Checksum failed. Expected: 1885, Got: 6042
Checksum failed. Expected: 0ae3, Got: ced9
Checksum failed. Expected: a15e, Got: 3d71
Checksum failed. Expected: 9a08, Got: ac09
Checksum failed. Expected: e432, Got: 1aa0
Checksum failed. Expected: 9b7d, Got: 8938
Checksum failed. Expected: 394c, Got: f7cf
Checksum failed. Expected: d525, Got: 6667
Checksum failed. Expected: 2ae1, Got: d4fe
Checksum failed. Expected: ecce, Got: 4396
Checksum failed. Expected: 603c, Got: b22d
Checksum failed. Expected: a215, Got: 20c5
Checksum failed. Expected: a569, Got: 8f5d
Checksum failed. Expected: 368e, Got: fdf4
Checksum failed. Expected: 93e9, Got: 6c8c
Checksum failed. Expected: 8763, Got: db23
Checksum failed. Expected: 3501, Got: 49bb
Checksum failed. Expected: 5c37, Got: b852
Checksum failed. Expected: bed0, Got: 26ea
Checksum failed. Expected: d0f6, Got: 9581
Checksum failed. Expected: 95f9, Got: 0419
Checksum failed. Expected: 9401, Got: 72b0
Checksum failed. Expected: 167b, Got: e148
Checksum failed. Expected: 256b, Got: 4fe0
Checksum failed. Expected: a05b, Got: be77
Checksum failed. Expected: 290a, Got: 2d0f
Checksum failed. Expected: 0534, Got: 9ba6
Checksum failed. Expected: e6c7, Got: 0a3e
Checksum failed. Expected: 9f07, Got: 78d5
Checksum failed. Expected: dcaf, Got: e76d
Checksum failed. Expected: f41d, Got: 5604
Checksum failed. Expected: 33a2, Got: c49c
Checksum failed. Expected: 844e, Got: 3334
Checksum failed. Expected: 187c, Got: a1cb
Checksum failed. Expected: 7e61, Got: 1063
Checksum failed. Expected: 2bed, Got: 7efa
Checksum failed. Expected: 2c59, Got: ed92
Checksum failed. Expected: ac77, Got: 5c29
Checksum failed. Expected: b638, Got: cac1
Checksum failed. Expected: 540e, Got: 3958
Checksum failed. Expected: 3be5, Got: a7f0
Checksum failed. Expected: 7ec1, Got: 1688
Checksum failed. Expected: e14d, Got: 851f
Checksum failed. Expected: 210b, Got: f3b7
Checksum failed. Expected: 3771, Got: 624e
Checksum failed. Expected: 3ff4, Got: d0e6
Checksum failed. Expected: dcc8, Got: 3f7d
Checksum failed. Expected: 863d, Got: ae15
Checksum failed. Expected: 5181, Got: 1cac
Checksum failed. Expected: 2ed4, Got: 8b44
Checksum failed. Expected: bbc1, Got: f9db
Checksum failed. Expected: fb86, Got: 6873
Checksum failed. Expected: c9ec, Got: d70b
Checksum failed. Expected: 490a, Got: 45a2
Checksum failed. Expected: 6b2f, Got: b43a
Checksum failed. Expected: 53fd, Got: 22d1
Checksum failed. Expected: 3494, Got: 9169
Checksum failed. Expected: cf0b, Got: 0000
Checksum failed. Expected: 6b8e, Got: 6e98
Checksum failed. Expected: 614d, Got: dd2f
Checksum failed. Expected: 394e, Got: 4bc7
Checksum failed. Expected: 6f78, Got: ba5f
Checksum failed. Expected: ccac, Got: 28f6
Checksum failed. Expected: 02e9, Got: 978e
Checksum failed. Expected: 787b, Got: 0625
Checksum failed. Expected: 7e04, Got: 74bd
Checksum failed. Expected: 5721, Got: e354
Checksum failed. Expected: ccc4, Got: 51ec
Checksum failed. Expected: dab2, Got: c083
Checksum failed. Expected: 3c4b, Got: 2f1b
Checksum failed. Expected: 6275, Got: 9db3
Checksum failed. Expected: 6909, Got: 0c4a
Checksum failed. Expected: 4308, Got: 7ae2
Checksum failed. Expected: 5987, Got: e979
Checksum failed. Expected: c5a0, Got: 5811
Checksum failed. Expected: 6258, Got: c6a8
Checksum failed. Expected: 036b, Got: 3540
Checksum failed. Expected: b873, Got: a3d7
Checksum failed. Expected: 73f2, Got: 126f
Checksum failed. Expected: 1e6e, Got: 8106
Checksum failed. Expected: dc10, Got: ef9e
Checksum failed. Expected: adbc, Got: 5e36
Checksum failed. Expected: ea28, Got: cccd
Checksum failed. Expected: dfdf, Got: 3b65
Checksum failed. Expected: 6549, Got: a9fc
Checksum failed. Expected: 8878, Got: 1894
Checksum failed. Expected: 68b8, Got: 872b
Checksum failed. Expected: 43fc, Got: f5c3
Checksum failed. Expected: cdba, Got: 645a
Checksum failed. Expected: 84f1, Got: d2f2
Checksum failed. Expected: 7a97, Got: 418a
Checksum failed. Expected: 7573, Got: b021
Checksum failed. Expected: 5d54, Got: 1eb9
Checksum failed. Expected: 948c, Got: 8d50
Checksum failed. Expected: cabe, Got: fbe8
Checksum failed. Expected: 45b6, Got: 6a7f
Checksum failed. Expected: bf8b, Got: d917
Checksum failed. Expected: 1023, Got: 47ae
Checksum failed. Expected: 9e24, Got: b646
Checksum failed. Expected: d10c, Got: 24de
Checksum failed. Expected: 5fd9, Got: 9375
Checksum failed. Expected: 34b0, Got: 020d
Checksum failed. Expected: 8978, Got: 70a4
Checksum failed. Expected: 77ce, Got: df3c
Checksum failed. Expected: 51e4, Got: 4dd3
Checksum failed. Expected: a073, Got: bc6b
Checksum failed. Expected: e239, Got: 2b02
Checksum failed. Expected: c194, Got: 999a
Checksum failed. Expected: f49c, Got: 0831
Checksum failed. Expected: 62c9, Got: 76c9
Checksum failed. Expected: cce0, Got: e561
Checksum failed. Expected: ad4c, Got: 53f8
Checksum failed. Expected: d07f, Got: c290
Checksum failed. Expected: 6b0b, Got: 3127
Checksum failed. Expected: d92e, Got: 9fbf
Checksum failed. Expected: 5e8d, Got: 7cee
Checksum failed. Expected: 4c90, Got: 147b
Checksum failed. Expected: d3a1, Got: 8313
Checksum failed. Expected: 2fe0, Got: f1aa
Checksum failed. Expected: 9f45, Got: 6042
Checksum failed. Expected: 337f, Got: ced9
Checksum failed. Expected: 5d04, Got: 3d71
Checksum failed. Expected: 1a66, Got: ac09
Checksum failed. Expected: b3e2, Got: 1aa0
Checksum failed. Expected: e6f5, Got: 8938
Checksum failed. Expected: 2592, Got: f7cf
Checksum failed. Expected: 1b57, Got: 6667
Checksum failed. Expected: 4b0d, Got: d4fe
Checksum failed. Expected: 749c, Got: 4396
Checksum failed. Expected: 0ae6, Got: b22d
Checksum failed. Expected: 5213, Got: 20c5
Checksum failed. Expected: 1c49, Got: 8f5d
Checksum failed. Expected: 91e6, Got: fdf4
Checksum failed. Expected: 493b, Got: 6c8c
Checksum failed. Expected: f7e1, Got: db23
Checksum failed. Expected: 9275, Got: 49bb
Checksum failed. Expected: 0f5f, Got: b852
Checksum failed. Expected: bc12, Got: 26ea
Checksum failed. Expected: f014, Got: 9581
Checksum failed. Expected: d4c9, Got: 0419
Checksum failed. Expected: 858d, Got: 72b0
Checksum failed. Expected: e0e5, Got: e148
Checksum failed. Expected: cbdd, Got: 4fe0
Checksum failed. Expected: 44b1, Got: be77
Checksum failed. Expected: 09a8, Got: 2d0f
Checksum failed. Expected: 3da2, Got: 9ba6
Checksum failed. Expected: ea5d, Got: 0a3e
Checksum failed. Expected: da9f, Got: 78d5
Checksum failed. Expected: 8875, Got: e76d
Checksum failed. Expected: ee27, Got: 5604
Checksum failed. Expected: 3c7e, Got: c49c
Checksum failed. Expected: 6824, Got: 3334
Checksum failed. Expected: 5206, Got: a1cb
Checksum failed. Expected: 6345, Got: 1063
Checksum failed. Expected: 1d87, Got: 7efa
Checksum failed. Expected: a663, Got: ed92
Checksum failed. Expected: e601, Got: 5c29
Checksum failed. Expected: dcaa, Got: cac1
Checksum failed. Expected: 0628, Got: 3958
Checksum failed. Expected: d285, Got: a7f0
Checksum failed. Expected: 63a5, Got: 1688
Checksum failed. Expected: 7b17, Got: 851f
Checksum failed. Expected: b473, Got: f3b7
Checksum failed. Expected: aa19, Got: 624e
Checksum failed. Expected: cc08, Got: d0e6
Checksum failed. Expected: 2fb0, Got: 3f7d
Checksum failed. Expected: f283, Got: ae15
Checksum failed. Expected: 2ef5, Got: 1cac
Checksum failed. Expected: 3e12, Got: 8b44
Checksum failed. Expected: 8d9b, Got: f9db
Checksum failed. Expected: 5d40, Got: 6873
Checksum failed. Expected: 4404, Got: d70b
Checksum failed. Expected: f6de, Got: 45a2
Checksum failed. Expected: 4f05, Got: b43a
Checksum failed. Expected: 34a9, Got: 22d1
Checksum failed. Expected: 703a, Got: 9169
Checksum failed. Expected: c1af, Got: 0000
Checksum failed. Expected: 3b6e, Got: 6e98
Checksum failed. Expected: dfb1, Got: dd2f
Checksum failed. Expected: f2ec, Got: 4bc7
Checksum failed. Expected: 6350, Got: ba5f
Checksum failed. Expected: 1746, Got: 28f6
Checksum failed. Expected: aa99, Got: 978e
Checksum failed. Expected: 7e4f, Got: 0625
Checksum failed. Expected: f3ea, Got: 74bd
Checksum failed. Expected: e23b, Got: e354
Checksum failed. Expected: 3610, Got: 51ec
Checksum failed. Expected: 9242, Got: c083
Checksum failed. Expected: 9bfd, Got: 2f1b
Checksum failed. Expected: 9f4b, Got: 9db3
Checksum failed. Expected: 6227, Got: 0c4a
Checksum failed. Expected: 8524, Got: 7ae2
Checksum failed. Expected: 89a7, Got: e979
Checksum failed. Expected: a66e, Got: 5811
Checksum failed. Expected: 4db2, Got: c6a8
Checksum failed. Expected: e10f, Got: 3540
Checksum failed. Expected: e23f, Got: a3d7
Checksum failed. Expected: c4e0, Got: 126f
Checksum failed. Expected: 1cd2, Got: 8106
Checksum failed. Expected: f0a8, Got: ef9e
Checksum failed. Expected: 9b40, Got: 5e36
Checksum failed. Expected: cbf6, Got: cccd
Checksum failed. Expected: bd83, Got: 3b65
Checksum failed. Expected: 934d, Got: a9fc
Checksum failed. Expected: 87ea, Got: 1894
Checksum failed. Expected: 5b82, Got: 872b
Checksum failed. Expected: 5de8, Got: f5c3
Checksum failed. Expected: 130e, Got: 645a
Checksum failed. Expected: ff2b, Got: d2f2
Checksum failed. Expected: e5f1, Got: 418a
Checksum failed. Expected: f0ad, Got: b021
Checksum failed. Expected: 7524, Got: 1eb9
Checksum failed. Expected: 140c, Got: 8d50
Checksum failed. Expected: 9cba, Got: fbe8
Checksum failed. Expected: f7f2, Got: 6a7f
Checksum failed. Expected: 5323, Got: d917
Checksum failed. Expected: 3063, Got: 47ae
Checksum failed. Expected: c3aa, Got: b646
Checksum failed. Expected: b0be, Got: 24de
Checksum failed. Expected: 0eeb, Got: 9375
Checksum failed. Expected: fa04, Got: 020d
Checksum failed. Expected: 7918, Got: 70a4
Checksum failed. Expected: 7532, Got: df3c
Checksum failed. Expected: b806, Got: 4dd3
Checksum failed. Expected: d6e7, Got: bc6b
Checksum failed. Expected: e6f1, Got: 2b02
Checksum failed. Expected: d1f4, Got: 999a
Checksum failed. Expected: e982, Got: 0831
Checksum failed. Expected: af7f, Got: 76c9
Checksum failed. Expected: 1dce, Got: e561
Checksum failed. Expected: c2f2, Got: 53f8
Checksum failed. Expected: c349, Got: c290
Checksum failed. Expected: efc3, Got: 3127
Checksum failed. Expected: eed4, Got: 9fbf
Checksum failed. Expected: ab5c, Got: 0e56
Checksum failed. Expected: 53c1, Got: 7cee
Checksum failed. Expected: 1380, Got: eb85
Checksum failed. Expected: ab0d, Got: 5a1d
Checksum failed. Expected: d67d, Got: c8b5
Checksum failed. Expected: e371, Got: 374c
Checksum failed. Expected: 5c38, Got: a5e4
Checksum failed. Expected: 926a, Got: 147b
Checksum failed. Expected: 640f, Got: 8313
Checksum failed. Expected: 1f80, Got: f1aa
Checksum failed. Expected: f9b1, Got: 6042
Checksum failed. Expected: dd4b, Got: ced9
Checksum failed. Expected: 63d8, Got: 3d71
Checksum failed. Expected: 3aa6, Got: ac09
Checksum failed. Expected: aae4, Got: 1aa0
Checksum failed. Expected: b9ff, Got: 8938
Checksum failed. Expected: d6c0, Got: f7cf
Checksum failed. Expected: 1ce5, Got: 6667
Checksum failed. Expected: 3991, Got: d4fe
Checksum failed. Expected: 2f56, Got: 4396
Checksum failed. Expected: 5bd4, Got: b22d
Checksum failed. Expected: 3c5f, Got: 20c5
Checksum failed. Expected: df73, Got: 8f5d
Checksum failed. Expected: c430, Got: fdf4
Checksum failed. Expected: 82d9, Got: 6c8c
Checksum failed. Expected: c16d, Got: db23
Checksum failed. Expected: 7019, Got: 49bb
Checksum failed. Expected: 1c95, Got: b852
Checksum failed. Expected: 0f1c, Got: 26ea
Checksum failed. Expected: bfe6, Got: 9581
Checksum failed. Expected: f733, Got: 0419
Checksum failed. Expected: 5027, Got: 72b0
Checksum failed. Expected: 1875, Got: e148
Checksum failed. Expected: 1893, Got: 4fe0
Checksum failed. Expected: 83a3, Got: be77
Checksum failed. Expected: f72c, Got: 2d0f
Checksum failed. Expected: e444, Got: 9ba6
Checksum failed. Expected: 724d, Got: 0a3e
Checksum failed. Expected: e6c7, Got: 78d5
Checksum failed. Expected: 7f77, Got: e76d
Checksum failed. Expected: c677, Got: 5604
