
#################################################################
Log started at 2025-06-12_16-18-35 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 692b, Got: b22d
Checksum failed. Expected: 8ff5, Got: 8f5d
Checksum failed. Expected: 9e1b, Got: 6c8c
Checksum failed. Expected: 32b5, Got: db23
Checksum failed. Expected: 21e1, Got: 49bb
Checksum failed. Expected: 758d, Got: b852
Checksum failed. Expected: c30e, Got: 26ea
Checksum failed. Expected: e514, Got: 9581
Checksum failed. Expected: 36bf, Got: 0419
Checksum failed. Expected: 7fd3, Got: 72b0
Checksum failed. Expected: f6b3, Got: e148
Checksum failed. Expected: 7a09, Got: 4fe0
Checksum failed. Expected: 6e97, Got: be77
Checksum failed. Expected: 3280, Got: 2d0f
Checksum failed. Expected: af78, Got: 9ba6
Checksum failed. Expected: 0de1, Got: 0a3e
Checksum failed. Expected: b74f, Got: 78d5
Checksum failed. Expected: fd75, Got: e76d
Checksum failed. Expected: ab17, Got: 5604
Checksum failed. Expected: e010, Got: c49c
Checksum failed. Expected: ef20, Got: 3334
Checksum failed. Expected: 8dda, Got: a1cb
Checksum failed. Expected: d2f1, Got: 1063
Checksum failed. Expected: 72c7, Got: 7efa
Checksum failed. Expected: 7dbf, Got: ed92
Checksum failed. Expected: e47f, Got: 5c29
Checksum failed. Expected: df6e, Got: cac1
Checksum failed. Expected: e4e6, Got: 3958
Checksum failed. Expected: 94bb, Got: a7f0
Checksum failed. Expected: 82f1, Got: 1688
Checksum failed. Expected: d3ff, Got: ae15
Checksum failed. Expected: 90eb, Got: 1cac
Checksum failed. Expected: 5926, Got: 8b44
Checksum failed. Expected: e82f, Got: f9db
Checksum failed. Expected: dbbe, Got: 6873
Checksum failed. Expected: 667a, Got: d70b
Checksum failed. Expected: 6ad0, Got: 45a2
Checksum failed. Expected: 2cb5, Got: b43a
Checksum failed. Expected: 8c13, Got: 22d1
Checksum failed. Expected: 2c1c, Got: 9169
Checksum failed. Expected: dfed, Got: 0000
Checksum failed. Expected: d89e, Got: 6e98
Checksum failed. Expected: 5187, Got: dd2f
Checksum failed. Expected: 3fbc, Got: 4bc7
Checksum failed. Expected: 3458, Got: ba5f
Checksum failed. Expected: 17e0, Got: 28f6
Checksum failed. Expected: 00e7, Got: 978e
Checksum failed. Expected: 9b7f, Got: 0625
Checksum failed. Expected: 803a, Got: 74bd
Checksum failed. Expected: c977, Got: e354
Checksum failed. Expected: 0c5e, Got: 51ec
Checksum failed. Expected: 4c08, Got: c083
Checksum failed. Expected: ef2f, Got: 2f1b
Checksum failed. Expected: bc7b, Got: 9db3
Checksum failed. Expected: f193, Got: 0c4a
Checksum failed. Expected: 7c40, Got: 7ae2
Checksum failed. Expected: 7853, Got: e979
Checksum failed. Expected: dae0, Got: 5811
Checksum failed. Expected: 44ce, Got: c6a8
Checksum failed. Expected: 0f2d, Got: 3540
Checksum failed. Expected: 279f, Got: a3d7
Checksum failed. Expected: ae46, Got: 126f
Checksum failed. Expected: fdba, Got: 8106
Checksum failed. Expected: 2636, Got: ef9e
Checksum failed. Expected: a99e, Got: 5e36
Checksum failed. Expected: e1c4, Got: cccd
Checksum failed. Expected: 447f, Got: 3b65
Checksum failed. Expected: 8c85, Got: a9fc
Checksum failed. Expected: 89a0, Got: 1894
Checksum failed. Expected: d6d6, Got: 872b
Checksum failed. Expected: c1fa, Got: f5c3
Checksum failed. Expected: 091c, Got: 645a
Checksum failed. Expected: b8e3, Got: d2f2
Checksum failed. Expected: fddb, Got: 418a
Checksum failed. Expected: 8eeb, Got: b021
Checksum failed. Expected: 353e, Got: 1eb9
Checksum failed. Expected: 2ada, Got: 8d50
Checksum failed. Expected: dbc6, Got: fbe8
Checksum failed. Expected: 2d80, Got: 6a7f
Checksum failed. Expected: 628f, Got: d917
Checksum failed. Expected: 5e81, Got: 47ae
Checksum failed. Expected: d432, Got: b646
Checksum failed. Expected: c146, Got: 24de
Checksum failed. Expected: 28f1, Got: 9375
Checksum failed. Expected: 9842, Got: 020d
Checksum failed. Expected: 2fa6, Got: 70a4
Checksum failed. Expected: 53f0, Got: df3c
Checksum failed. Expected: c880, Got: 4dd3
Checksum failed. Expected: 6445, Got: bc6b
Checksum failed. Expected: 6efb, Got: 2b02
Checksum failed. Expected: afb2, Got: 999a
Checksum failed. Expected: 7d34, Got: 0831
Checksum failed. Expected: c85e, Got: e561
Checksum failed. Expected: 58c0, Got: 53f8
Checksum failed. Expected: a977, Got: c290
Checksum failed. Expected: e199, Got: 3127
Checksum failed. Expected: b226, Got: 9fbf
Checksum failed. Expected: 18ec, Got: 0e56
Checksum failed. Expected: ab2b, Got: 7cee
Checksum failed. Expected: 8dc6, Got: eb85
Checksum failed. Expected: cc75, Got: 5a1d
Checksum failed. Expected: 3003, Got: c8b5
Checksum failed. Expected: 8e65, Got: 374c
Checksum failed. Expected: b06a, Got: a5e4
Checksum failed. Expected: 0224, Got: 147b
Checksum failed. Expected: 88a1, Got: 8313
Checksum failed. Expected: 4eac, Got: f1aa
Checksum failed. Expected: 72e9, Got: 6042
Checksum failed. Expected: 2d45, Got: ced9
Checksum failed. Expected: ad7e, Got: 3d71
Checksum failed. Expected: d182, Got: ac09
Checksum failed. Expected: 035c, Got: 1aa0
Checksum failed. Expected: 7919, Got: 8938
Checksum failed. Expected: 5fd8, Got: f7cf
Checksum failed. Expected: 5cff, Got: 6667
Checksum failed. Expected: e8bd, Got: d4fe
Checksum failed. Expected: 288e, Got: 4396
Checksum failed. Expected: b55a, Got: b22d
Checksum failed. Expected: 60f1, Got: 20c5
Checksum failed. Expected: a4d3, Got: 8f5d
Checksum failed. Expected: d7d4, Got: fdf4
Checksum failed. Expected: 2779, Got: 6c8c
Checksum failed. Expected: 1491, Got: db23
Checksum failed. Expected: 3795, Got: 49bb
Checksum failed. Expected: 18f7, Got: b852
Checksum failed. Expected: 052a, Got: 26ea
Checksum failed. Expected: 4f60, Got: 9581
Checksum failed. Expected: 9ab7, Got: 0419
Checksum failed. Expected: 718f, Got: 72b0
Checksum failed. Expected: 2f51, Got: e148
Checksum failed. Expected: 00dd, Got: 4fe0
Checksum failed. Expected: 3931, Got: be77
Checksum failed. Expected: 254a, Got: 2d0f
Checksum failed. Expected: cfb8, Got: 9ba6
Checksum failed. Expected: fe8f, Got: 0a3e
Checksum failed. Expected: 6cb5, Got: 78d5
Checksum failed. Expected: 8cc7, Got: e76d
Checksum failed. Expected: 64b5, Got: 5604
Checksum failed. Expected: cc78, Got: c49c
Checksum failed. Expected: a7b0, Got: 3334
Checksum failed. Expected: e41c, Got: a1cb
Checksum failed. Expected: 5cfd, Got: 1063
Checksum failed. Expected: 1969, Got: 7efa
Checksum failed. Expected: 06bd, Got: ed92
Checksum failed. Expected: 2dfd, Got: 5c29
Checksum failed. Expected: cac8, Got: cac1
Checksum failed. Expected: 2710, Got: 3958
Checksum failed. Expected: 9873, Got: a7f0
Checksum failed. Expected: 9deb, Got: 1688
Checksum failed. Expected: b779, Got: 851f
Checksum failed. Expected: 7629, Got: f3b7
Checksum failed. Expected: ab41, Got: 624e
Checksum failed. Expected: aa46, Got: d0e6
Checksum failed. Expected: 6e3c, Got: 3f7d
Checksum failed. Expected: 8e25, Got: ae15
Checksum failed. Expected: 4443, Got: 1cac
Checksum failed. Expected: dab4, Got: 8b44
Checksum failed. Expected: ca0b, Got: f9db
Checksum failed. Expected: 5e68, Got: 6873
Checksum failed. Expected: 2788, Got: d70b
Checksum failed. Expected: 88f4, Got: 45a2
Checksum failed. Expected: 3289, Got: b43a
Checksum failed. Expected: 6247, Got: 22d1
Checksum failed. Expected: c0b4, Got: 9169
Checksum failed. Expected: 2753, Got: 0000
Checksum failed. Expected: fe10, Got: 6e98
Checksum failed. Expected: 355d, Got: dd2f
Checksum failed. Expected: 6420, Got: 4bc7
Checksum failed. Expected: f328, Got: ba5f
Checksum failed. Expected: d9da, Got: 28f6
Checksum failed. Expected: 3fb7, Got: 978e
Checksum failed. Expected: 2893, Got: 0625
Checksum failed. Expected: a9d6, Got: 74bd
Checksum failed. Expected: a6eb, Got: e354
Checksum failed. Expected: f142, Got: 51ec
