
#################################################################
Log started at 2025-06-12_16-18-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 6c38, Got: 851f
Checksum failed. Expected: dc79, Got: f3b7
Checksum failed. Expected: 1d39, Got: 624e
Checksum failed. Expected: 02d2, Got: d0e6
Checksum failed. Expected: 80f4, Got: 3f7d
Checksum failed. Expected: 7367, Got: ae15
Checksum failed. Expected: a331, Got: 1cac
Checksum failed. Expected: 18d4, Got: 8b44
Checksum failed. Expected: 4257, Got: f9db
Checksum failed. Expected: d060, Got: 6873
Checksum failed. Expected: eaee, Got: d70b
Checksum failed. Expected: 7060, Got: 45a2
Checksum failed. Expected: 76fd, Got: b43a
Checksum failed. Expected: 26bb, Got: 22d1
Checksum failed. Expected: bf62, Got: 9169
Checksum failed. Expected: 34c5, Got: 0000
Checksum failed. Expected: b8f8, Got: 6e98
Checksum failed. Expected: f599, Got: dd2f
Checksum failed. Expected: 64dc, Got: 4bc7
Checksum failed. Expected: 94b2, Got: ba5f
Checksum failed. Expected: 555e, Got: 28f6
Checksum failed. Expected: c9ff, Got: 978e
Checksum failed. Expected: 2a6b, Got: 0625
Checksum failed. Expected: 52d0, Got: 74bd
Checksum failed. Expected: 2053, Got: e354
Checksum failed. Expected: 1b4a, Got: 51ec
Checksum failed. Expected: 58ca, Got: c083
Checksum failed. Expected: ac9f, Got: 2f1b
Checksum failed. Expected: 68fd, Got: 9db3
Checksum failed. Expected: a7a1, Got: 0c4a
Checksum failed. Expected: 0c3a, Got: 7ae2
Checksum failed. Expected: 37df, Got: e979
Checksum failed. Expected: 4c36, Got: 5811
Checksum failed. Expected: 8468, Got: c6a8
Checksum failed. Expected: 0c1d, Got: 3540
Checksum failed. Expected: cdcd, Got: a3d7
Checksum failed. Expected: cf2e, Got: 126f
Checksum failed. Expected: 5d14, Got: 8106
Checksum failed. Expected: 2434, Got: ef9e
Checksum failed. Expected: 2ce2, Got: 5e36
Checksum failed. Expected: fd66, Got: cccd
Checksum failed. Expected: 6dd7, Got: 3b65
Checksum failed. Expected: dae3, Got: a9fc
Checksum failed. Expected: 580c, Got: 1894
Checksum failed. Expected: 079e, Got: 872b
Checksum failed. Expected: 356c, Got: f5c3
Checksum failed. Expected: 12b4, Got: 645a
Checksum failed. Expected: 20ad, Got: d2f2
Checksum failed. Expected: 46f3, Got: 418a
Checksum failed. Expected: 591f, Got: b021
Checksum failed. Expected: ee76, Got: 1eb9
Checksum failed. Expected: 2068, Got: 8d50
Checksum failed. Expected: 161a, Got: fbe8
Checksum failed. Expected: afb6, Got: 6a7f
Checksum failed. Expected: adc3, Got: d917
Checksum failed. Expected: bfe9, Got: 47ae
Checksum failed. Expected: af46, Got: b646
Checksum failed. Expected: 3c1a, Got: 24de
Checksum failed. Expected: 48cb, Got: 9375
Checksum failed. Expected: 58dc, Got: 020d
Checksum failed. Expected: 0790, Got: 70a4
Checksum failed. Expected: baac, Got: df3c
Checksum failed. Expected: 82c6, Got: 4dd3
Checksum failed. Expected: c9e5, Got: bc6b
Checksum failed. Expected: 5c19, Got: 2b02
Checksum failed. Expected: 4f8c, Got: 999a
Checksum failed. Expected: 71a6, Got: 0831
Checksum failed. Expected: a8d1, Got: 76c9
Checksum failed. Expected: 8424, Got: e561
Checksum failed. Expected: 23f4, Got: 53f8
Checksum failed. Expected: 2559, Got: c290
Checksum failed. Expected: c0e5, Got: 3127
Checksum failed. Expected: 138e, Got: 9fbf
Checksum failed. Expected: 48a6, Got: 0e56
Checksum failed. Expected: d483, Got: 7cee
Checksum failed. Expected: bbd6, Got: 147b
Checksum failed. Expected: 9cd3, Got: 8313
Checksum failed. Expected: a042, Got: f1aa
Checksum failed. Expected: 850d, Got: 6042
Checksum failed. Expected: 0313, Got: ced9
Checksum failed. Expected: 55c8, Got: 3d71
Checksum failed. Expected: 492c, Got: ac09
Checksum failed. Expected: 1356, Got: 1aa0
Checksum failed. Expected: 8095, Got: 8938
