
#################################################################
Log started at 2025-06-12_16-18-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 1a67, Got: 0c04
Checksum failed. Expected: 829f, Got: 40a3
Checksum failed. Expected: 0847, Got: 40a3
Checksum failed. Expected: a52f, Got: 40a3
Checksum failed. Expected: 3fff, Got: 40a3
Checksum failed. Expected: 5ce7, Got: 40a3
Checksum failed. Expected: 852f, Got: 40a3
Checksum failed. Expected: 6427, Got: 40a3
Checksum failed. Expected: 0a57, Got: 40a3
Checksum failed. Expected: b9cf, Got: 40a3
Checksum failed. Expected: ffff, Got: 40a3
Checksum failed. Expected: bbdf, Got: 40a3
Checksum failed. Expected: 652f, Got: 40a3
Checksum failed. Expected: 0e77, Got: 40a3
Checksum failed. Expected: 294f, Got: 40a3
Checksum failed. Expected: 518f, Got: 40a3
Checksum failed. Expected: 16b7, Got: 40a3
Checksum failed. Expected: 5087, Got: 40a3
Checksum failed. Expected: fef7, Got: 40a3
Checksum failed. Expected: b18f, Got: 40a3
Checksum failed. Expected: a847, Got: 40a3
Checksum failed. Expected: a637, Got: 40a3
Checksum failed. Expected: 0427, Got: 40a3
Checksum failed. Expected: 3bdf, Got: 40a3
Checksum failed. Expected: 631f, Got: 40a3
Checksum failed. Expected: 0a57, Got: 40a3
Checksum failed. Expected: b18f, Got: 40a3
Checksum failed. Expected: 3297, Got: 40a3
Checksum failed. Expected: aa57, Got: 40a3
Checksum failed. Expected: d087, Got: 40a3
Checksum failed. Expected: 6f7f, Got: 40a3
Checksum failed. Expected: 139f, Got: 40a3
Checksum failed. Expected: 6f7f, Got: 40a3
Checksum failed. Expected: 0637, Got: 40a3
Checksum failed. Expected: 9def, Got: 40a3
Checksum failed. Expected: 3087, Got: 40a3
Checksum failed. Expected: 3def, Got: 40a3
Checksum failed. Expected: e31f, Got: 40a3
Checksum failed. Expected: e427, Got: 40a3
Checksum failed. Expected: ae77, Got: 40a3
Checksum failed. Expected: f8c7, Got: 40a3
Checksum failed. Expected: 2637, Got: 40a3
Checksum failed. Expected: 9ad7, Got: 40a3
Checksum failed. Expected: 8427, Got: 40a3
