
#################################################################
Log started at 2025-06-12_16-18-56 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 23ab, Got: 0c04
Checksum failed. Expected: f3de, Got: 0000
Checksum failed. Expected: 55db, Got: 0000
Checksum failed. Expected: a7bd, Got: 0000
Checksum failed. Expected: b680, Got: 0000
Checksum failed. Expected: 99d0, Got: 0000
Checksum failed. Expected: 4421, Got: 0000
Checksum failed. Expected: c9c0, Got: 0000
Checksum failed. Expected: 64e5, Got: 0000
Checksum failed. Expected: 065b, Got: 0000
Checksum failed. Expected: a7ee, Got: 0000
Checksum failed. Expected: 0191, Got: 0000
Checksum failed. Expected: 2ac1, Got: 0000
Checksum failed. Expected: 6874, Got: 0000
Checksum failed. Expected: 8a11, Got: 0000
Checksum failed. Expected: 5e50, Got: 0000
Checksum failed. Expected: 6c77, Got: 0000
Checksum failed. Expected: 3e8c, Got: 0000
Checksum failed. Expected: 9b46, Got: 0000
Checksum failed. Expected: a0fa, Got: 0000
Checksum failed. Expected: e743, Got: 0000
Checksum failed. Expected: eef8, Got: 0000
Checksum failed. Expected: c544, Got: 0000
Checksum failed. Expected: cf21, Got: 0000
Checksum failed. Expected: c176, Got: 0000
Checksum failed. Expected: 0be9, Got: 0000
Checksum failed. Expected: 2836, Got: 0000
Checksum failed. Expected: 2981, Got: 0000
Checksum failed. Expected: cd6d, Got: 0000
Checksum failed. Expected: 9a09, Got: 0000
Checksum failed. Expected: 6040, Got: 0000
Checksum failed. Expected: 2109, Got: 0000
Checksum failed. Expected: 99be, Got: 0000
Checksum failed. Expected: 9a1b, Got: 0000
Checksum failed. Expected: 1ea8, Got: 0000
Checksum failed. Expected: 955e, Got: 0000
Checksum failed. Expected: 8bdd, Got: 0000
Checksum failed. Expected: a80e, Got: 0000
Checksum failed. Expected: 2ebe, Got: 0000
Checksum failed. Expected: a99d, Got: 0000
Checksum failed. Expected: 5fc0, Got: 0000
Checksum failed. Expected: 26f7, Got: 0000
Checksum failed. Expected: 6c47, Got: 0000
Checksum failed. Expected: c8f2, Got: 0000
Checksum failed. Expected: 585b, Got: 0000
Checksum failed. Expected: 567e, Got: 0000
Checksum failed. Expected: b12d, Got: 0000
Checksum failed. Expected: 0995, Got: 0000
Checksum failed. Expected: 687a, Got: 0000
Checksum failed. Expected: c88c, Got: 0000
Checksum failed. Expected: c6af, Got: 0000
Checksum failed. Expected: 8bb0, Got: 0000
Checksum failed. Expected: 2b43, Got: 0000
Checksum failed. Expected: f5a6, Got: 0000
Checksum failed. Expected: 01cb, Got: 0000
Checksum failed. Expected: 101c, Got: 0000
Checksum failed. Expected: 9806, Got: 0000
Checksum failed. Expected: fa35, Got: 0000
Checksum failed. Expected: 211b, Got: 0000
Checksum failed. Expected: f87a, Got: 0000
Checksum failed. Expected: d665, Got: 0000
Checksum failed. Expected: 791c, Got: 0000
Checksum failed. Expected: 4e65, Got: 0000
Checksum failed. Expected: b289, Got: 0000
Checksum failed. Expected: fbd2, Got: 0000
Checksum failed. Expected: 0c64, Got: 0000
Checksum failed. Expected: 965d, Got: 0000
Checksum failed. Expected: ea81, Got: 0000
Checksum failed. Expected: 1c46, Got: 0000
Checksum failed. Expected: 6b23, Got: 0000
Checksum failed. Expected: c6bc, Got: 0000
Checksum failed. Expected: 7cd1, Got: 0000
Checksum failed. Expected: cffb, Got: 0000
Checksum failed. Expected: d8ee, Got: 0000
Checksum failed. Expected: e73b, Got: 0000
Checksum failed. Expected: 1c38, Got: 0000
Checksum failed. Expected: a616, Got: 0000
Checksum failed. Expected: 6c49, Got: 0000
Checksum failed. Expected: a12a, Got: 0000
Checksum failed. Expected: 24c0, Got: 0000
Checksum failed. Expected: f161, Got: 0000
Checksum failed. Expected: c47c, Got: 0000
Checksum failed. Expected: 60bf, Got: 0000
Checksum failed. Expected: 0c1c, Got: 0000
Checksum failed. Expected: cac3, Got: 0000
Checksum failed. Expected: 9a9a, Got: 0000
Checksum failed. Expected: ac30, Got: 0000
Checksum failed. Expected: 50fc, Got: 0000
Checksum failed. Expected: cf23, Got: 0000
Checksum failed. Expected: b04c, Got: 0000
Checksum failed. Expected: d855, Got: 0000
Checksum failed. Expected: bdba, Got: 0000
Checksum failed. Expected: 4bcb, Got: 0000
Checksum failed. Expected: 45bd, Got: 0000
