
#################################################################
Log started at 2025-06-12_16-19-10 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 9dae, Got: 1342
Checksum failed. Expected: 9610, Got: c842
Checksum failed. Expected: 4e95, Got: 88cc
Checksum failed. Expected: 256f, Got: c446
Checksum failed. Expected: 286e, Got: c860
Checksum failed. Expected: 6b6b, Got: a0aa
Checksum failed. Expected: 0344, Got: 235a
Checksum failed. Expected: a0bb, Got: 190f
Checksum failed. Expected: 9aff, Got: 48ca
Checksum failed. Expected: 4003, Got: c5b0
Checksum failed. Expected: 0e20, Got: 49a5
Checksum failed. Expected: 0f99, Got: d04e
Checksum failed. Expected: ac4a, Got: 49fa
Checksum failed. Expected: 0cce, Got: 4722
Checksum failed. Expected: a423, Got: 89bc
Checksum failed. Expected: 68e2, Got: 4e44
Checksum failed. Expected: 784b, Got: 8825
Checksum failed. Expected: 0481, Got: 892b
Checksum failed. Expected: 22b0, Got: 0cb5
Checksum failed. Expected: 94bd, Got: cbcd
Checksum failed. Expected: 16d3, Got: 0ace
Checksum failed. Expected: 4664, Got: 8b97
Checksum failed. Expected: cf4e, Got: 4352
Checksum failed. Expected: 0515, Got: 859e
Checksum failed. Expected: ef58, Got: 0880
Checksum failed. Expected: 2a85, Got: 0660
Checksum failed. Expected: ea91, Got: c681
Checksum failed. Expected: 4f10, Got: 8743
Checksum failed. Expected: 2cde, Got: 05a8
Checksum failed. Expected: aa9f, Got: 8e29
Checksum failed. Expected: 3edc, Got: 91fa
Checksum failed. Expected: d272, Got: 9be5
Checksum failed. Expected: 86d3, Got: 9b07
Checksum failed. Expected: 99f7, Got: 98ee
Checksum failed. Expected: b724, Got: 14f2
Checksum failed. Expected: 218c, Got: 9b11
Checksum failed. Expected: 1d0d, Got: a1e8
Checksum failed. Expected: c36a, Got: 49ae
Checksum failed. Expected: e838, Got: c21d
Checksum failed. Expected: 9184, Got: 8a0d
Checksum failed. Expected: 45f4, Got: 1896
Checksum failed. Expected: 7d6f, Got: 9061
Checksum failed. Expected: 127a, Got: 8af8
Checksum failed. Expected: 20a2, Got: 9511
Checksum failed. Expected: 1aca, Got: 0dcc
Checksum failed. Expected: 7e5b, Got: 91e5
Checksum failed. Expected: 0751, Got: 141d
Checksum failed. Expected: 6f11, Got: 96e4
Checksum failed. Expected: 5ee6, Got: 9770
Checksum failed. Expected: 264f, Got: 974b
Checksum failed. Expected: 8021, Got: 928a
Checksum failed. Expected: 249b, Got: 9128
Checksum failed. Expected: 8919, Got: 11d1
Checksum failed. Expected: da37, Got: 116a
Checksum failed. Expected: 34e8, Got: 0a94
Checksum failed. Expected: e7e8, Got: 8b3f
Checksum failed. Expected: 5666, Got: 0f7f
Checksum failed. Expected: 297c, Got: 4610
Checksum failed. Expected: cfe4, Got: 09ce
Checksum failed. Expected: d2d9, Got: 9544
Checksum failed. Expected: e7ff, Got: 10b6
Checksum failed. Expected: aa65, Got: 1cdc
Checksum failed. Expected: 22ad, Got: 1dc5
Checksum failed. Expected: 7427, Got: d142
Checksum failed. Expected: a496, Got: 24dc
Checksum failed. Expected: 2a77, Got: 9e04
Checksum failed. Expected: 02cb, Got: 95ac
Checksum failed. Expected: 6e40, Got: 176a
Checksum failed. Expected: d371, Got: a31d
Checksum failed. Expected: a7fc, Got: 9795
Checksum failed. Expected: c86b, Got: 0eb9
Checksum failed. Expected: d4e3, Got: 8a03
Checksum failed. Expected: 16a9, Got: 0d2a
Checksum failed. Expected: a82c, Got: 8f7e
Checksum failed. Expected: b66d, Got: 8fa7
Checksum failed. Expected: 6778, Got: 4954
Checksum failed. Expected: 6f1b, Got: 873c
Checksum failed. Expected: 8731, Got: 8b9f
Checksum failed. Expected: 3abe, Got: 1030
Checksum failed. Expected: bbfa, Got: 93b6
Checksum failed. Expected: 1759, Got: 92d0
Checksum failed. Expected: 3d2f, Got: 932d
Checksum failed. Expected: 499f, Got: 0832
Checksum failed. Expected: f6ee, Got: 056d
Checksum failed. Expected: 690b, Got: 4201
Checksum failed. Expected: fdb4, Got: 00b0
Checksum failed. Expected: 657f, Got: 7efa
Checksum failed. Expected: 01c3, Got: 4675
Checksum failed. Expected: e53c, Got: 867e
Checksum failed. Expected: 9410, Got: 07c6
Checksum failed. Expected: c89a, Got: 04e7
Checksum failed. Expected: 1b4d, Got: 40b1
Checksum failed. Expected: b934, Got: 817c
Checksum failed. Expected: 8844, Got: 04a7
Checksum failed. Expected: a34e, Got: 4477
Checksum failed. Expected: 5bdb, Got: 02c8
Checksum failed. Expected: 4746, Got: 7c45
Checksum failed. Expected: 8976, Got: 014b
Checksum failed. Expected: 9f29, Got: 40c9
Checksum failed. Expected: 83ff, Got: fcef
Checksum failed. Expected: 463f, Got: fe82
Checksum failed. Expected: 3951, Got: 04ca
Checksum failed. Expected: 98f9, Got: 0a3a
Checksum failed. Expected: 7c63, Got: 1673
Checksum failed. Expected: 4141, Got: 4894
Checksum failed. Expected: 1c16, Got: 88f7
Checksum failed. Expected: 256e, Got: 8818
Checksum failed. Expected: 790a, Got: 843a
Checksum failed. Expected: 951c, Got: 89b7
Checksum failed. Expected: 538d, Got: 0859
Checksum failed. Expected: 6ac5, Got: 0798
Checksum failed. Expected: a588, Got: 9428
Checksum failed. Expected: bc52, Got: 8d2f
Checksum failed. Expected: b6c7, Got: 4f00
Checksum failed. Expected: 3ed4, Got: d233
Checksum failed. Expected: 2caa, Got: 5056
Checksum failed. Expected: cffd, Got: 0e3b
Checksum failed. Expected: c381, Got: 4a0a
Checksum failed. Expected: ee22, Got: 0824
Checksum failed. Expected: e027, Got: 12c7
Checksum failed. Expected: e6b1, Got: a003
Checksum failed. Expected: 9d22, Got: 200b
Checksum failed. Expected: ebda, Got: 4a4b
Checksum failed. Expected: 4a56, Got: 18b8
Checksum failed. Expected: a674, Got: 9894
Checksum failed. Expected: 06e5, Got: 1540
Checksum failed. Expected: 9e7c, Got: 096c
Checksum failed. Expected: 478b, Got: 1932
Checksum failed. Expected: 4f3f, Got: 9b4b
Checksum failed. Expected: aef0, Got: 1645
Checksum failed. Expected: 941a, Got: 9ca8
Checksum failed. Expected: dd62, Got: 1b32
Checksum failed. Expected: e81b, Got: 1125
