
#################################################################
Log started at 2025-06-12_16-19-12 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 8eb4, Got: c31b
Checksum failed. Expected: 723f, Got: 04cd
Checksum failed. Expected: 9edd, Got: 86c4
Checksum failed. Expected: e219, Got: c518
Checksum failed. Expected: 2543, Got: 04d9
Checksum failed. Expected: 5dfd, Got: 8b34
Checksum failed. Expected: b0b4, Got: 1139
Checksum failed. Expected: 874b, Got: 48e4
Checksum failed. Expected: 3745, Got: 974d
Checksum failed. Expected: f8e6, Got: 9abc
Checksum failed. Expected: fcb1, Got: 1646
Checksum failed. Expected: 0760, Got: 181c
Checksum failed. Expected: 0179, Got: 1421
Checksum failed. Expected: 1922, Got: 910b
Checksum failed. Expected: 5b8b, Got: 8375
Checksum failed. Expected: 27e0, Got: 84bf
Checksum failed. Expected: e9dd, Got: 1086
Checksum failed. Expected: 8f42, Got: 9abc
Checksum failed. Expected: 6f47, Got: a023
Checksum failed. Expected: f832, Got: 19a0
Checksum failed. Expected: 39e0, Got: 9c2e
Checksum failed. Expected: 498f, Got: 94dd
Checksum failed. Expected: 4ec5, Got: 9e5e
Checksum failed. Expected: 92ac, Got: 2955
Checksum failed. Expected: d73c, Got: a568
Checksum failed. Expected: f843, Got: 20ac
Checksum failed. Expected: e47a, Got: 26c8
Checksum failed. Expected: f7c9, Got: 2a4c
Checksum failed. Expected: 0991, Got: 28bf
Checksum failed. Expected: b53a, Got: 2264
Checksum failed. Expected: f666, Got: 1a06
Checksum failed. Expected: eca6, Got: a02f
Checksum failed. Expected: 3fd3, Got: a8a0
Checksum failed. Expected: f9a1, Got: a253
Checksum failed. Expected: 5bd5, Got: 225a
Checksum failed. Expected: 42f9, Got: 202a
Checksum failed. Expected: 8bbf, Got: 9ef3
Checksum failed. Expected: 4690, Got: 1199
Checksum failed. Expected: 608c, Got: 9864
Checksum failed. Expected: a138, Got: 21f6
Checksum failed. Expected: 3117, Got: 9574
Checksum failed. Expected: b8d3, Got: 085c
Checksum failed. Expected: ee84, Got: 93ed
Checksum failed. Expected: 7088, Got: 9413
Checksum failed. Expected: 1be7, Got: 0bc7
Checksum failed. Expected: 7dc2, Got: 89c0
Checksum failed. Expected: 0690, Got: 8168
Checksum failed. Expected: ea12, Got: fe63
Checksum failed. Expected: 62d4, Got: 7d80
Checksum failed. Expected: 596a, Got: 7b4d
Checksum failed. Expected: 5ed0, Got: bf3a
Checksum failed. Expected: 0fca, Got: 8562
Checksum failed. Expected: 3355, Got: 10dd
Checksum failed. Expected: 3157, Got: 029c
Checksum failed. Expected: b926, Got: fd01
Checksum failed. Expected: 9391, Got: bf47
Checksum failed. Expected: 9435, Got: 045d
Checksum failed. Expected: 19aa, Got: 9090
Checksum failed. Expected: d5f2, Got: 88c1
Checksum failed. Expected: de5e, Got: caf6
Checksum failed. Expected: 2b3b, Got: c39f
Checksum failed. Expected: aa88, Got: 443e
Checksum failed. Expected: 0f72, Got: 440d
Checksum failed. Expected: d2c1, Got: 04ec
Checksum failed. Expected: ae43, Got: 45d8
Checksum failed. Expected: 9d22, Got: 439d
Checksum failed. Expected: 6aa0, Got: c4ee
Checksum failed. Expected: c589, Got: 8bc8
Checksum failed. Expected: a9ac, Got: 0c89
Checksum failed. Expected: 7aa3, Got: 8cc9
