
#################################################################
Log started at 2025-06-12_16-19-14 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: fd55, Got: 50e4
Checksum failed. Expected: b89f, Got: 4e5c
Checksum failed. Expected: dbd6, Got: 8cae
Checksum failed. Expected: cc2b, Got: c954
Checksum failed. Expected: ac63, Got: 105e
Checksum failed. Expected: 8bb2, Got: 144f
Checksum failed. Expected: 389d, Got: 2444
Checksum failed. Expected: ab22, Got: 4952
Checksum failed. Expected: cecf, Got: 884d
Checksum failed. Expected: d8f3, Got: 143e
Checksum failed. Expected: 16dd, Got: 979e
Checksum failed. Expected: 7b14, Got: 1044
Checksum failed. Expected: 10b6, Got: 1615
Checksum failed. Expected: 94d6, Got: 97b2
Checksum failed. Expected: b080, Got: 2112
Checksum failed. Expected: 1895, Got: 1db6
Checksum failed. Expected: 4225, Got: 966c
Checksum failed. Expected: dec1, Got: 90b0
Checksum failed. Expected: 6c16, Got: 1ac8
Checksum failed. Expected: 4f91, Got: a4ac
Checksum failed. Expected: c7ff, Got: 9f0a
Checksum failed. Expected: 8db0, Got: 162b
Checksum failed. Expected: 0699, Got: 1537
Checksum failed. Expected: 2b14, Got: 0dc6
Checksum failed. Expected: a26d, Got: 9081
Checksum failed. Expected: e8ed, Got: 19b6
Checksum failed. Expected: 9d78, Got: 0d9a
Checksum failed. Expected: e276, Got: 8d2a
Checksum failed. Expected: 5814, Got: a43f
Checksum failed. Expected: 50ae, Got: 2872
Checksum failed. Expected: 324f, Got: aa9c
Checksum failed. Expected: b739, Got: a661
Checksum failed. Expected: 26d8, Got: 288c
Checksum failed. Expected: 7bf6, Got: 9542
Checksum failed. Expected: 2f4c, Got: d09f
Checksum failed. Expected: f6ba, Got: 174c
Checksum failed. Expected: a8e2, Got: 8b4a
Checksum failed. Expected: f81c, Got: 89c3
Checksum failed. Expected: a2e3, Got: c7c0
Checksum failed. Expected: 378a, Got: 4e44
Checksum failed. Expected: 60bb, Got: ca33
Checksum failed. Expected: 4f79, Got: c593
Checksum failed. Expected: 450b, Got: 94db
Checksum failed. Expected: 3e22, Got: 935d
Checksum failed. Expected: 1295, Got: 87fd
Checksum failed. Expected: 539d, Got: 488b
Checksum failed. Expected: 6ce7, Got: 88d8
Checksum failed. Expected: fdbb, Got: 825c
Checksum failed. Expected: b474, Got: 40c8
Checksum failed. Expected: a142, Got: bfa6
Checksum failed. Expected: 02ce, Got: 0036
Checksum failed. Expected: f9f0, Got: 0d72
Checksum failed. Expected: 2591, Got: 43f0
Checksum failed. Expected: c3f7, Got: 7ff1
Checksum failed. Expected: 2a81, Got: 0443
Checksum failed. Expected: 2a7e, Got: 021b
Checksum failed. Expected: e909, Got: 4356
Checksum failed. Expected: f0ac, Got: 0724
Checksum failed. Expected: 9226, Got: 8b0c
Checksum failed. Expected: ec3c, Got: 49af
Checksum failed. Expected: 6d64, Got: 4aca
Checksum failed. Expected: e877, Got: 900c
Checksum failed. Expected: 5725, Got: cd89
Checksum failed. Expected: 64d4, Got: c931
Checksum failed. Expected: 4444, Got: 4b69
Checksum failed. Expected: 196e, Got: d2a4
Checksum failed. Expected: a471, Got: 1303
Checksum failed. Expected: 894b, Got: 507e
Checksum failed. Expected: 7c9f, Got: cedf
Checksum failed. Expected: 11a0, Got: 100e
Checksum failed. Expected: e150, Got: 1139
Checksum failed. Expected: 9309, Got: 9dbc
Checksum failed. Expected: c548, Got: 21b2
Checksum failed. Expected: fbb1, Got: a9c5
Checksum failed. Expected: 6d5d, Got: ab0a
Checksum failed. Expected: eb1b, Got: d2a1
Checksum failed. Expected: c3dd, Got: a838
Checksum failed. Expected: f34d, Got: ad6f
Checksum failed. Expected: 6b4f, Got: 2919
Checksum failed. Expected: c741, Got: 25c1
Checksum failed. Expected: a332, Got: a13a
Checksum failed. Expected: 60ae, Got: 1fff
Checksum failed. Expected: 16ef, Got: 2aee
Checksum failed. Expected: 90d7, Got: a62a
Checksum failed. Expected: 630f, Got: a2ea
Checksum failed. Expected: 7c64, Got: 25fe
Checksum failed. Expected: 5446, Got: a6f2
Checksum failed. Expected: 03ae, Got: 2623
Checksum failed. Expected: 3eb0, Got: 2195
Checksum failed. Expected: d184, Got: 1de1
Checksum failed. Expected: 1cd0, Got: 17da
Checksum failed. Expected: 9a23, Got: 98ff
Checksum failed. Expected: 4a86, Got: 962e
Checksum failed. Expected: bf7b, Got: 0f41
Checksum failed. Expected: e09d, Got: 9567
Checksum failed. Expected: 37cb, Got: 1936
Checksum failed. Expected: 4850, Got: 9fab
Checksum failed. Expected: 6b36, Got: a12d
Checksum failed. Expected: 45c3, Got: 1c7d
Checksum failed. Expected: ffa0, Got: 1942
Checksum failed. Expected: 1f44, Got: 29be
Checksum failed. Expected: 870a, Got: 2c96
Checksum failed. Expected: dec9, Got: 208a
Checksum failed. Expected: 42ba, Got: 99eb
Checksum failed. Expected: 55f5, Got: 0ace
Checksum failed. Expected: 8880, Got: 0fdf
Checksum failed. Expected: 1b32, Got: 2873
Checksum failed. Expected: 55c3, Got: a545
Checksum failed. Expected: e2bf, Got: 4f8e
Checksum failed. Expected: eb4b, Got: 8edb
Checksum failed. Expected: 1aa8, Got: cce1
Checksum failed. Expected: c9a2, Got: 085c
Checksum failed. Expected: 05eb, Got: 89f9
Checksum failed. Expected: 8f7c, Got: 4c54
Checksum failed. Expected: 515e, Got: 8c1f
Checksum failed. Expected: ea55, Got: 4cbd
Checksum failed. Expected: 4de9, Got: 15b2
Checksum failed. Expected: 346b, Got: d5b0
Checksum failed. Expected: fcb4, Got: cd95
Checksum failed. Expected: e1a3, Got: cf7e
Checksum failed. Expected: d5a7, Got: 1387
Checksum failed. Expected: d50b, Got: 54a8
Checksum failed. Expected: f58d, Got: d56f
Checksum failed. Expected: ec94, Got: 8f7e
Checksum failed. Expected: 7637, Got: 0b72
Checksum failed. Expected: b002, Got: 9297
Checksum failed. Expected: b3df, Got: cab8
Checksum failed. Expected: fa41, Got: 0802
Checksum failed. Expected: 0e76, Got: 07c7
Checksum failed. Expected: 3110, Got: 05fe
Checksum failed. Expected: d608, Got: 076c
Checksum failed. Expected: bee6, Got: 4f5c
Checksum failed. Expected: 0b3e, Got: 1779
Checksum failed. Expected: a68a, Got: 16d7
Checksum failed. Expected: aa3b, Got: 97d4
Checksum failed. Expected: 1d9f, Got: 16d8
Checksum failed. Expected: 13a7, Got: 9fd4
Checksum failed. Expected: 13cd, Got: a2f8
Checksum failed. Expected: 6104, Got: a328
Checksum failed. Expected: 27de, Got: 1d7c
Checksum failed. Expected: bbc3, Got: 96e6
Checksum failed. Expected: ac39, Got: 1cc2
Checksum failed. Expected: 6ddb, Got: 1c6a
Checksum failed. Expected: 7988, Got: 8c16
Checksum failed. Expected: 7f81, Got: 4e7b
Checksum failed. Expected: 68d3, Got: 2537
Checksum failed. Expected: ba38, Got: 2600
Checksum failed. Expected: 0a09, Got: 2820
Checksum failed. Expected: c134, Got: 25ed
Checksum failed. Expected: 812a, Got: a0db
Checksum failed. Expected: 312f, Got: 0e4a
Checksum failed. Expected: dd34, Got: ced4
Checksum failed. Expected: 5e6b, Got: 4f60
Checksum failed. Expected: 6400, Got: a12f
Checksum failed. Expected: b391, Got: 13d7
Checksum failed. Expected: 711a, Got: 876b
Checksum failed. Expected: ef30, Got: 89ca
Checksum failed. Expected: 62ed, Got: 8fb8
Checksum failed. Expected: fca0, Got: 139c
Checksum failed. Expected: c273, Got: 93fd
Checksum failed. Expected: 47b9, Got: 906d
Checksum failed. Expected: a45a, Got: 8ea2
Checksum failed. Expected: 0e45, Got: 10e9
Checksum failed. Expected: eb9b, Got: 172d
Checksum failed. Expected: 803c, Got: 171a
Checksum failed. Expected: 34b2, Got: c61a
Checksum failed. Expected: 0128, Got: 8283
Checksum failed. Expected: 25a0, Got: 3f12
Checksum failed. Expected: 012c, Got: c4a5
Checksum failed. Expected: 225f, Got: 11eb
Checksum failed. Expected: 6e1c, Got: 87cd
Checksum failed. Expected: 07c4, Got: 4997
Checksum failed. Expected: 326c, Got: 4565
Checksum failed. Expected: ee65, Got: c5c3
Checksum failed. Expected: 1625, Got: 89fe
Checksum failed. Expected: d3ea, Got: 96ae
Checksum failed. Expected: 283e, Got: 8a67
Checksum failed. Expected: 96a0, Got: 081a
Checksum failed. Expected: 712e, Got: 490b
Checksum failed. Expected: 7520, Got: 997a
Checksum failed. Expected: f1aa, Got: 0efb
Checksum failed. Expected: 413d, Got: 5133
Checksum failed. Expected: e11d, Got: 2341
Checksum failed. Expected: 0496, Got: 918e
Checksum failed. Expected: 8703, Got: d411
Checksum failed. Expected: 5125, Got: d698
Checksum failed. Expected: 25a8, Got: 1660
