
#################################################################
Log started at 2025-06-12_16-19-23 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 4714, Got: 47ae
Checksum failed. Expected: 76d8, Got: 24de
Checksum failed. Expected: 16f1, Got: 9375
Checksum failed. Expected: 2d64, Got: 020d
Checksum failed. Expected: de34, Got: 70a4
Checksum failed. Expected: 0f34, Got: df3c
Checksum failed. Expected: 411a, Got: 4dd3
Checksum failed. Expected: c157, Got: bc6b
Checksum failed. Expected: 33bd, Got: 2b02
Checksum failed. Expected: ca28, Got: 999a
Checksum failed. Expected: 6e5e, Got: 0832
Checksum failed. Expected: bdc6, Got: 76c9
Checksum failed. Expected: 01dc, Got: e561
Checksum failed. Expected: a0ac, Got: 53f8
Checksum failed. Expected: 69f3, Got: c290
Checksum failed. Expected: c837, Got: 3127
Checksum failed. Expected: 3a92, Got: 9fbf
Checksum failed. Expected: 7b52, Got: 0e56
Checksum failed. Expected: bd23, Got: 7cee
Checksum failed. Expected: 10ec, Got: eb85
Checksum failed. Expected: 3ead, Got: 5a1d
Checksum failed. Expected: ba8b, Got: c8b5
Checksum failed. Expected: 05e3, Got: 374c
Checksum failed. Expected: 48b6, Got: a5e4
Checksum failed. Expected: 1b7e, Got: 147b
Checksum failed. Expected: a533, Got: 8313
Checksum failed. Expected: 60a4, Got: f1aa
Checksum failed. Expected: cbc3, Got: 6042
Checksum failed. Expected: e87b, Got: ced9
Checksum failed. Expected: d064, Got: 3d71
Checksum failed. Expected: c090, Got: ac09
Checksum failed. Expected: cb48, Got: 1aa0
Checksum failed. Expected: 97b9, Got: 8938
Checksum failed. Expected: f2de, Got: f7cf
Checksum failed. Expected: 8647, Got: 6667
Checksum failed. Expected: a401, Got: d4fe
Checksum failed. Expected: e4d2, Got: 4396
Checksum failed. Expected: 9050, Got: b22d
Checksum failed. Expected: 26c1, Got: 20c5
Checksum failed. Expected: 666b, Got: 8f5d
Checksum failed. Expected: a514, Got: fdf4
Checksum failed. Expected: 3a7f, Got: 6c8c
Checksum failed. Expected: bcbd, Got: db23
Checksum failed. Expected: 0c37, Got: 49bb
Checksum failed. Expected: ed99, Got: b852
Checksum failed. Expected: 1a4c, Got: 26ea
Checksum failed. Expected: 1eae, Got: 9581
Checksum failed. Expected: f9e5, Got: 0419
Checksum failed. Expected: a239, Got: 72b0
Checksum failed. Expected: 00bb, Got: e148
Checksum failed. Expected: 9f8b, Got: 4fe0
Checksum failed. Expected: d06f, Got: be77
Checksum failed. Expected: b0e0, Got: 2d0f
Checksum failed. Expected: 53ec, Got: 9ba6
Checksum failed. Expected: 249f, Got: 0a3e
Checksum failed. Expected: eba3, Got: 78d5
Checksum failed. Expected: 44d3, Got: e76d
Checksum failed. Expected: 45ff, Got: 5604
Checksum failed. Expected: e19a, Got: c49c
Checksum failed. Expected: c65e, Got: 3334
Checksum failed. Expected: be04, Got: a1cb
Checksum failed. Expected: 0a7d, Got: 1063
Checksum failed. Expected: f897, Got: 7efa
Checksum failed. Expected: 5835, Got: ed92
Checksum failed. Expected: 03ad, Got: 5c29
Checksum failed. Expected: f73a, Got: cac1
Checksum failed. Expected: 6138, Got: 3958
Checksum failed. Expected: d18d, Got: a7f0
Checksum failed. Expected: 7f43, Got: 1688
Checksum failed. Expected: 50d3, Got: 851f
Checksum failed. Expected: 9b2b, Got: f3b7
Checksum failed. Expected: c8d3, Got: 624e
Checksum failed. Expected: 4a02, Got: d0e6
Checksum failed. Expected: 2972, Got: 3f7d
Checksum failed. Expected: e91b, Got: ae15
Checksum failed. Expected: b45f, Got: 1cac
Checksum failed. Expected: 71f2, Got: 8b44
Checksum failed. Expected: 505b, Got: f9db
Checksum failed. Expected: 025c, Got: 6873
Checksum failed. Expected: 61b0, Got: d70b
Checksum failed. Expected: 018e, Got: 45a2
Checksum failed. Expected: 83f3, Got: b43a
Checksum failed. Expected: 20a7, Got: 22d1
Checksum failed. Expected: e9ee, Got: 9169
Checksum failed. Expected: d5dd, Got: 0000
Checksum failed. Expected: 5c52, Got: 6e98
Checksum failed. Expected: 03bf, Got: dd2f
Checksum failed. Expected: 3c0e, Got: 4bc7
Checksum failed. Expected: fcc4, Got: ba5f
Checksum failed. Expected: 0128, Got: 28f6
Checksum failed. Expected: 223f, Got: 978e
Checksum failed. Expected: aacd, Got: 0625
Checksum failed. Expected: 1d4c, Got: 74bd
Checksum failed. Expected: d8c5, Got: e354
Checksum failed. Expected: aeb6, Got: 51ec
Checksum failed. Expected: 609c, Got: c083
Checksum failed. Expected: 0917, Got: 2f1b
Checksum failed. Expected: 4f01, Got: 9db3
Checksum failed. Expected: bf53, Got: 0c4a
Checksum failed. Expected: fcbc, Got: 7ae2
Checksum failed. Expected: ca4b, Got: e979
Checksum failed. Expected: 1050, Got: 5811
Checksum failed. Expected: a160, Got: c6a8
Checksum failed. Expected: 1b51, Got: 3540
Checksum failed. Expected: a2d5, Got: a3d7
Checksum failed. Expected: f5a4, Got: 126f
Checksum failed. Expected: 0e24, Got: 8106
Checksum failed. Expected: 28ce, Got: ef9e
Checksum failed. Expected: 12d8, Got: 5e36
Checksum failed. Expected: 1b6c, Got: cccd
Checksum failed. Expected: 40c3, Got: 3b65
Checksum failed. Expected: de7d, Got: a9fc
Checksum failed. Expected: 4bb8, Got: 1894
Checksum failed. Expected: 8f70, Got: 872b
Checksum failed. Expected: f986, Got: f5c3
Checksum failed. Expected: 0bb4, Got: 645a
Checksum failed. Expected: b427, Got: d2f2
Checksum failed. Expected: 64f9, Got: 418a
Checksum failed. Expected: 6ea7, Got: b021
Checksum failed. Expected: feb8, Got: 1eb9
Checksum failed. Expected: de2e, Got: 8d50
Checksum failed. Expected: 1460, Got: fbe8
Checksum failed. Expected: 7e6a, Got: 6a7f
Checksum failed. Expected: 9d45, Got: d917
Checksum failed. Expected: 5bd3, Got: 47ae
Checksum failed. Expected: 0016, Got: b646
Checksum failed. Expected: 9014, Got: 24de
Checksum failed. Expected: cf8f, Got: 9375
Checksum failed. Expected: 5c76, Got: 020d
Checksum failed. Expected: 6408, Got: 70a4
Checksum failed. Expected: cf34, Got: df3c
Checksum failed. Expected: 68bc, Got: 4dd3
Checksum failed. Expected: d70b, Got: bc6b
Checksum failed. Expected: 2795, Got: 2b02
Checksum failed. Expected: 3e00, Got: 999a
Checksum failed. Expected: 3f4c, Got: 0832
Checksum failed. Expected: d26c, Got: 76c9
Checksum failed. Expected: 1aba, Got: e561
Checksum failed. Expected: a356, Got: 53f8
Checksum failed. Expected: 85fb, Got: c290
Checksum failed. Expected: 7203, Got: 3127
Checksum failed. Expected: 3c2e, Got: 9fbf
Checksum failed. Expected: 0996, Got: 0e56
Checksum failed. Expected: 8be7, Got: 7cee
Checksum failed. Expected: b356, Got: eb85
Checksum failed. Expected: 4e0d, Got: 5a1d
Checksum failed. Expected: b9fd, Got: c8b5
Checksum failed. Expected: 3f8f, Got: 374c
Checksum failed. Expected: a114, Got: a5e4
Checksum failed. Expected: fe68, Got: 147b
Checksum failed. Expected: 2e31, Got: 8313
Checksum failed. Expected: c280, Got: f1aa
Checksum failed. Expected: 3b63, Got: 6042
Checksum failed. Expected: 99a9, Got: ced9
Checksum failed. Expected: 86d8, Got: 3d71
Checksum failed. Expected: abea, Got: ac09
Checksum failed. Expected: 85f4, Got: 1aa0
Checksum failed. Expected: fedb, Got: 8938
Checksum failed. Expected: 7df8, Got: f7cf
Checksum failed. Expected: 60b3, Got: 6667
Checksum failed. Expected: 0f5b, Got: d4fe
Checksum failed. Expected: 2c42, Got: 4396
Checksum failed. Expected: 10d0, Got: b22d
Checksum failed. Expected: 3405, Got: 20c5
Checksum failed. Expected: 42f3, Got: 8f5d
Checksum failed. Expected: 83b8, Got: fdf4
Checksum failed. Expected: 00d3, Got: 6c8c
Checksum failed. Expected: 0973, Got: db23
Checksum failed. Expected: 7359, Got: 49bb
Checksum failed. Expected: 747b, Got: b852
Checksum failed. Expected: 1694, Got: 26ea
Checksum failed. Expected: d422, Got: 9581
Checksum failed. Expected: 5351, Got: 0419
Checksum failed. Expected: 22b9, Got: 72b0
Checksum failed. Expected: c939, Got: e148
Checksum failed. Expected: e7fb, Got: 4fe0
Checksum failed. Expected: 5643, Got: be77
Checksum failed. Expected: b6b4, Got: 2d0f
Checksum failed. Expected: d150, Got: 9ba6
Checksum failed. Expected: 33f1, Got: 0a3e
Checksum failed. Expected: 1ab5, Got: 78d5
Checksum failed. Expected: ed91, Got: e76d
Checksum failed. Expected: c255, Got: 5604
