
#################################################################
Log started at 2025-06-12_16-19-26 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d1cc, Got: 851f
Checksum failed. Expected: 9b81, Got: f3b7
Checksum failed. Expected: 4a45, Got: 624e
Checksum failed. Expected: f4a4, Got: d0e6
Checksum failed. Expected: 672c, Got: 3f7d
Checksum failed. Expected: eda9, Got: ae15
Checksum failed. Expected: ac45, Got: 1cac
Checksum failed. Expected: 6f2c, Got: 8b44
Checksum failed. Expected: 7c19, Got: f9db
Checksum failed. Expected: 4016, Got: 6873
Checksum failed. Expected: 12b4, Got: d70b
Checksum failed. Expected: 3f48, Got: 45a2
Checksum failed. Expected: c80f, Got: b43a
Checksum failed. Expected: 0ce5, Got: 22d1
Checksum failed. Expected: 7d5c, Got: 9169
Checksum failed. Expected: 4cab, Got: 0000
Checksum failed. Expected: ca8a, Got: 6e98
Checksum failed. Expected: 5899, Got: dd2f
Checksum failed. Expected: 075c, Got: 4bc7
Checksum failed. Expected: f7b2, Got: ba5f
Checksum failed. Expected: 113c, Got: 28f6
Checksum failed. Expected: 542f, Got: 978e
Checksum failed. Expected: f1e3, Got: 0625
Checksum failed. Expected: e89a, Got: 74bd
Checksum failed. Expected: c70b, Got: e354
Checksum failed. Expected: 1370, Got: 51ec
Checksum failed. Expected: ed86, Got: c083
Checksum failed. Expected: 28fd, Got: 2f1b
Checksum failed. Expected: dceb, Got: 9db3
Checksum failed. Expected: 42b1, Got: 0c4a
Checksum failed. Expected: 21f6, Got: 7ae2
Checksum failed. Expected: d3fd, Got: e979
Checksum failed. Expected: 14bc, Got: 5811
Checksum failed. Expected: 3d1c, Got: c6a8
Checksum failed. Expected: a511, Got: 3540
Checksum failed. Expected: 66c1, Got: a3d7
Checksum failed. Expected: c754, Got: 126f
Checksum failed. Expected: a7b6, Got: 8106
Checksum failed. Expected: 742a, Got: ef9e
Checksum failed. Expected: ca1c, Got: 5e36
Checksum failed. Expected: 747e, Got: cccd
Checksum failed. Expected: 88e7, Got: 3b65
Checksum failed. Expected: 9f3f, Got: a9fc
Checksum failed. Expected: 59b0, Got: 1894
Checksum failed. Expected: 4f24, Got: 872b
Checksum failed. Expected: 997a, Got: f5c3
Checksum failed. Expected: 7f40, Got: 645a
Checksum failed. Expected: ea4f, Got: d2f2
Checksum failed. Expected: 4deb, Got: 418a
Checksum failed. Expected: d68b, Got: b021
Checksum failed. Expected: 5176, Got: 1eb9
Checksum failed. Expected: 999c, Got: 8d50
Checksum failed. Expected: 04b4, Got: fbe8
Checksum failed. Expected: d998, Got: 6a7f
Checksum failed. Expected: 5151, Got: d917
Checksum failed. Expected: 7fff, Got: 47ae
Checksum failed. Expected: b314, Got: b646
Checksum failed. Expected: a136, Got: 24de
Checksum failed. Expected: c1ff, Got: 9375
Checksum failed. Expected: 0d58, Got: 020d
Checksum failed. Expected: c9c2, Got: 70a4
Checksum failed. Expected: 153c, Got: df3c
Checksum failed. Expected: 43ea, Got: 4dd3
Checksum failed. Expected: 4db3, Got: bc6b
Checksum failed. Expected: 2e2b, Got: 2b02
Checksum failed. Expected: 3b0a, Got: 999a
Checksum failed. Expected: 20ce, Got: 0832
Checksum failed. Expected: 4e68, Got: 76c9
Checksum failed. Expected: 6724, Got: e561
Checksum failed. Expected: 5546, Got: 53f8
Checksum failed. Expected: f225, Got: c290
Checksum failed. Expected: e79d, Got: 3127
Checksum failed. Expected: 8dd0, Got: 9fbf
Checksum failed. Expected: d3d6, Got: 0e56
Checksum failed. Expected: 2f13, Got: 7cee
