
#################################################################
Log started at 2025-06-12_16-19-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ce1c, Got: 399a
Checksum failed. Expected: a181, Got: a7bd
Checksum failed. Expected: e852, Got: a583
Checksum failed. Expected: e373, Got: a85e
Checksum failed. Expected: 1bed, Got: 29cf
Checksum failed. Expected: f152, Got: aa90
Checksum failed. Expected: 6059, Got: 2979
Checksum failed. Expected: 2f59, Got: ab08
Checksum failed. Expected: 235b, Got: 319a
Checksum failed. Expected: bb7b, Got: a4ed
Checksum failed. Expected: dcfb, Got: 255a
Checksum failed. Expected: 345a, Got: 2e58
Checksum failed. Expected: a345, Got: b102
Checksum failed. Expected: 3229, Got: 36c8
Checksum failed. Expected: ca19, Got: 319c
Checksum failed. Expected: cb42, Got: a49f
Checksum failed. Expected: 04c0, Got: a44e
Checksum failed. Expected: d2a6, Got: a792
Checksum failed. Expected: e899, Got: 32c6
Checksum failed. Expected: d802, Got: ad92
Checksum failed. Expected: da2b, Got: b80a
Checksum failed. Expected: e0f2, Got: 32c9
Checksum failed. Expected: 4e5c, Got: 3381
Checksum failed. Expected: c2a0, Got: 44b1
Checksum failed. Expected: 9235, Got: c37a
Checksum failed. Expected: 4917, Got: 35c0
Checksum failed. Expected: 234f, Got: ae56
Checksum failed. Expected: 946e, Got: b417
Checksum failed. Expected: 2b52, Got: 39ad
Checksum failed. Expected: 5b0f, Got: c50e
Checksum failed. Expected: af41, Got: 460c
Checksum failed. Expected: aa39, Got: 4817
Checksum failed. Expected: 29fc, Got: cf53
Checksum failed. Expected: e2a6, Got: 4a36
Checksum failed. Expected: 0465, Got: d11b
Checksum failed. Expected: 0603, Got: bee7
Checksum failed. Expected: c36a, Got: b7e2
Checksum failed. Expected: 6965, Got: 3a01
Checksum failed. Expected: f962, Got: 3b32
Checksum failed. Expected: dc4b, Got: 4266
Checksum failed. Expected: 52de, Got: 42bc
Checksum failed. Expected: 86e1, Got: b37a
Checksum failed. Expected: 5225, Got: aaaf
Checksum failed. Expected: ae69, Got: a814
Checksum failed. Expected: e118, Got: 2c8c
Checksum failed. Expected: af84, Got: b3f6
Checksum failed. Expected: e556, Got: 3dfc
Checksum failed. Expected: 113c, Got: 36dd
Checksum failed. Expected: 17d9, Got: 207e
Checksum failed. Expected: 5ed4, Got: 994e
Checksum failed. Expected: 8384, Got: 1c35
Checksum failed. Expected: bc7e, Got: 207e
Checksum failed. Expected: ac24, Got: a14d
Checksum failed. Expected: c6d9, Got: 1d4e
Checksum failed. Expected: 6888, Got: 148f
Checksum failed. Expected: 7825, Got: 9543
Checksum failed. Expected: 47e2, Got: 1e92
Checksum failed. Expected: fd06, Got: a894
Checksum failed. Expected: c15a, Got: a462
Checksum failed. Expected: 58a7, Got: 9e39
Checksum failed. Expected: c784, Got: 9e6f
Checksum failed. Expected: ea1b, Got: a706
Checksum failed. Expected: 45f9, Got: a161
Checksum failed. Expected: 7678, Got: 1b37
Checksum failed. Expected: 121b, Got: 9c63
Checksum failed. Expected: d1be, Got: a00c
Checksum failed. Expected: 8944, Got: 9440
Checksum failed. Expected: 64c1, Got: 20cd
Checksum failed. Expected: 79d2, Got: a70c
Checksum failed. Expected: 3bb0, Got: 20d5
Checksum failed. Expected: e9de, Got: 2b76
Checksum failed. Expected: 99cf, Got: b351
Checksum failed. Expected: f87d, Got: aff2
